Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CVEO,25.0,25.0,24.93,24.93,594,0,0,2026-01-29 09:30:00
CVEO,25.01,25.01,24.99,24.99,332,0,0,2026-01-29 10:19:00
CVEO,25.19,25.19,25.19,25.19,1345,0,0,2026-01-29 10:20:00
CVEO,25.19,25.19,25.19,25.19,100,0,0,2026-01-29 10:27:00
CVEO,25.19,25.19,25.19,25.19,274,0,0,2026-01-29 10:37:00
CVEO,25.19,25.19,25.19,25.19,119,0,0,2026-01-29 10:47:00
CVEO,25.12,25.12,25.12,25.12,228,0,0,2026-01-29 10:57:00
CVEO,25.09,25.09,25.09,25.09,157,0,0,2026-01-29 11:03:00
CVEO,24.98,24.98,24.98,24.98,100,0,0,2026-01-29 11:07:00
CVEO,24.98,24.98,24.98,24.98,160,0,0,2026-01-29 11:17:00
CVEO,24.79,24.79,24.79,24.79,283,0,0,2026-01-29 11:19:00
CVEO,24.91,24.91,24.91,24.91,100,0,0,2026-01-29 12:19:00
CVEO,24.91,24.91,24.91,24.91,784,0,0,2026-01-29 12:52:00
CVEO,24.82,24.86,24.82,24.82,800,0,0,2026-01-29 12:53:00
CVEO,24.85,24.85,24.85,24.85,125,0,0,2026-01-29 12:54:00
CVEO,24.85,24.85,24.85,24.85,107,0,0,2026-01-29 12:55:00
CVEO,24.82,24.82,24.82,24.82,127,0,0,2026-01-29 12:56:00
