Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CVI,22.07,22.07,22.07,22.07,100,0,0,2026-01-29 08:15:00
CVI,22.1,22.1,22.1,22.1,100,21.8,22.58,2026-01-29 08:41:00
CVI,22.29,22.58,22.27,22.27,19354,0,0,2026-01-29 09:30:00
CVI,22.43,22.43,22.43,22.43,631,22.29,22.58,2026-01-29 09:33:00
CVI,22.46,22.46,22.46,22.46,422,0,0,2026-01-29 09:33:00
CVI,22.48,22.58,22.48,22.56,4619,0,0,2026-01-29 09:34:00
CVI,22.57,22.83,22.57,22.83,19062,0,0,2026-01-29 09:35:00
CVI,22.84,22.95,22.64,22.84,2577,0,0,2026-01-29 09:36:00
CVI,22.93,22.94,22.82,22.88,1700,0,0,2026-01-29 09:37:00
CVI,22.84,22.85,22.8,22.84,3737,0,0,2026-01-29 09:38:00
CVI,22.84,22.92,22.84,22.88,3174,0,0,2026-01-29 09:39:00
CVI,22.89,22.91,22.84,22.91,1232,0,0,2026-01-29 09:40:00
CVI,22.89,22.89,22.85,22.85,915,0,0,2026-01-29 09:41:00
CVI,22.87,22.88,22.78,22.8,1682,0,0,2026-01-29 09:42:00
CVI,22.75,22.76,22.69,22.69,2301,0,0,2026-01-29 09:43:00
CVI,22.64,22.64,22.64,22.64,1305,0,0,2026-01-29 09:44:00
CVI,22.67,22.68,22.51,22.55,2560,0,0,2026-01-29 09:45:00
CVI,22.56,22.56,22.51,22.51,1028,0,0,2026-01-29 09:47:00
CVI,22.5,22.5,22.46,22.46,558,0,0,2026-01-29 09:48:00
CVI,22.52,22.56,22.52,22.56,1006,0,0,2026-01-29 09:49:00
CVI,22.58,22.59,22.58,22.59,1015,0,0,2026-01-29 09:50:00
CVI,22.61,22.61,22.61,22.61,557,0,0,2026-01-29 09:51:00
CVI,22.55,22.56,22.55,22.56,1509,0,0,2026-01-29 09:52:00
CVI,22.57,22.57,22.57,22.57,494,0,0,2026-01-29 09:53:00
CVI,22.57,22.57,22.57,22.57,726,0,0,2026-01-29 09:56:00
CVI,22.61,22.61,22.59,22.59,1762,0,0,2026-01-29 09:57:00
CVI,22.56,22.56,22.51,22.51,2051,0,0,2026-01-29 09:58:00
CVI,22.53,22.53,22.49,22.5,1835,0,0,2026-01-29 09:59:00
CVI,22.52,22.6,22.52,22.55,7359,0,0,2026-01-29 10:00:00
CVI,22.59,22.59,22.58,22.58,627,0,0,2026-01-29 10:01:00
CVI,22.6,22.63,22.56,22.56,1537,0,0,2026-01-29 10:02:00
CVI,22.59,22.64,22.59,22.64,1159,0,0,2026-01-29 10:03:00
CVI,22.64,22.65,22.64,22.65,1384,0,0,2026-01-29 10:04:00
CVI,22.61,22.68,22.61,22.68,1046,0,0,2026-01-29 10:05:00
CVI,22.65,22.65,22.59,22.59,2088,0,0,2026-01-29 10:06:00
CVI,22.57,22.64,22.57,22.64,3398,0,0,2026-01-29 10:07:00
CVI,22.65,22.65,22.65,22.65,803,22.59,22.67,2026-01-29 10:09:00
CVI,22.64,22.64,22.61,22.62,1591,0,0,2026-01-29 10:10:00
CVI,22.64,22.64,22.57,22.6,2880,0,0,2026-01-29 10:11:00
CVI,22.57,22.57,22.51,22.51,981,0,0,2026-01-29 10:12:00
CVI,22.54,22.54,22.49,22.49,320,0,0,2026-01-29 10:13:00
CVI,22.48,22.54,22.47,22.54,1231,0,0,2026-01-29 10:14:00
CVI,22.58,22.58,22.56,22.57,2730,0,0,2026-01-29 10:15:00
CVI,22.58,22.65,22.58,22.6,1951,0,0,2026-01-29 10:16:00
CVI,22.59,22.6,22.54,22.54,1601,0,0,2026-01-29 10:17:00
CVI,22.54,22.54,22.54,22.54,422,0,0,2026-01-29 10:20:00
CVI,22.55,22.56,22.53,22.53,4886,0,0,2026-01-29 10:21:00
CVI,22.53,22.53,22.48,22.48,5278,0,0,2026-01-29 10:22:00
CVI,22.46,22.46,22.46,22.46,832,0,0,2026-01-29 10:23:00
CVI,22.49,22.51,22.45,22.45,2875,0,0,2026-01-29 10:25:00
CVI,22.48,22.48,22.48,22.48,630,0,0,2026-01-29 10:27:00
CVI,22.48,22.48,22.39,22.39,1794,0,0,2026-01-29 10:28:00
CVI,22.33,22.34,22.29,22.31,2366,0,0,2026-01-29 10:30:00
CVI,22.32,22.32,22.21,22.25,5435,0,0,2026-01-29 10:31:00
CVI,22.23,22.23,22.23,22.23,546,0,0,2026-01-29 10:32:00
CVI,22.2,22.23,22.2,22.22,928,0,0,2026-01-29 10:33:00
CVI,22.21,22.21,22.17,22.17,3927,0,0,2026-01-29 10:34:00
CVI,22.21,22.21,22.21,22.21,573,0,0,2026-01-29 10:35:00
CVI,22.22,22.22,22.22,22.22,364,0,0,2026-01-29 10:36:00
CVI,22.22,22.26,22.22,22.25,3329,0,0,2026-01-29 10:37:00
CVI,22.27,22.27,22.27,22.27,733,0,0,2026-01-29 10:38:00
CVI,22.26,22.26,22.26,22.26,578,0,0,2026-01-29 10:39:00
CVI,22.25,22.26,22.25,22.25,914,0,0,2026-01-29 10:40:00
CVI,22.23,22.24,22.22,22.22,2612,0,0,2026-01-29 10:41:00
CVI,22.24,22.24,22.24,22.24,452,0,0,2026-01-29 10:42:00
CVI,22.23,22.23,22.19,22.21,1525,22.18,22.23,2026-01-29 10:45:00
CVI,22.2,22.2,22.18,22.2,2287,0,0,2026-01-29 10:45:00
CVI,22.19,22.24,22.19,22.24,3141,0,0,2026-01-29 10:46:00
CVI,22.26,22.33,22.26,22.33,2946,0,0,2026-01-29 10:47:00
CVI,22.35,22.35,22.33,22.33,1013,0,0,2026-01-29 10:48:00
CVI,22.34,22.34,22.34,22.34,440,0,0,2026-01-29 10:49:00
CVI,22.39,22.4,22.39,22.4,2086,0,0,2026-01-29 10:51:00
CVI,22.37,22.39,22.36,22.39,1878,0,0,2026-01-29 10:52:00
CVI,22.36,22.36,22.33,22.34,1591,0,0,2026-01-29 10:53:00
CVI,22.36,22.41,22.36,22.4,1483,0,0,2026-01-29 10:54:00
CVI,22.39,22.39,22.39,22.39,787,0,0,2026-01-29 10:55:00
CVI,22.42,22.46,22.42,22.46,1281,0,0,2026-01-29 10:56:00
CVI,22.46,22.46,22.46,22.46,1426,0,0,2026-01-29 10:58:00
CVI,22.46,22.47,22.43,22.43,3551,0,0,2026-01-29 10:59:00
CVI,22.42,22.42,22.4,22.4,987,0,0,2026-01-29 11:00:00
CVI,22.41,22.41,22.39,22.39,2092,0,0,2026-01-29 11:01:00
CVI,22.37,22.37,22.36,22.36,1276,0,0,2026-01-29 11:02:00
CVI,22.35,22.35,22.32,22.32,1785,0,0,2026-01-29 11:03:00
CVI,22.33,22.35,22.33,22.35,1398,0,0,2026-01-29 11:05:00
CVI,22.31,22.32,22.28,22.29,1682,0,0,2026-01-29 11:07:00
CVI,22.3,22.32,22.29,22.29,1383,0,0,2026-01-29 11:08:00
CVI,22.3,22.3,22.3,22.3,1186,0,0,2026-01-29 11:09:00
CVI,22.29,22.3,22.28,22.28,485,0,0,2026-01-29 11:10:00
CVI,22.32,22.44,22.32,22.44,2914,0,0,2026-01-29 11:11:00
CVI,22.5,22.53,22.5,22.53,619,22.49,22.57,2026-01-29 11:13:00
CVI,22.53,22.55,22.53,22.54,2663,0,0,2026-01-29 11:13:00
CVI,22.52,22.53,22.5,22.5,2512,0,0,2026-01-29 11:14:00
CVI,22.53,22.54,22.53,22.54,890,0,0,2026-01-29 11:15:00
CVI,22.52,22.52,22.49,22.51,1627,0,0,2026-01-29 11:16:00
CVI,22.47,22.47,22.45,22.45,2300,0,0,2026-01-29 11:17:00
CVI,22.47,22.5,22.47,22.5,1357,0,0,2026-01-29 11:18:00
CVI,22.51,22.51,22.46,22.46,2200,0,0,2026-01-29 11:19:00
CVI,22.46,22.46,22.43,22.43,1123,0,0,2026-01-29 11:20:00
CVI,22.43,22.43,22.43,22.43,841,0,0,2026-01-29 11:21:00
CVI,22.42,22.42,22.26,22.28,3984,0,0,2026-01-29 11:22:00
CVI,22.21,22.3,22.21,22.28,1474,0,0,2026-01-29 11:24:00
CVI,22.26,22.26,22.24,22.24,733,0,0,2026-01-29 11:25:00
CVI,22.23,22.29,22.22,22.27,2563,0,0,2026-01-29 11:26:00
CVI,22.3,22.3,22.25,22.25,902,0,0,2026-01-29 11:28:00
CVI,22.28,22.28,22.28,22.28,1031,0,0,2026-01-29 11:29:00
CVI,22.31,22.31,22.31,22.31,635,0,0,2026-01-29 11:30:00
CVI,22.35,22.35,22.32,22.34,5745,0,0,2026-01-29 11:31:00
CVI,22.36,22.36,22.34,22.34,551,0,0,2026-01-29 11:32:00
CVI,22.34,22.34,22.3,22.31,2405,0,0,2026-01-29 11:33:00
CVI,22.32,22.38,22.32,22.38,1118,0,0,2026-01-29 11:34:00
CVI,22.33,22.36,22.33,22.36,1108,0,0,2026-01-29 11:36:00
CVI,22.33,22.34,22.32,22.34,2117,0,0,2026-01-29 11:37:00
CVI,22.36,22.36,22.34,22.34,4522,0,0,2026-01-29 11:38:00
CVI,22.32,22.33,22.32,22.33,1630,0,0,2026-01-29 11:39:00
CVI,22.33,22.36,22.33,22.35,1426,0,0,2026-01-29 11:40:00
CVI,22.37,22.39,22.35,22.35,4297,0,0,2026-01-29 11:41:00
CVI,22.36,22.36,22.35,22.35,826,0,0,2026-01-29 11:42:00
CVI,22.36,22.36,22.36,22.36,379,0,0,2026-01-29 11:43:00
CVI,22.33,22.33,22.32,22.33,1425,22.34,22.36,2026-01-29 11:45:00
CVI,22.34,22.34,22.34,22.34,989,0,0,2026-01-29 11:45:00
CVI,22.35,22.35,22.31,22.33,4147,0,0,2026-01-29 11:46:00
CVI,22.32,22.32,22.29,22.32,1444,0,0,2026-01-29 11:47:00
CVI,22.34,22.38,22.34,22.38,1898,0,0,2026-01-29 11:49:00
CVI,22.38,22.4,22.38,22.4,799,0,0,2026-01-29 11:50:00
CVI,22.41,22.43,22.41,22.43,821,0,0,2026-01-29 11:51:00
CVI,22.41,22.43,22.4,22.43,1844,0,0,2026-01-29 11:52:00
CVI,22.43,22.44,22.43,22.44,985,0,0,2026-01-29 11:53:00
CVI,22.45,22.48,22.45,22.46,2256,0,0,2026-01-29 11:54:00
CVI,22.48,22.49,22.48,22.49,771,0,0,2026-01-29 11:55:00
CVI,22.48,22.48,22.47,22.47,1309,0,0,2026-01-29 11:56:00
CVI,22.49,22.49,22.49,22.49,519,0,0,2026-01-29 11:57:00
CVI,22.49,22.51,22.49,22.51,756,0,0,2026-01-29 11:58:00
CVI,22.49,22.49,22.48,22.49,1978,0,0,2026-01-29 11:59:00
CVI,22.49,22.51,22.49,22.5,6569,0,0,2026-01-29 12:00:00
CVI,22.5,22.5,22.5,22.5,1031,22.48,22.52,2026-01-29 12:02:00
CVI,22.52,22.52,22.5,22.51,1246,0,0,2026-01-29 12:02:00
CVI,22.51,22.51,22.51,22.51,678,0,0,2026-01-29 12:03:00
CVI,22.53,22.55,22.51,22.51,5941,0,0,2026-01-29 12:04:00
CVI,22.5,22.5,22.46,22.49,1582,0,0,2026-01-29 12:05:00
CVI,22.52,22.52,22.49,22.5,977,0,0,2026-01-29 12:06:00
CVI,22.49,22.49,22.49,22.49,341,0,0,2026-01-29 12:07:00
CVI,22.49,22.49,22.49,22.49,327,0,0,2026-01-29 12:08:00
CVI,22.51,22.51,22.51,22.51,421,0,0,2026-01-29 12:09:00
CVI,22.48,22.48,22.45,22.45,2302,0,0,2026-01-29 12:10:00
CVI,22.45,22.47,22.45,22.47,1267,0,0,2026-01-29 12:11:00
CVI,22.5,22.5,22.47,22.47,966,0,0,2026-01-29 12:12:00
CVI,22.46,22.48,22.46,22.48,455,0,0,2026-01-29 12:13:00
CVI,22.49,22.49,22.47,22.47,778,0,0,2026-01-29 12:14:00
CVI,22.51,22.51,22.5,22.5,978,0,0,2026-01-29 12:15:00
CVI,22.5,22.5,22.44,22.44,3257,0,0,2026-01-29 12:16:00
CVI,22.44,22.46,22.44,22.46,674,0,0,2026-01-29 12:17:00
CVI,22.46,22.46,22.46,22.46,242,0,0,2026-01-29 12:18:00
CVI,22.46,22.46,22.45,22.45,1358,0,0,2026-01-29 12:19:00
CVI,22.45,22.47,22.45,22.47,880,0,0,2026-01-29 12:20:00
CVI,22.44,22.44,22.44,22.44,277,0,0,2026-01-29 12:21:00
CVI,22.44,22.44,22.44,22.44,558,0,0,2026-01-29 12:22:00
CVI,22.43,22.43,22.41,22.41,2158,0,0,2026-01-29 12:23:00
CVI,22.38,22.41,22.38,22.41,1036,0,0,2026-01-29 12:25:00
CVI,22.42,22.42,22.42,22.42,574,0,0,2026-01-29 12:26:00
CVI,22.42,22.5,22.42,22.5,9243,0,0,2026-01-29 12:27:00
CVI,22.5,22.5,22.44,22.44,2893,0,0,2026-01-29 12:29:00
CVI,22.43,22.48,22.43,22.48,1645,0,0,2026-01-29 12:30:00
CVI,22.46,22.46,22.46,22.46,384,0,0,2026-01-29 12:31:00
CVI,22.46,22.49,22.46,22.48,2837,0,0,2026-01-29 12:33:00
CVI,22.5,22.5,22.48,22.5,2573,0,0,2026-01-29 12:34:00
CVI,22.52,22.54,22.52,22.53,1532,0,0,2026-01-29 12:35:00
CVI,22.53,22.53,22.53,22.53,434,0,0,2026-01-29 12:36:00
CVI,22.55,22.57,22.53,22.57,2977,0,0,2026-01-29 12:37:00
CVI,22.57,22.57,22.57,22.57,878,0,0,2026-01-29 12:39:00
CVI,22.55,22.55,22.54,22.54,2674,0,0,2026-01-29 12:40:00
CVI,22.56,22.57,22.55,22.55,1249,22.53,22.57,2026-01-29 12:42:00
CVI,22.53,22.53,22.51,22.51,2163,0,0,2026-01-29 12:43:00
CVI,22.52,22.52,22.52,22.52,477,0,0,2026-01-29 12:45:00
CVI,22.52,22.52,22.52,22.52,479,0,0,2026-01-29 12:46:00
CVI,22.52,22.52,22.52,22.52,520,0,0,2026-01-29 12:47:00
CVI,22.49,22.49,22.48,22.48,1295,0,0,2026-01-29 12:48:00
CVI,22.5,22.52,22.48,22.49,3763,0,0,2026-01-29 12:49:00
CVI,22.51,22.51,22.51,22.51,796,0,0,2026-01-29 12:50:00
CVI,22.5,22.5,22.5,22.5,2231,0,0,2026-01-29 12:51:00
CVI,22.52,22.52,22.52,22.52,1272,0,0,2026-01-29 12:52:00
CVI,22.52,22.53,22.48,22.53,2812,0,0,2026-01-29 12:53:00
CVI,22.52,22.52,22.49,22.51,1432,0,0,2026-01-29 12:55:00
CVI,22.53,22.53,22.53,22.53,1316,0,0,2026-01-29 12:56:00
CVI,22.54,22.54,22.54,22.54,997,0,0,2026-01-29 12:57:00
