Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CWT,44.03,44.2,44.03,44.2,305,43.62,44.37,2026-01-29 09:30:00
CWT,44.19,44.19,44.12,44.12,9799,0,0,2026-01-29 09:30:00
CWT,44.13,44.16,44.13,44.16,2659,0,0,2026-01-29 09:31:00
CWT,44.08,44.24,44.08,44.14,3429,44.05,44.36,2026-01-29 09:33:00
CWT,44.21,44.21,44.2,44.2,1263,0,0,2026-01-29 09:34:00
CWT,44.25,44.25,44.25,44.25,2377,44.08,44.69,2026-01-29 09:36:00
CWT,44.38,44.38,44.38,44.38,1638,0,0,2026-01-29 09:37:00
CWT,44.38,44.67,44.38,44.47,6725,0,0,2026-01-29 09:38:00
CWT,44.47,44.47,44.47,44.47,339,0,0,2026-01-29 09:39:00
CWT,44.47,44.47,44.47,44.47,1305,0,0,2026-01-29 09:40:00
CWT,44.4,44.47,44.4,44.47,291,0,0,2026-01-29 09:41:00
CWT,44.41,44.41,44.29,44.29,903,0,0,2026-01-29 09:42:00
CWT,44.38,44.38,44.3,44.3,307,0,0,2026-01-29 09:43:00
CWT,44.38,44.38,44.38,44.38,733,0,0,2026-01-29 09:44:00
CWT,44.29,44.47,44.27,44.41,4758,0,0,2026-01-29 09:45:00
CWT,44.39,44.53,44.38,44.53,6654,0,0,2026-01-29 09:46:00
CWT,44.53,44.53,44.4,44.48,1303,0,0,2026-01-29 09:47:00
CWT,44.48,44.48,44.41,44.47,2297,0,0,2026-01-29 09:48:00
CWT,44.47,44.53,44.45,44.48,16251,0,0,2026-01-29 09:49:00
CWT,44.48,44.53,44.45,44.45,9029,0,0,2026-01-29 09:50:00
CWT,44.47,44.49,44.44,44.45,4815,0,0,2026-01-29 09:51:00
CWT,44.45,44.45,44.45,44.45,306,0,0,2026-01-29 09:52:00
CWT,44.46,44.46,44.46,44.46,814,0,0,2026-01-29 09:53:00
CWT,44.46,44.51,44.46,44.5,4640,0,0,2026-01-29 09:54:00
CWT,44.51,44.51,44.51,44.51,351,0,0,2026-01-29 09:55:00
CWT,44.51,44.51,44.51,44.51,1102,0,0,2026-01-29 09:56:00
CWT,44.52,44.59,44.48,44.52,4596,0,0,2026-01-29 09:59:00
CWT,44.49,44.49,44.35,44.35,5115,0,0,2026-01-29 10:00:00
CWT,44.35,44.37,44.25,44.25,2682,0,0,2026-01-29 10:01:00
CWT,44.26,44.38,44.24,44.35,12255,0,0,2026-01-29 10:02:00
CWT,44.4,44.47,44.34,44.47,1003,0,0,2026-01-29 10:03:00
CWT,44.49,44.49,44.4,44.4,506,0,0,2026-01-29 10:04:00
CWT,44.54,44.54,44.54,44.54,157,0,0,2026-01-29 10:06:00
CWT,44.49,44.52,44.47,44.52,2358,0,0,2026-01-29 10:08:00
