Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CX,13.19,13.19,13.17,13.17,385,0,0,2026-01-29 08:56:00
CX,13.24,13.32,13.24,13.32,556,13.11,13.33,2026-01-29 09:30:01
CX,13.3,13.35,13.26,13.26,56483,0,0,2026-01-29 09:30:00
CX,13.26,13.27,13.25,13.26,4421,0,0,2026-01-29 09:31:00
CX,13.26,13.27,13.24,13.24,11546,0,0,2026-01-29 09:32:00
CX,13.24,13.28,13.24,13.28,10932,13.27,13.28,2026-01-29 09:34:00
CX,13.27,13.28,13.27,13.28,6395,0,0,2026-01-29 09:34:00
CX,13.28,13.29,13.27,13.27,11348,0,0,2026-01-29 09:35:00
CX,13.27,13.3,13.27,13.27,20578,0,0,2026-01-29 09:36:00
CX,13.26,13.28,13.24,13.28,16086,0,0,2026-01-29 09:37:00
CX,13.28,13.28,13.27,13.27,2757,0,0,2026-01-29 09:38:00
CX,13.27,13.29,13.27,13.27,15200,0,0,2026-01-29 09:39:00
CX,13.27,13.3,13.27,13.29,43653,0,0,2026-01-29 09:40:00
CX,13.28,13.28,13.26,13.26,21928,0,0,2026-01-29 09:41:00
CX,13.26,13.26,13.24,13.25,8144,0,0,2026-01-29 09:42:00
CX,13.26,13.26,13.21,13.23,55128,0,0,2026-01-29 09:43:00
CX,13.24,13.24,13.24,13.24,1567,0,0,2026-01-29 09:44:00
CX,13.25,13.25,13.23,13.24,7528,0,0,2026-01-29 09:45:00
CX,13.24,13.26,13.24,13.24,10527,0,0,2026-01-29 09:46:00
CX,13.24,13.24,13.21,13.21,6383,0,0,2026-01-29 09:47:00
CX,13.21,13.22,13.21,13.22,4463,0,0,2026-01-29 09:48:00
CX,13.22,13.22,13.22,13.22,1046,0,0,2026-01-29 09:49:00
CX,13.21,13.21,13.21,13.21,2159,0,0,2026-01-29 09:50:00
CX,13.21,13.21,13.18,13.18,24681,0,0,2026-01-29 09:51:00
CX,13.18,13.18,13.16,13.18,7800,0,0,2026-01-29 09:52:00
CX,13.18,13.18,13.16,13.16,1303,0,0,2026-01-29 09:53:00
CX,13.16,13.16,13.15,13.16,9919,0,0,2026-01-29 09:54:00
CX,13.16,13.16,13.15,13.15,2993,0,0,2026-01-29 09:55:00
CX,13.15,13.15,13.14,13.15,8323,0,0,2026-01-29 09:56:00
CX,13.15,13.15,13.13,13.13,7655,0,0,2026-01-29 09:57:00
CX,13.14,13.14,13.12,13.12,6044,0,0,2026-01-29 09:58:00
CX,13.11,13.11,13.09,13.09,9988,0,0,2026-01-29 09:59:00
CX,13.08,13.09,13.05,13.05,19212,0,0,2026-01-29 10:00:00
CX,13.06,13.07,13.06,13.06,11151,0,0,2026-01-29 10:01:00
CX,13.06,13.06,13.04,13.04,10618,0,0,2026-01-29 10:02:00
CX,13.04,13.05,13.03,13.04,32229,0,0,2026-01-29 10:03:00
CX,13.04,13.05,13.03,13.04,15207,0,0,2026-01-29 10:04:00
CX,13.05,13.07,13.04,13.05,8662,0,0,2026-01-29 10:05:00
CX,13.05,13.05,13.03,13.04,21635,0,0,2026-01-29 10:06:00
CX,13.04,13.05,13.04,13.05,15894,0,0,2026-01-29 10:07:00
CX,13.05,13.07,13.05,13.05,14392,13.05,13.06,2026-01-29 10:09:00
CX,13.05,13.05,13.03,13.04,12209,0,0,2026-01-29 10:09:00
CX,13.03,13.04,13.03,13.04,67815,0,0,2026-01-29 10:10:00
CX,13.05,13.08,13.05,13.06,28471,0,0,2026-01-29 10:11:00
CX,13.05,13.05,13.03,13.05,32755,0,0,2026-01-29 10:12:00
CX,13.04,13.04,13.04,13.04,1140,0,0,2026-01-29 10:13:00
CX,13.04,13.04,13.03,13.03,9264,0,0,2026-01-29 10:14:00
CX,13.04,13.04,13.03,13.04,83330,0,0,2026-01-29 10:15:00
CX,13.04,13.04,13.03,13.03,56142,0,0,2026-01-29 10:16:00
CX,13.01,13.01,12.96,12.96,120471,0,0,2026-01-29 10:17:00
CX,12.97,12.97,12.96,12.97,9027,0,0,2026-01-29 10:18:00
CX,12.97,12.97,12.97,12.97,975,0,0,2026-01-29 10:19:00
CX,12.96,12.96,12.95,12.96,4396,0,0,2026-01-29 10:20:00
CX,12.97,12.98,12.96,12.96,34061,0,0,2026-01-29 10:21:00
CX,12.95,12.96,12.94,12.95,15425,0,0,2026-01-29 10:22:00
CX,12.96,12.96,12.94,12.95,10109,0,0,2026-01-29 10:23:00
CX,12.95,12.95,12.93,12.93,14933,0,0,2026-01-29 10:24:00
CX,12.92,12.97,12.92,12.97,17352,0,0,2026-01-29 10:25:00
CX,12.97,12.97,12.97,12.97,2449,0,0,2026-01-29 10:26:00
CX,12.96,12.96,12.91,12.92,21318,0,0,2026-01-29 10:27:00
CX,12.91,12.92,12.91,12.91,43574,0,0,2026-01-29 10:28:00
CX,12.91,12.92,12.91,12.91,80255,0,0,2026-01-29 10:29:00
CX,12.91,12.95,12.91,12.95,39583,0,0,2026-01-29 10:30:00
CX,12.95,12.96,12.94,12.96,10886,0,0,2026-01-29 10:31:00
CX,12.96,12.96,12.95,12.96,5982,0,0,2026-01-29 10:32:00
CX,12.96,12.96,12.96,12.96,8054,0,0,2026-01-29 10:33:00
CX,12.96,12.96,12.95,12.95,12417,0,0,2026-01-29 10:34:00
CX,12.95,12.95,12.94,12.94,5096,0,0,2026-01-29 10:35:00
CX,12.94,12.94,12.91,12.93,36609,0,0,2026-01-29 10:36:00
CX,12.93,12.93,12.92,12.93,1730,0,0,2026-01-29 10:37:00
CX,12.93,12.93,12.92,12.93,5298,0,0,2026-01-29 10:38:00
CX,12.93,12.93,12.93,12.93,736,0,0,2026-01-29 10:39:00
CX,12.92,12.93,12.92,12.92,8932,0,0,2026-01-29 10:40:00
CX,12.92,12.92,12.88,12.9,168512,0,0,2026-01-29 10:41:00
CX,12.89,12.89,12.87,12.87,3057,0,0,2026-01-29 10:42:00
CX,12.88,12.9,12.88,12.88,47218,0,0,2026-01-29 10:43:00
CX,12.87,12.87,12.85,12.85,5056,12.84,12.85,2026-01-29 10:45:00
CX,12.85,12.86,12.85,12.86,8920,0,0,2026-01-29 10:45:00
CX,12.86,12.9,12.86,12.9,39876,0,0,2026-01-29 10:46:00
CX,12.9,12.9,12.84,12.85,162380,0,0,2026-01-29 10:47:00
CX,12.85,12.85,12.82,12.84,22457,0,0,2026-01-29 10:48:00
CX,12.84,12.84,12.82,12.83,14595,0,0,2026-01-29 10:49:00
CX,12.82,12.84,12.82,12.84,29914,0,0,2026-01-29 10:50:00
CX,12.84,12.84,12.81,12.82,38579,0,0,2026-01-29 10:51:00
CX,12.82,12.82,12.78,12.79,331607,0,0,2026-01-29 10:52:00
CX,12.79,12.79,12.77,12.78,18175,0,0,2026-01-29 10:53:00
CX,12.78,12.78,12.76,12.76,4103,0,0,2026-01-29 10:54:00
CX,12.76,12.78,12.74,12.77,120781,0,0,2026-01-29 10:55:00
CX,12.77,12.79,12.77,12.77,33583,0,0,2026-01-29 10:56:00
CX,12.77,12.79,12.77,12.78,44092,0,0,2026-01-29 10:57:00
CX,12.78,12.83,12.76,12.81,120759,0,0,2026-01-29 10:58:00
CX,12.81,12.81,12.79,12.79,13655,0,0,2026-01-29 10:59:00
CX,12.79,12.81,12.78,12.8,33567,0,0,2026-01-29 11:00:00
CX,12.8,12.82,12.8,12.81,43620,0,0,2026-01-29 11:01:00
CX,12.81,12.82,12.79,12.8,9729,0,0,2026-01-29 11:02:00
CX,12.8,12.8,12.79,12.79,9028,12.79,12.8,2026-01-29 11:04:00
CX,12.79,12.8,12.79,12.79,5882,0,0,2026-01-29 11:04:00
CX,12.79,12.81,12.79,12.8,12955,0,0,2026-01-29 11:05:00
CX,12.8,12.8,12.79,12.79,4606,0,0,2026-01-29 11:06:00
CX,12.79,12.79,12.78,12.79,12266,0,0,2026-01-29 11:07:00
