Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CXDO,6.93,6.93,6.93,6.93,100,0,0,2026-01-29 08:21:00
CXDO,7.07,7.09,7.07,7.09,402,6.5,7.13,2026-01-29 09:06:00
CXDO,7.09,7.09,7.09,7.09,200,0,0,2026-01-29 09:07:00
CXDO,7.09,7.09,7.09,7.09,100,0,0,2026-01-29 09:27:00
CXDO,6.88,7.06,6.88,6.97,1453,0,0,2026-01-29 09:30:00
CXDO,6.93,6.93,6.93,6.93,273,0,0,2026-01-29 09:31:00
CXDO,6.99,6.99,6.83,6.88,1937,0,0,2026-01-29 09:34:00
CXDO,6.92,7,6.92,7,1255,6.9,7.07,2026-01-29 09:36:00
CXDO,6.97,6.97,6.97,6.97,231,0,0,2026-01-29 09:36:00
CXDO,6.94,6.94,6.94,6.94,100,0,0,2026-01-29 09:38:00
CXDO,6.94,6.94,6.94,6.94,522,0,0,2026-01-29 09:40:00
CXDO,6.92,6.92,6.92,6.92,185,0,0,2026-01-29 09:41:00
CXDO,6.9,6.9,6.89,6.89,354,0,0,2026-01-29 09:42:00
CXDO,6.89,6.89,6.89,6.89,100,0,0,2026-01-29 09:43:00
CXDO,6.92,6.92,6.92,6.92,161,0,0,2026-01-29 09:45:00
CXDO,6.9,6.94,6.9,6.94,200,0,0,2026-01-29 09:46:00
CXDO,6.92,6.95,6.92,6.95,2657,0,0,2026-01-29 09:50:00
CXDO,6.96,6.96,6.96,6.96,689,0,0,2026-01-29 09:52:00
CXDO,6.92,6.92,6.84,6.84,449,0,0,2026-01-29 09:59:00
CXDO,6.83,6.83,6.83,6.83,1672,0,0,2026-01-29 10:01:00
CXDO,6.83,6.87,6.83,6.87,1301,0,0,2026-01-29 10:03:00
CXDO,6.87,6.87,6.86,6.87,858,0,0,2026-01-29 10:04:00
CXDO,6.93,6.93,6.93,6.93,1008,0,0,2026-01-29 10:05:00
CXDO,6.87,6.87,6.87,6.87,1053,0,0,2026-01-29 10:11:00
CXDO,6.81,6.81,6.81,6.81,100,0,0,2026-01-29 10:14:00
CXDO,6.86,6.86,6.86,6.86,126,0,0,2026-01-29 10:17:00
CXDO,6.82,6.82,6.82,6.82,100,0,0,2026-01-29 10:18:00
CXDO,6.82,6.83,6.82,6.83,400,0,0,2026-01-29 10:21:00
CXDO,6.88,6.88,6.88,6.88,100,0,0,2026-01-29 10:26:00
CXDO,6.82,6.82,6.82,6.82,1000,0,0,2026-01-29 10:35:00
CXDO,6.77,6.84,6.71,6.75,6426,0,0,2026-01-29 10:36:00
CXDO,6.75,6.75,6.75,6.75,100,0,0,2026-01-29 10:38:00
CXDO,6.78,6.79,6.77,6.79,1488,0,0,2026-01-29 10:39:00
CXDO,6.74,6.74,6.74,6.74,280,0,0,2026-01-29 10:41:00
CXDO,6.74,6.79,6.74,6.76,4946,0,0,2026-01-29 10:42:00
CXDO,6.76,6.77,6.75,6.76,2020,0,0,2026-01-29 10:43:00
CXDO,6.75,6.75,6.74,6.74,1117,6.73,6.75,2026-01-29 10:45:00
CXDO,6.74,6.74,6.74,6.74,536,0,0,2026-01-29 10:45:00
CXDO,6.77,6.78,6.77,6.78,1220,0,0,2026-01-29 10:46:00
CXDO,6.82,6.82,6.82,6.82,188,0,0,2026-01-29 10:49:00
CXDO,6.78,6.78,6.78,6.78,537,0,0,2026-01-29 10:50:00
CXDO,6.77,6.77,6.76,6.76,202,0,0,2026-01-29 10:55:00
CXDO,6.79,6.79,6.79,6.79,561,0,0,2026-01-29 10:56:00
CXDO,6.8,6.8,6.8,6.8,100,0,0,2026-01-29 10:57:00
CXDO,6.78,6.78,6.78,6.78,107,0,0,2026-01-29 10:59:00
CXDO,6.78,6.78,6.78,6.78,286,0,0,2026-01-29 11:03:00
CXDO,6.8,6.82,6.8,6.81,1387,0,0,2026-01-29 11:04:00
CXDO,6.85,6.85,6.85,6.85,137,0,0,2026-01-29 11:11:00
CXDO,6.85,6.85,6.85,6.85,114,0,0,2026-01-29 11:12:00
CXDO,6.85,6.85,6.85,6.85,545,0,0,2026-01-29 11:15:00
CXDO,6.85,6.85,6.85,6.85,100,0,0,2026-01-29 11:17:00
