Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CYD,46.55,46.55,46.55,46.55,1844,0,0,2026-01-29 09:30:00
CYD,47.4,47.4,47.4,47.4,131,0,0,2026-01-29 09:31:00
CYD,46.55,46.55,46.39,46.5,824,0,0,2026-01-29 09:34:00
CYD,46.84,46.84,46.84,46.84,202,0,0,2026-01-29 09:38:00
CYD,46.9,46.9,46.9,46.9,1077,0,0,2026-01-29 09:43:00
CYD,46.5,46.5,46.5,46.5,1231,0,0,2026-01-29 09:44:00
CYD,46.35,46.35,46.35,46.35,196,0,0,2026-01-29 09:46:00
CYD,46.3,46.3,46.3,46.3,285,0,0,2026-01-29 09:47:00
CYD,46.77,46.77,46.77,46.77,100,0,0,2026-01-29 09:48:00
CYD,46.59,46.6,46.59,46.6,755,0,0,2026-01-29 09:51:00
CYD,46.55,46.55,46.55,46.55,500,0,0,2026-01-29 09:52:00
CYD,46.55,46.55,46.4,46.55,1142,0,0,2026-01-29 10:00:00
CYD,46.55,46.55,46.55,46.55,113,0,0,2026-01-29 10:05:00
CYD,46.55,46.55,46.39,46.39,218,46.3,46.79,2026-01-29 10:09:00
CYD,46.31,46.55,46.3,46.55,2976,0,0,2026-01-29 10:12:00
CYD,46.3,46.41,46.3,46.41,913,0,0,2026-01-29 10:20:00
CYD,46.38,46.39,46.38,46.39,331,0,0,2026-01-29 10:23:00
CYD,46.49,46.49,46.49,46.49,586,0,0,2026-01-29 10:25:00
CYD,46.2,46.24,46.2,46.24,383,0,0,2026-01-29 10:30:00
CYD,46.25,46.25,46.25,46.25,524,0,0,2026-01-29 10:32:00
CYD,46.24,46.24,46.24,46.24,229,0,0,2026-01-29 10:35:00
CYD,46.07,46.24,46.0,46.03,3039,0,0,2026-01-29 10:36:00
CYD,46.0,46.23,46.0,46.23,2138,0,0,2026-01-29 10:39:00
CYD,46.23,46.23,45.99,45.99,2041,0,0,2026-01-29 10:40:00
CYD,45.7,45.7,45.7,45.7,207,0,0,2026-01-29 10:41:00
CYD,46.03,46.03,46.03,46.03,110,0,0,2026-01-29 10:42:00
CYD,45.71,45.78,45.7,45.78,1129,45.7,46.26,2026-01-29 10:45:00
