Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
CZR,21.42,21.42,21.42,21.42,155,0,0,2026-01-29 08:13:00
CZR,21.22,21.22,21.22,21.22,168,0,0,2026-01-29 08:39:00
CZR,21.22,21.25,21.18,21.21,37618,0,0,2026-01-29 09:30:00
CZR,21.18,21.18,21.12,21.18,3157,0,0,2026-01-29 09:31:00
CZR,21.18,21.2,21.18,21.2,646,21.14,21.25,2026-01-29 09:33:00
CZR,21.2,21.2,21.06,21.07,12200,21.03,21.13,2026-01-29 09:34:00
CZR,21.09,21.23,21.09,21.21,3140,0,0,2026-01-29 09:34:00
CZR,21.19,21.24,21.19,21.21,3697,0,0,2026-01-29 09:35:00
CZR,21.2,21.2,21.17,21.18,2753,0,0,2026-01-29 09:36:00
CZR,21.23,21.32,21.22,21.32,11003,0,0,2026-01-29 09:37:00
CZR,21.32,21.35,21.27,21.35,3267,0,0,2026-01-29 09:38:00
CZR,21.38,21.41,21.38,21.41,3584,0,0,2026-01-29 09:39:00
CZR,21.43,21.48,21.43,21.46,10531,0,0,2026-01-29 09:40:00
CZR,21.46,21.46,21.38,21.41,3128,0,0,2026-01-29 09:41:00
CZR,21.36,21.37,21.36,21.36,2500,0,0,2026-01-29 09:42:00
CZR,21.37,21.37,21.3,21.3,2139,0,0,2026-01-29 09:43:00
CZR,21.28,21.28,21.21,21.21,6641,0,0,2026-01-29 09:44:00
CZR,21.21,21.21,21.14,21.15,19406,0,0,2026-01-29 09:45:00
CZR,21.16,21.18,21.09,21.11,6702,0,0,2026-01-29 09:46:00
CZR,21.09,21.1,21.08,21.1,1374,0,0,2026-01-29 09:47:00
CZR,21.1,21.1,21.07,21.07,3991,0,0,2026-01-29 09:48:00
CZR,21.09,21.11,21.09,21.11,3863,0,0,2026-01-29 09:49:00
CZR,21.12,21.12,21.07,21.11,17373,0,0,2026-01-29 09:50:00
CZR,21.1,21.1,21.0,21.02,13808,0,0,2026-01-29 09:51:00
CZR,21.03,21.04,20.97,21.03,33712,0,0,2026-01-29 09:52:00
CZR,21.03,21.1,21.01,21.1,28891,0,0,2026-01-29 09:53:00
CZR,21.11,21.18,21.09,21.17,4083,0,0,2026-01-29 09:54:00
CZR,21.16,21.18,21.15,21.17,22664,0,0,2026-01-29 09:55:00
CZR,21.17,21.17,21.13,21.14,23435,0,0,2026-01-29 09:56:00
