Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DAN,29.35,29.61,29.35,29.41,20379,0,0,2026-01-29 09:30:00
DAN,29.47,29.47,29.47,29.47,153,29.15,29.77,2026-01-29 09:33:00
DAN,29.22,29.22,29.15,29.15,1996,0,0,2026-01-29 09:34:00
DAN,29.29,29.29,29.29,29.29,647,0,0,2026-01-29 09:36:00
DAN,29.36,29.5,29.36,29.46,2895,0,0,2026-01-29 09:37:00
DAN,29.45,29.52,29.45,29.52,1365,0,0,2026-01-29 09:38:00
DAN,29.52,29.52,29.52,29.52,335,0,0,2026-01-29 09:39:00
DAN,29.44,29.49,29.41,29.41,668,0,0,2026-01-29 09:42:00
DAN,29.4,29.49,29.36,29.38,3230,0,0,2026-01-29 09:43:00
DAN,29.37,29.37,29.37,29.37,648,0,0,2026-01-29 09:44:00
DAN,29.28,29.28,29.28,29.28,232,0,0,2026-01-29 09:45:00
DAN,29.27,29.27,29.23,29.23,1659,0,0,2026-01-29 09:46:00
DAN,29.14,29.14,29.14,29.14,738,0,0,2026-01-29 09:47:00
DAN,29.05,29.05,29.05,29.05,314,0,0,2026-01-29 09:48:00
DAN,29.14,29.14,29.13,29.13,1042,0,0,2026-01-29 09:49:00
DAN,29.05,29.12,29.05,29.12,1253,0,0,2026-01-29 09:50:00
DAN,29.04,29.05,29.03,29.03,1200,0,0,2026-01-29 09:51:00
DAN,29.01,29.01,29.01,29.01,621,0,0,2026-01-29 09:52:00
DAN,29.02,29.02,29.02,29.02,435,0,0,2026-01-29 09:55:00
DAN,29.02,29.02,29.02,29.02,426,0,0,2026-01-29 09:56:00
DAN,29.0,29.01,29.0,29.01,446,0,0,2026-01-29 09:57:00
DAN,29.01,29.01,29.0,29.0,292,0,0,2026-01-29 09:58:00
DAN,29.0,29.0,28.93,28.93,886,0,0,2026-01-29 09:59:00
DAN,29.0,29.14,28.94,29.14,4717,0,0,2026-01-29 10:00:00
DAN,29.05,29.07,29.04,29.07,2529,0,0,2026-01-29 10:01:00
DAN,29.07,29.07,29.04,29.04,932,0,0,2026-01-29 10:02:00
DAN,29.09,29.16,29.07,29.16,4536,0,0,2026-01-29 10:03:00
DAN,29.16,29.16,29.16,29.16,488,0,0,2026-01-29 10:04:00
DAN,29.16,29.16,29.16,29.16,948,0,0,2026-01-29 10:05:00
DAN,29.22,29.22,29.18,29.18,1088,0,0,2026-01-29 10:06:00
DAN,29.18,29.18,29.18,29.18,144,0,0,2026-01-29 10:07:00
DAN,29.14,29.18,29.13,29.18,9007,0,0,2026-01-29 10:08:00
DAN,29.18,29.18,29.12,29.18,409,0,0,2026-01-29 10:09:00
DAN,29.14,29.22,29.14,29.2,4332,0,0,2026-01-29 10:10:00
DAN,29.17,29.17,29.17,29.17,855,0,0,2026-01-29 10:11:00
DAN,29.17,29.18,29.06,29.06,4350,0,0,2026-01-29 10:12:00
DAN,29.05,29.05,29.02,29.02,582,0,0,2026-01-29 10:13:00
DAN,28.99,29.01,28.9,29.01,3230,0,0,2026-01-29 10:14:00
DAN,29.02,29.02,28.95,29.02,1794,0,0,2026-01-29 10:15:00
DAN,29.1,29.11,29.05,29.09,1837,0,0,2026-01-29 10:16:00
DAN,29.09,29.09,29.0,29.05,2098,0,0,2026-01-29 10:17:00
DAN,29.04,29.04,29.04,29.04,678,0,0,2026-01-29 10:18:00
DAN,28.99,29.02,28.99,29.02,1374,0,0,2026-01-29 10:19:00
DAN,29.05,29.13,29.05,29.13,4638,0,0,2026-01-29 10:20:00
DAN,29.15,29.15,29.15,29.15,680,0,0,2026-01-29 10:21:00
DAN,29.1,29.1,29.04,29.08,6225,0,0,2026-01-29 10:22:00
DAN,29.19,29.19,29.19,29.19,435,0,0,2026-01-29 10:23:00
DAN,29.13,29.16,29.13,29.16,650,0,0,2026-01-29 10:24:00
DAN,29.14,29.15,29.11,29.11,881,0,0,2026-01-29 10:25:00
DAN,29.11,29.11,29.05,29.05,3845,0,0,2026-01-29 10:26:00
DAN,29.09,29.09,29.09,29.09,445,0,0,2026-01-29 10:27:00
DAN,29.09,29.09,29.09,29.09,164,0,0,2026-01-29 10:28:00
DAN,29.08,29.08,29.08,29.08,413,0,0,2026-01-29 10:30:00
DAN,29.1,29.1,29.1,29.1,539,0,0,2026-01-29 10:31:00
DAN,29.14,29.15,29.14,29.15,679,0,0,2026-01-29 10:32:00
DAN,29.14,29.15,29.1,29.1,1732,0,0,2026-01-29 10:33:00
DAN,29.09,29.09,29.09,29.09,684,0,0,2026-01-29 10:34:00
DAN,29.08,29.08,29.01,29.04,5249,0,0,2026-01-29 10:35:00
DAN,29.02,29.02,29.02,29.02,672,0,0,2026-01-29 10:36:00
DAN,29.02,29.02,29.0,29.0,13241,0,0,2026-01-29 10:37:00
DAN,29.0,29.0,28.97,28.97,2616,0,0,2026-01-29 10:38:00
DAN,28.99,29.0,28.99,29.0,1094,0,0,2026-01-29 10:39:00
DAN,28.95,29.0,28.95,29.0,1870,0,0,2026-01-29 10:40:00
DAN,28.97,28.97,28.95,28.95,1692,0,0,2026-01-29 10:41:00
DAN,28.93,28.93,28.91,28.91,3199,0,0,2026-01-29 10:42:00
DAN,28.91,28.91,28.91,28.91,1293,0,0,2026-01-29 10:43:00
DAN,28.93,28.93,28.89,28.89,2680,28.88,28.92,2026-01-29 10:45:00
DAN,28.88,28.88,28.84,28.84,2333,0,0,2026-01-29 10:45:00
DAN,28.87,28.88,28.84,28.87,1068,0,0,2026-01-29 10:46:00
DAN,28.89,28.94,28.88,28.94,4125,0,0,2026-01-29 10:47:00
DAN,28.94,28.96,28.92,28.92,1027,0,0,2026-01-29 10:48:00
DAN,28.91,28.91,28.87,28.87,1192,0,0,2026-01-29 10:49:00
DAN,28.89,28.9,28.87,28.87,2372,0,0,2026-01-29 10:50:00
DAN,28.84,28.84,28.82,28.82,1023,0,0,2026-01-29 10:52:00
DAN,28.8,28.82,28.8,28.82,713,0,0,2026-01-29 10:53:00
DAN,28.8,28.83,28.8,28.83,1208,0,0,2026-01-29 10:54:00
DAN,28.84,28.86,28.84,28.86,2346,0,0,2026-01-29 10:55:00
DAN,28.88,28.95,28.88,28.92,2020,0,0,2026-01-29 10:56:00
DAN,28.91,28.91,28.88,28.88,1356,0,0,2026-01-29 10:57:00
DAN,28.86,28.86,28.8,28.8,3363,0,0,2026-01-29 10:58:00
DAN,28.8,28.8,28.8,28.8,236,0,0,2026-01-29 10:59:00
DAN,28.81,28.81,28.81,28.81,557,0,0,2026-01-29 11:00:00
DAN,28.82,28.82,28.79,28.79,1162,0,0,2026-01-29 11:01:00
DAN,28.76,28.76,28.75,28.75,791,0,0,2026-01-29 11:02:00
DAN,28.76,28.76,28.73,28.73,698,0,0,2026-01-29 11:03:00
DAN,28.76,28.8,28.74,28.79,2511,0,0,2026-01-29 11:04:00
DAN,28.79,28.79,28.76,28.76,1253,0,0,2026-01-29 11:05:00
DAN,28.73,28.73,28.68,28.69,1720,0,0,2026-01-29 11:06:00
DAN,28.7,28.7,28.64,28.64,2077,0,0,2026-01-29 11:07:00
DAN,28.66,28.68,28.66,28.66,1649,0,0,2026-01-29 11:08:00
DAN,28.69,28.71,28.69,28.69,958,0,0,2026-01-29 11:09:00
DAN,28.67,28.67,28.67,28.67,398,0,0,2026-01-29 11:10:00
DAN,28.7,28.8,28.7,28.8,6050,0,0,2026-01-29 11:11:00
DAN,28.84,28.86,28.84,28.86,1535,0,0,2026-01-29 11:12:00
DAN,28.86,28.86,28.86,28.86,1840,0,0,2026-01-29 11:13:00
DAN,28.89,28.95,28.89,28.95,1024,0,0,2026-01-29 11:14:00
DAN,28.96,29.02,28.96,29.02,3235,0,0,2026-01-29 11:15:00
DAN,29.02,29.02,28.94,28.94,11537,0,0,2026-01-29 11:16:00
DAN,28.94,28.94,28.87,28.91,4903,0,0,2026-01-29 11:17:00
DAN,28.92,28.92,28.91,28.91,554,0,0,2026-01-29 11:18:00
DAN,28.93,28.94,28.91,28.91,1251,0,0,2026-01-29 11:19:00
DAN,28.93,29.01,28.92,29.01,2634,0,0,2026-01-29 11:20:00
DAN,29.0,29.0,28.96,28.96,1463,0,0,2026-01-29 11:21:00
DAN,28.93,28.94,28.93,28.93,1170,0,0,2026-01-29 11:22:00
DAN,28.91,28.95,28.91,28.93,911,0,0,2026-01-29 11:23:00
DAN,28.93,28.93,28.93,28.93,660,0,0,2026-01-29 11:24:00
DAN,28.93,28.95,28.93,28.94,974,0,0,2026-01-29 11:25:00
DAN,28.94,28.94,28.94,28.94,611,0,0,2026-01-29 11:26:00
DAN,28.92,28.92,28.92,28.92,1392,0,0,2026-01-29 11:27:00
DAN,28.94,28.94,28.94,28.94,732,0,0,2026-01-29 11:28:00
DAN,28.94,28.99,28.94,28.99,2161,0,0,2026-01-29 11:29:00
DAN,29.01,29.04,29.01,29.04,1446,0,0,2026-01-29 11:30:00
DAN,29.08,29.08,29.08,29.08,714,0,0,2026-01-29 11:31:00
DAN,29.05,29.05,29.04,29.05,2034,0,0,2026-01-29 11:32:00
DAN,29.04,29.04,29.0,29.0,1772,0,0,2026-01-29 11:33:00
DAN,29.0,29.0,29.0,29.0,351,0,0,2026-01-29 11:34:00
DAN,28.99,28.99,28.99,28.99,844,0,0,2026-01-29 11:35:00
DAN,28.98,29.03,28.98,29.02,3743,0,0,2026-01-29 11:37:00
DAN,29.0,29.0,29.0,29.0,719,0,0,2026-01-29 11:38:00
DAN,28.99,29.05,28.99,29.05,976,0,0,2026-01-29 11:39:00
DAN,29.04,29.06,29.02,29.02,1815,0,0,2026-01-29 11:41:00
DAN,29.01,29.01,29.0,29.01,2170,0,0,2026-01-29 11:43:00
DAN,29.01,29.03,29.01,29.01,644,0,0,2026-01-29 11:44:00
DAN,29.0,29.02,28.96,28.96,1274,0,0,2026-01-29 11:45:00
DAN,28.99,28.99,28.99,28.99,593,0,0,2026-01-29 11:46:00
DAN,29.0,29.05,29.0,29.05,2476,0,0,2026-01-29 11:47:00
DAN,29.05,29.05,29.02,29.03,1386,0,0,2026-01-29 11:48:00
DAN,29.04,29.05,29.04,29.05,690,0,0,2026-01-29 11:49:00
DAN,29.05,29.07,29.05,29.07,1230,0,0,2026-01-29 11:50:00
DAN,29.07,29.11,29.07,29.11,1866,0,0,2026-01-29 11:51:00
DAN,29.09,29.09,29.09,29.09,920,0,0,2026-01-29 11:52:00
DAN,29.07,29.08,29.07,29.08,1025,0,0,2026-01-29 11:53:00
DAN,29.09,29.12,29.09,29.11,896,0,0,2026-01-29 11:54:00
DAN,29.11,29.12,29.11,29.12,1124,0,0,2026-01-29 11:55:00
DAN,29.11,29.11,29.1,29.1,777,0,0,2026-01-29 11:56:00
DAN,29.11,29.11,29.11,29.11,519,0,0,2026-01-29 11:57:00
DAN,29.12,29.12,29.11,29.11,1607,0,0,2026-01-29 11:58:00
DAN,29.11,29.11,29.08,29.08,1694,0,0,2026-01-29 11:59:00
DAN,29.1,29.1,29.1,29.1,938,0,0,2026-01-29 12:00:00
DAN,29.12,29.14,29.12,29.14,1153,0,0,2026-01-29 12:01:00
DAN,29.15,29.18,29.15,29.18,1649,0,0,2026-01-29 12:03:00
DAN,29.19,29.19,29.16,29.16,1729,0,0,2026-01-29 12:05:00
DAN,29.14,29.14,29.13,29.13,721,0,0,2026-01-29 12:08:00
DAN,29.13,29.13,29.13,29.13,326,0,0,2026-01-29 12:09:00
DAN,29.14,29.18,29.14,29.18,2101,0,0,2026-01-29 12:10:00
DAN,29.17,29.19,29.17,29.19,937,0,0,2026-01-29 12:11:00
DAN,29.22,29.22,29.22,29.22,401,0,0,2026-01-29 12:12:00
