Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DAR,44.77,44.78,44.77,44.78,436,0,0,2026-01-29 08:23:00
DAR,45.0,45.25,45.0,45.01,1854,0,0,2026-01-29 08:36:00
DAR,45.25,45.25,45.19,45.2,4691,44.8,45.2,2026-01-29 08:48:00
DAR,44.81,44.89,44.8,44.89,715,44.8,44.9,2026-01-29 08:53:00
DAR,44.9,44.9,44.89,44.89,766,44.9,45.2,2026-01-29 09:01:00
DAR,45.2,45.2,45.2,45.2,4677,0,0,2026-01-29 09:28:00
DAR,45.2,45.21,45.2,45.21,24301,45.21,45.72,2026-01-29 09:30:01
DAR,45.57,45.72,45.47,45.48,76969,0,0,2026-01-29 09:30:00
DAR,45.48,46.59,45.48,46.4,46628,0,0,2026-01-29 09:31:00
DAR,46.77,46.85,46.5,46.77,5032,0,0,2026-01-29 09:32:00
DAR,46.59,46.59,46.36,46.56,53983,46.33,46.79,2026-01-29 09:34:00
DAR,46.56,46.57,46.55,46.55,7102,0,0,2026-01-29 09:34:00
DAR,46.55,47.26,46.55,47.26,16724,0,0,2026-01-29 09:35:00
DAR,47.23,47.25,46.77,46.77,9772,0,0,2026-01-29 09:36:00
DAR,46.74,46.83,46.67,46.82,12855,0,0,2026-01-29 09:37:00
DAR,46.98,46.98,46.7,46.7,2015,0,0,2026-01-29 09:38:00
DAR,46.83,46.97,46.68,46.72,8311,0,0,2026-01-29 09:39:00
DAR,46.69,47.01,46.68,46.91,10006,0,0,2026-01-29 09:40:00
DAR,46.85,46.85,46.02,46.02,16856,0,0,2026-01-29 09:41:00
DAR,46.1,46.17,45.82,45.82,7545,0,0,2026-01-29 09:42:00
DAR,46.01,46.01,45.67,45.67,2757,0,0,2026-01-29 09:43:00
DAR,45.6,45.72,45.6,45.72,4009,0,0,2026-01-29 09:44:00
DAR,45.72,45.88,45.72,45.85,3173,0,0,2026-01-29 09:45:00
DAR,46.04,46.1,45.99,46.08,7165,0,0,2026-01-29 09:46:00
DAR,46.05,46.26,46.04,46.26,4107,0,0,2026-01-29 09:47:00
DAR,46.25,46.31,46.15,46.2,13335,0,0,2026-01-29 09:48:00
DAR,46.2,46.29,46.11,46.25,30736,0,0,2026-01-29 09:49:00
DAR,46.3,46.34,46.22,46.24,6044,0,0,2026-01-29 09:50:00
DAR,46.23,46.3,46.19,46.26,17453,0,0,2026-01-29 09:51:00
DAR,46.26,46.26,46.12,46.14,4778,0,0,2026-01-29 09:52:00
DAR,46.14,46.27,46.14,46.22,9694,0,0,2026-01-29 09:53:00
DAR,46.23,46.32,46.15,46.32,8953,0,0,2026-01-29 09:54:00
DAR,46.26,46.27,46.2,46.26,3721,0,0,2026-01-29 09:55:00
DAR,46.25,46.35,46.25,46.3,21399,0,0,2026-01-29 09:56:00
DAR,46.3,46.34,46.25,46.27,6611,0,0,2026-01-29 09:57:00
DAR,46.25,46.38,46.25,46.31,10105,0,0,2026-01-29 09:58:00
DAR,46.22,46.22,46.1,46.1,2668,0,0,2026-01-29 09:59:00
DAR,46.1,46.1,45.92,46.01,2662,0,0,2026-01-29 10:00:00
DAR,45.97,45.97,45.92,45.95,2055,0,0,2026-01-29 10:01:00
DAR,45.97,46.08,45.96,46.07,5569,0,0,2026-01-29 10:02:00
DAR,46.02,46.02,45.86,45.95,10528,0,0,2026-01-29 10:03:00
DAR,45.95,46.02,45.93,45.96,6589,0,0,2026-01-29 10:04:00
DAR,45.96,45.97,45.92,45.92,2719,0,0,2026-01-29 10:05:00
DAR,45.97,46.15,45.97,46.02,20036,0,0,2026-01-29 10:06:00
DAR,46.05,46.08,46.02,46.05,9409,0,0,2026-01-29 10:07:00
DAR,46.05,46.1,46.04,46.09,1256,0,0,2026-01-29 10:08:00
DAR,46.04,46.09,46.04,46.09,2224,0,0,2026-01-29 10:09:00
DAR,46.08,46.11,46.02,46.02,3093,0,0,2026-01-29 10:10:00
DAR,46.0,46.0,45.88,45.89,5107,0,0,2026-01-29 10:11:00
DAR,45.97,45.97,45.9,45.95,9575,0,0,2026-01-29 10:12:00
DAR,45.89,45.95,45.84,45.85,6656,0,0,2026-01-29 10:13:00
DAR,45.82,45.85,45.82,45.82,2794,0,0,2026-01-29 10:14:00
DAR,45.8,45.88,45.8,45.85,7660,0,0,2026-01-29 10:15:00
DAR,45.85,45.9,45.82,45.82,2772,0,0,2026-01-29 10:16:00
DAR,45.81,45.86,45.76,45.76,2806,0,0,2026-01-29 10:17:00
DAR,45.81,45.82,45.71,45.71,5167,0,0,2026-01-29 10:18:00
DAR,45.73,45.73,45.69,45.7,2135,0,0,2026-01-29 10:19:00
DAR,45.69,45.75,45.64,45.71,1126,0,0,2026-01-29 10:20:00
DAR,45.71,45.77,45.71,45.74,3485,0,0,2026-01-29 10:21:00
DAR,45.7,45.74,45.7,45.71,3232,0,0,2026-01-29 10:22:00
DAR,45.73,45.79,45.73,45.74,3970,0,0,2026-01-29 10:23:00
DAR,45.73,45.82,45.73,45.81,2856,0,0,2026-01-29 10:24:00
DAR,45.81,45.81,45.75,45.8,6798,0,0,2026-01-29 10:25:00
DAR,45.8,45.8,45.72,45.79,25400,0,0,2026-01-29 10:26:00
DAR,45.73,45.85,45.67,45.85,7894,0,0,2026-01-29 10:27:00
DAR,45.84,45.9,45.83,45.83,2545,0,0,2026-01-29 10:28:00
DAR,45.84,45.84,45.78,45.79,2882,0,0,2026-01-29 10:29:00
