Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DASH,206.62,206.62,206.62,206.62,49,0,0,2026-01-29 08:11:00
DASH,206.02,206.02,206.02,206.02,49,0,0,2026-01-29 08:12:00
DASH,206.66,206.66,206.66,206.66,50,0,0,2026-01-29 08:15:00
DASH,206.63,206.63,206.63,206.63,103,0,0,2026-01-29 08:29:00
DASH,206.53,206.53,206.53,206.53,132,0,0,2026-01-29 08:51:00
DASH,206.0,206.0,206.0,206.0,80,0,0,2026-01-29 09:06:00
DASH,205.33,205.33,205.33,205.33,125,0,0,2026-01-29 09:27:00
DASH,206.25,206.25,204.84,205.56,23800,0,0,2026-01-29 09:30:00
DASH,205.56,205.57,205.07,205.38,10607,0,0,2026-01-29 09:31:00
DASH,205.13,205.38,204.71,204.81,6731,0,0,2026-01-29 09:32:00
DASH,204.81,205.42,204.58,205.3,8673,0,0,2026-01-29 09:33:00
DASH,205.12,206.71,205.12,206.25,4723,0,0,2026-01-29 09:34:00
DASH,206.53,207.68,206.35,207.07,8282,0,0,2026-01-29 09:35:00
DASH,206.72,206.72,205.7,205.89,14102,0,0,2026-01-29 09:36:00
DASH,205.94,206.94,205.74,206.94,7315,0,0,2026-01-29 09:37:00
DASH,207.15,207.76,206.6,207.23,6814,0,0,2026-01-29 09:38:00
DASH,207.21,207.46,206.84,207.03,4088,0,0,2026-01-29 09:39:00
DASH,206.83,207.02,206.41,206.59,7106,0,0,2026-01-29 09:40:00
DASH,206.98,207.03,206.39,207.0,5441,0,0,2026-01-29 09:41:00
DASH,206.78,206.8,206.0,206.47,20865,0,0,2026-01-29 09:42:00
DASH,206.56,207.08,206.36,206.99,7968,0,0,2026-01-29 09:43:00
DASH,206.85,207.08,206.6,207.03,11033,0,0,2026-01-29 09:44:00
DASH,206.78,207.2,206.48,207.13,12559,0,0,2026-01-29 09:45:00
DASH,207.13,207.29,206.62,206.88,16267,0,0,2026-01-29 09:46:00
DASH,206.88,207.98,206.88,207.98,12191,0,0,2026-01-29 09:47:00
DASH,207.99,208.99,207.94,208.71,10336,0,0,2026-01-29 09:48:00
DASH,208.57,208.84,208.18,208.59,14722,0,0,2026-01-29 09:49:00
DASH,208.31,208.35,207.91,207.97,2460,0,0,2026-01-29 09:50:00
DASH,207.78,207.78,207.18,207.52,6227,0,0,2026-01-29 09:51:00
DASH,207.64,208.06,207.31,208.01,5394,0,0,2026-01-29 09:52:00
DASH,207.81,208.05,207.72,207.85,2637,0,0,2026-01-29 09:53:00
DASH,207.65,208.19,207.47,208.18,1992,0,0,2026-01-29 09:54:00
DASH,208.29,209.0,208.12,208.88,3205,0,0,2026-01-29 09:55:00
DASH,209.0,209.23,208.76,208.97,3906,0,0,2026-01-29 09:56:00
DASH,208.91,209.3,208.53,209.12,6499,0,0,2026-01-29 09:57:00
DASH,209.16,209.23,208.65,208.78,12206,0,0,2026-01-29 09:58:00
DASH,208.76,209.05,208.65,208.68,8918,0,0,2026-01-29 09:59:00
DASH,209.06,209.28,208.58,208.81,13181,0,0,2026-01-29 10:00:00
DASH,208.8,208.85,208.24,208.3,6920,0,0,2026-01-29 10:01:00
DASH,208.22,208.31,207.8,208.02,6430,0,0,2026-01-29 10:02:00
DASH,208.01,208.01,207.38,207.56,7226,0,0,2026-01-29 10:03:00
DASH,207.56,207.56,207.41,207.55,1900,0,0,2026-01-29 10:04:00
DASH,207.58,207.68,206.94,207.03,37501,0,0,2026-01-29 10:05:00
DASH,207.12,207.76,207.12,207.68,7525,0,0,2026-01-29 10:06:00
DASH,207.74,208.03,207.67,208.03,3145,0,0,2026-01-29 10:07:00
DASH,208.05,208.52,207.94,208.35,8326,0,0,2026-01-29 10:08:00
DASH,208.35,208.35,208.0,208.06,6462,0,0,2026-01-29 10:09:00
DASH,207.9,207.9,207.43,207.54,7974,0,0,2026-01-29 10:10:00
DASH,207.5,207.92,207.5,207.92,1898,0,0,2026-01-29 10:11:00
DASH,207.95,208.07,207.42,207.51,4619,0,0,2026-01-29 10:12:00
DASH,207.46,207.48,207.19,207.21,3674,0,0,2026-01-29 10:13:00
DASH,207.17,207.52,207.07,207.46,9028,0,0,2026-01-29 10:14:00
DASH,207.3,207.53,207.1,207.3,4960,0,0,2026-01-29 10:15:00
DASH,207.45,207.68,207.32,207.53,4501,0,0,2026-01-29 10:16:00
DASH,207.53,207.53,207.37,207.51,2622,0,0,2026-01-29 10:17:00
DASH,207.63,207.77,207.35,207.66,3998,0,0,2026-01-29 10:18:00
DASH,207.82,207.83,207.46,207.53,2512,0,0,2026-01-29 10:19:00
DASH,207.54,207.97,207.32,207.89,3250,0,0,2026-01-29 10:20:00
DASH,207.98,208.16,207.89,207.94,4044,0,0,2026-01-29 10:21:00
DASH,207.96,207.96,207.63,207.94,2485,0,0,2026-01-29 10:22:00
DASH,207.93,208.07,207.64,207.92,3431,0,0,2026-01-29 10:23:00
DASH,208.09,208.09,207.64,207.99,2202,0,0,2026-01-29 10:24:00
DASH,208.0,208.07,207.73,207.91,1991,0,0,2026-01-29 10:25:00
DASH,208.08,208.1,207.4,207.4,4906,0,0,2026-01-29 10:26:00
DASH,207.41,207.59,207.15,207.2,7652,0,0,2026-01-29 10:27:00
DASH,207.07,207.34,207.06,207.29,3292,0,0,2026-01-29 10:28:00
DASH,207.25,207.43,207.09,207.4,2676,0,0,2026-01-29 10:29:00
DASH,207.43,207.63,207.28,207.61,5997,0,0,2026-01-29 10:30:00
DASH,207.44,207.64,207.37,207.43,2541,0,0,2026-01-29 10:31:00
DASH,207.43,207.55,206.98,207.33,11692,0,0,2026-01-29 10:32:00
DASH,207.25,207.38,207.25,207.32,2668,0,0,2026-01-29 10:33:00
DASH,207.26,207.55,207.13,207.47,4953,0,0,2026-01-29 10:34:00
DASH,207.5,207.61,207.43,207.51,5223,0,0,2026-01-29 10:35:00
DASH,207.49,207.56,207.09,207.23,7785,0,0,2026-01-29 10:36:00
DASH,207.32,207.4,207.14,207.26,5857,0,0,2026-01-29 10:37:00
DASH,207.23,207.23,206.76,206.97,4198,0,0,2026-01-29 10:38:00
DASH,207.07,207.21,206.88,207.04,8617,0,0,2026-01-29 10:39:00
DASH,207.04,207.04,206.69,206.85,7252,0,0,2026-01-29 10:40:00
DASH,206.85,207.17,206.73,207.15,4828,0,0,2026-01-29 10:41:00
DASH,207.03,207.17,206.79,207.03,16121,0,0,2026-01-29 10:42:00
DASH,206.93,207.27,206.92,207.18,7053,0,0,2026-01-29 10:43:00
DASH,207.28,207.47,207.25,207.38,3288,207.26,207.65,2026-01-29 10:45:00
DASH,207.48,207.48,207.26,207.47,2222,0,0,2026-01-29 10:45:00
DASH,207.45,207.64,207.45,207.46,3387,0,0,2026-01-29 10:46:00
DASH,207.4,207.88,207.28,207.88,3734,0,0,2026-01-29 10:47:00
DASH,207.78,207.97,207.78,207.81,3447,0,0,2026-01-29 10:48:00
DASH,207.81,207.81,207.26,207.45,3049,0,0,2026-01-29 10:49:00
DASH,207.58,207.58,207.36,207.41,3021,0,0,2026-01-29 10:50:00
DASH,207.46,207.81,207.45,207.66,7909,0,0,2026-01-29 10:51:00
DASH,207.65,207.65,207.12,207.12,16303,0,0,2026-01-29 10:52:00
DASH,207.13,207.13,207.09,207.09,877,0,0,2026-01-29 10:53:00
DASH,207.03,207.27,206.78,207.06,7895,0,0,2026-01-29 10:54:00
DASH,207.23,207.97,207.1,207.9,6113,0,0,2026-01-29 10:55:00
DASH,207.83,208.38,207.83,208.36,3031,0,0,2026-01-29 10:56:00
DASH,208.38,208.58,208.23,208.26,6033,0,0,2026-01-29 10:57:00
DASH,208.32,208.33,208.04,208.24,3981,0,0,2026-01-29 10:58:00
DASH,208.03,208.13,207.79,207.9,4165,0,0,2026-01-29 10:59:00
DASH,207.79,207.88,207.41,207.84,10871,0,0,2026-01-29 11:00:00
DASH,207.79,207.86,207.66,207.73,3000,0,0,2026-01-29 11:01:00
DASH,207.74,207.74,207.25,207.62,5150,0,0,2026-01-29 11:02:00
DASH,207.72,207.87,207.65,207.65,2340,0,0,2026-01-29 11:03:00
DASH,207.65,208.21,207.65,207.82,3398,0,0,2026-01-29 11:04:00
DASH,207.93,208.1,207.88,207.88,1782,0,0,2026-01-29 11:05:00
DASH,207.88,208.12,207.73,208.08,5492,0,0,2026-01-29 11:06:00
DASH,207.96,208.09,207.53,207.62,2295,0,0,2026-01-29 11:07:00
DASH,207.69,207.93,207.59,207.92,4398,0,0,2026-01-29 11:08:00
DASH,207.76,208.23,207.76,208.18,3963,0,0,2026-01-29 11:09:00
DASH,208.16,208.16,207.9,208.1,2682,0,0,2026-01-29 11:10:00
DASH,208.24,208.48,208.24,208.3,2025,0,0,2026-01-29 11:11:00
DASH,208.48,208.55,208.25,208.54,3017,0,0,2026-01-29 11:12:00
DASH,208.55,208.84,208.5,208.66,2916,0,0,2026-01-29 11:13:00
DASH,208.55,208.84,208.54,208.54,2213,0,0,2026-01-29 11:14:00
DASH,208.62,208.78,208.59,208.59,1505,0,0,2026-01-29 11:15:00
DASH,208.56,208.7,208.27,208.4,3321,0,0,2026-01-29 11:16:00
DASH,208.4,208.57,208.4,208.57,1788,0,0,2026-01-29 11:17:00
DASH,208.58,208.76,208.46,208.47,5723,0,0,2026-01-29 11:18:00
DASH,208.48,208.83,208.48,208.72,2258,0,0,2026-01-29 11:19:00
DASH,208.83,209.09,208.72,208.78,2988,0,0,2026-01-29 11:20:00
DASH,208.79,208.79,208.58,208.59,2168,0,0,2026-01-29 11:21:00
DASH,208.65,208.65,208.22,208.31,3355,0,0,2026-01-29 11:22:00
DASH,208.18,208.53,208.1,208.43,2613,0,0,2026-01-29 11:23:00
DASH,208.39,208.44,208.39,208.44,1047,0,0,2026-01-29 11:24:00
DASH,208.44,208.56,208.44,208.56,1898,0,0,2026-01-29 11:25:00
DASH,208.47,208.47,208.23,208.27,2854,0,0,2026-01-29 11:26:00
DASH,208.27,208.31,207.99,207.99,2729,0,0,2026-01-29 11:27:00
DASH,208.32,208.34,208.05,208.33,3777,0,0,2026-01-29 11:28:00
DASH,208.32,208.63,208.27,208.47,5592,0,0,2026-01-29 11:29:00
DASH,208.52,208.63,208.33,208.4,1920,0,0,2026-01-29 11:30:00
DASH,208.23,208.48,208.22,208.48,1186,0,0,2026-01-29 11:31:00
DASH,208.35,208.58,208.35,208.58,3563,0,0,2026-01-29 11:32:00
DASH,208.59,208.6,208.41,208.41,2439,0,0,2026-01-29 11:33:00
DASH,208.41,208.5,208.26,208.39,3024,0,0,2026-01-29 11:34:00
DASH,208.32,208.49,208.14,208.14,3880,0,0,2026-01-29 11:35:00
DASH,208.24,208.49,208.19,208.19,3442,0,0,2026-01-29 11:36:00
DASH,208.35,208.35,208.34,208.34,935,0,0,2026-01-29 11:37:00
DASH,208.34,208.45,208.33,208.45,1499,0,0,2026-01-29 11:38:00
DASH,208.32,208.65,208.32,208.47,4292,0,0,2026-01-29 11:39:00
DASH,208.47,208.79,208.47,208.76,3747,0,0,2026-01-29 11:40:00
DASH,208.76,208.91,208.66,208.76,4747,0,0,2026-01-29 11:41:00
DASH,208.86,208.91,208.67,208.76,2779,0,0,2026-01-29 11:42:00
DASH,208.84,208.89,208.74,208.76,2587,0,0,2026-01-29 11:43:00
DASH,208.81,208.99,208.43,208.46,9941,0,0,2026-01-29 11:44:00
DASH,208.57,208.72,208.33,208.37,18498,0,0,2026-01-29 11:45:00
DASH,208.53,208.76,208.53,208.6,7442,0,0,2026-01-29 11:46:00
DASH,208.59,208.86,208.59,208.86,4287,0,0,2026-01-29 11:47:00
DASH,208.87,208.87,208.48,208.62,9566,0,0,2026-01-29 11:48:00
DASH,208.62,208.62,208.43,208.57,2344,0,0,2026-01-29 11:49:00
DASH,208.58,208.68,208.49,208.58,3975,0,0,2026-01-29 11:50:00
DASH,208.58,208.71,208.47,208.56,15192,0,0,2026-01-29 11:51:00
DASH,208.56,208.68,208.3,208.3,4539,0,0,2026-01-29 11:52:00
DASH,208.3,208.56,208.29,208.42,5382,0,0,2026-01-29 11:53:00
DASH,208.42,208.57,208.4,208.4,4689,0,0,2026-01-29 11:54:00
DASH,208.4,208.67,208.4,208.54,8974,0,0,2026-01-29 11:55:00
DASH,208.54,208.54,208.36,208.47,2588,0,0,2026-01-29 11:56:00
DASH,208.47,208.47,208.26,208.34,4497,0,0,2026-01-29 11:57:00
DASH,208.34,208.52,208.29,208.52,2332,0,0,2026-01-29 11:58:00
DASH,208.47,208.76,208.4,208.74,4866,0,0,2026-01-29 11:59:00
DASH,208.69,208.78,208.51,208.67,19021,0,0,2026-01-29 12:00:00
DASH,208.74,208.89,208.66,208.81,4147,0,0,2026-01-29 12:01:00
DASH,208.91,209.06,208.8,209.0,6435,0,0,2026-01-29 12:02:00
DASH,208.88,209.05,208.88,209.04,1657,0,0,2026-01-29 12:03:00
DASH,209.04,209.05,208.96,209.04,3041,0,0,2026-01-29 12:04:00
DASH,208.97,209.08,208.85,208.91,20875,0,0,2026-01-29 12:05:00
DASH,208.93,209.04,208.88,208.96,1553,0,0,2026-01-29 12:06:00
DASH,208.96,208.97,208.83,208.83,3470,0,0,2026-01-29 12:07:00
DASH,208.9,208.9,208.53,208.58,6619,0,0,2026-01-29 12:08:00
DASH,208.58,208.69,208.55,208.69,2272,0,0,2026-01-29 12:09:00
DASH,208.7,208.75,208.67,208.67,2707,0,0,2026-01-29 12:10:00
DASH,208.61,208.76,208.59,208.76,4104,0,0,2026-01-29 12:11:00
DASH,208.76,209.22,208.66,209.13,15640,0,0,2026-01-29 12:12:00
DASH,209.13,209.4,209.13,209.16,6486,0,0,2026-01-29 12:13:00
DASH,209.25,209.34,209.11,209.19,2789,0,0,2026-01-29 12:14:00
DASH,209.37,209.41,209.28,209.33,2851,0,0,2026-01-29 12:15:00
DASH,209.33,209.43,208.98,209.16,9191,0,0,2026-01-29 12:16:00
DASH,209.02,209.25,208.98,208.98,1836,0,0,2026-01-29 12:17:00
DASH,208.99,209.1,208.84,209.0,5254,0,0,2026-01-29 12:18:00
DASH,209.09,209.27,209.06,209.27,3776,0,0,2026-01-29 12:19:00
DASH,209.27,209.27,209.02,209.14,2921,0,0,2026-01-29 12:20:00
DASH,209.17,209.28,209.09,209.11,5814,0,0,2026-01-29 12:21:00
DASH,209.19,209.27,208.88,209.0,3224,0,0,2026-01-29 12:22:00
DASH,208.97,209.12,208.97,209.12,2721,0,0,2026-01-29 12:23:00
DASH,209.02,209.16,209.02,209.12,2846,0,0,2026-01-29 12:24:00
DASH,209.14,209.15,208.81,208.81,5907,0,0,2026-01-29 12:25:00
DASH,208.91,208.91,208.47,208.5,7041,0,0,2026-01-29 12:26:00
DASH,208.48,208.65,208.47,208.59,6264,0,0,2026-01-29 12:27:00
DASH,208.62,208.62,208.49,208.57,3319,0,0,2026-01-29 12:28:00
DASH,208.54,208.61,208.46,208.51,3324,0,0,2026-01-29 12:29:00
DASH,208.5,208.64,208.41,208.43,2637,0,0,2026-01-29 12:30:00
DASH,208.35,208.42,208.19,208.26,3627,0,0,2026-01-29 12:31:00
DASH,208.26,208.43,208.24,208.26,5201,0,0,2026-01-29 12:32:00
DASH,208.26,208.26,208.26,208.26,511,0,0,2026-01-29 12:33:00
DASH,208.26,208.46,208.12,208.45,4511,0,0,2026-01-29 12:34:00
DASH,208.42,208.71,208.42,208.71,8611,0,0,2026-01-29 12:35:00
DASH,208.77,208.93,208.72,208.93,2024,0,0,2026-01-29 12:36:00
DASH,208.93,209.19,208.86,209.01,2315,0,0,2026-01-29 12:37:00
DASH,209.01,209.14,209.0,209.06,10002,0,0,2026-01-29 12:38:00
DASH,209.15,209.18,208.96,208.98,8690,0,0,2026-01-29 12:39:00
DASH,208.91,208.94,208.68,208.69,4841,0,0,2026-01-29 12:40:00
DASH,208.68,208.81,208.56,208.65,8457,0,0,2026-01-29 12:41:00
DASH,208.77,208.77,208.52,208.63,1818,0,0,2026-01-29 12:42:00
DASH,208.63,208.63,208.41,208.62,9254,0,0,2026-01-29 12:43:00
DASH,208.63,208.88,208.63,208.78,4764,0,0,2026-01-29 12:44:00
DASH,208.66,208.69,208.39,208.41,3801,0,0,2026-01-29 12:45:00
DASH,208.41,208.51,208.32,208.41,1165,0,0,2026-01-29 12:46:00
DASH,208.33,208.42,208.03,208.03,5068,0,0,2026-01-29 12:47:00
DASH,208.07,208.16,207.85,207.93,7515,0,0,2026-01-29 12:48:00
DASH,207.93,207.93,207.86,207.88,684,0,0,2026-01-29 12:49:00
DASH,207.75,207.82,207.67,207.78,3907,0,0,2026-01-29 12:50:00
DASH,207.72,207.72,207.55,207.55,960,0,0,2026-01-29 12:51:00
DASH,207.66,207.66,207.33,207.5,3721,0,0,2026-01-29 12:52:00
DASH,207.4,207.51,207.38,207.38,4997,0,0,2026-01-29 12:53:00
DASH,207.35,207.52,207.27,207.37,5960,0,0,2026-01-29 12:54:00
DASH,207.38,207.56,207.33,207.34,4587,0,0,2026-01-29 12:55:00
DASH,207.41,207.41,207.28,207.28,1130,0,0,2026-01-29 12:56:00
DASH,207.28,207.38,207.23,207.28,2162,0,0,2026-01-29 12:57:00
