Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DAVA,6.59,6.59,6.59,6.59,3793,0,0,2026-01-29 09:30:00
DAVA,6.55,6.55,6.44,6.46,10049,0,0,2026-01-29 09:31:00
DAVA,6.46,6.46,6.38,6.39,6838,0,0,2026-01-29 09:33:00
DAVA,6.36,6.37,6.35,6.36,1340,0,0,2026-01-29 09:34:00
DAVA,6.34,6.4,6.33,6.33,3464,6.31,6.37,2026-01-29 09:36:00
DAVA,6.33,6.39,6.33,6.39,3606,0,0,2026-01-29 09:36:00
DAVA,6.44,6.45,6.44,6.45,1166,0,0,2026-01-29 09:37:00
DAVA,6.47,6.47,6.45,6.45,655,0,0,2026-01-29 09:39:00
DAVA,6.46,6.46,6.41,6.41,553,0,0,2026-01-29 09:40:00
DAVA,6.42,6.42,6.4,6.4,1107,0,0,2026-01-29 09:42:00
DAVA,6.39,6.43,6.39,6.43,3150,0,0,2026-01-29 09:43:00
DAVA,6.41,6.41,6.41,6.41,322,0,0,2026-01-29 09:44:00
DAVA,6.4,6.4,6.4,6.4,109,0,0,2026-01-29 09:46:00
DAVA,6.41,6.41,6.39,6.39,401,0,0,2026-01-29 09:47:00
DAVA,6.41,6.41,6.41,6.41,103,0,0,2026-01-29 09:48:00
DAVA,6.4,6.4,6.4,6.4,127,0,0,2026-01-29 09:49:00
DAVA,6.38,6.38,6.38,6.38,109,0,0,2026-01-29 09:50:00
DAVA,6.4,6.4,6.37,6.37,833,0,0,2026-01-29 09:51:00
DAVA,6.37,6.37,6.37,6.37,364,0,0,2026-01-29 09:52:00
DAVA,6.37,6.4,6.37,6.4,1839,0,0,2026-01-29 09:53:00
DAVA,6.41,6.43,6.41,6.43,722,0,0,2026-01-29 09:54:00
DAVA,6.43,6.43,6.43,6.43,210,0,0,2026-01-29 09:55:00
DAVA,6.43,6.43,6.43,6.43,103,0,0,2026-01-29 09:57:00
DAVA,6.43,6.43,6.43,6.43,280,0,0,2026-01-29 09:58:00
DAVA,6.4,6.42,6.39,6.42,1422,0,0,2026-01-29 09:59:00
DAVA,6.39,6.41,6.38,6.38,2155,0,0,2026-01-29 10:01:00
DAVA,6.38,6.39,6.37,6.37,581,0,0,2026-01-29 10:02:00
DAVA,6.37,6.39,6.37,6.38,986,0,0,2026-01-29 10:03:00
DAVA,6.39,6.39,6.38,6.38,973,0,0,2026-01-29 10:04:00
DAVA,6.4,6.4,6.4,6.4,625,0,0,2026-01-29 10:06:00
DAVA,6.38,6.38,6.38,6.38,296,0,0,2026-01-29 10:07:00
DAVA,6.38,6.38,6.38,6.38,101,0,0,2026-01-29 10:08:00
DAVA,6.38,6.38,6.38,6.38,506,0,0,2026-01-29 10:09:00
DAVA,6.37,6.38,6.37,6.38,1678,0,0,2026-01-29 10:10:00
DAVA,6.4,6.4,6.4,6.4,332,0,0,2026-01-29 10:12:00
DAVA,6.4,6.4,6.4,6.4,179,0,0,2026-01-29 10:14:00
DAVA,6.4,6.4,6.39,6.4,1084,0,0,2026-01-29 10:15:00
DAVA,6.4,6.4,6.4,6.4,681,0,0,2026-01-29 10:16:00
DAVA,6.37,6.38,6.37,6.38,1128,0,0,2026-01-29 10:19:00
DAVA,6.38,6.38,6.37,6.37,320,0,0,2026-01-29 10:20:00
DAVA,6.37,6.38,6.37,6.37,2763,0,0,2026-01-29 10:21:00
DAVA,6.37,6.37,6.35,6.37,3972,0,0,2026-01-29 10:22:00
DAVA,6.37,6.37,6.37,6.37,201,0,0,2026-01-29 10:24:00
DAVA,6.37,6.37,6.37,6.37,100,0,0,2026-01-29 10:25:00
DAVA,6.37,6.39,6.37,6.39,1116,0,0,2026-01-29 10:26:00
