Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DAY,69.36,69.38,69.34,69.35,17701,0,0,2026-01-29 09:30:00
DAY,69.34,69.34,69.33,69.33,11584,0,0,2026-01-29 09:31:00
DAY,69.33,69.33,69.25,69.3,66788,69.3,69.31,2026-01-29 09:33:00
DAY,69.31,69.31,69.26,69.29,29142,0,0,2026-01-29 09:33:00
DAY,69.28,69.34,69.28,69.33,25669,0,0,2026-01-29 09:34:00
DAY,69.34,69.34,69.33,69.33,23225,0,0,2026-01-29 09:35:00
DAY,69.33,69.35,69.33,69.33,19741,0,0,2026-01-29 09:36:00
DAY,69.33,69.36,69.33,69.35,31460,0,0,2026-01-29 09:37:00
DAY,69.35,69.35,69.33,69.34,20730,0,0,2026-01-29 09:38:00
DAY,69.34,69.34,69.31,69.33,8146,0,0,2026-01-29 09:39:00
DAY,69.33,69.34,69.33,69.34,9321,0,0,2026-01-29 09:40:00
DAY,69.34,69.34,69.32,69.33,18686,0,0,2026-01-29 09:41:00
DAY,69.33,69.33,69.31,69.32,12958,0,0,2026-01-29 09:42:00
DAY,69.31,69.31,69.3,69.3,16013,0,0,2026-01-29 09:43:00
DAY,69.3,69.3,69.27,69.28,32685,0,0,2026-01-29 09:44:00
DAY,69.27,69.28,69.25,69.28,15285,0,0,2026-01-29 09:45:00
DAY,69.28,69.28,69.26,69.28,5975,0,0,2026-01-29 09:46:00
DAY,69.28,69.31,69.28,69.31,12812,0,0,2026-01-29 09:47:00
DAY,69.31,69.31,69.28,69.28,22502,0,0,2026-01-29 09:48:00
DAY,69.28,69.28,69.26,69.27,23238,0,0,2026-01-29 09:49:00
DAY,69.27,69.28,69.22,69.23,36097,0,0,2026-01-29 09:50:00
DAY,69.23,69.26,69.23,69.23,23478,0,0,2026-01-29 09:51:00
DAY,69.22,69.23,69.21,69.23,19545,0,0,2026-01-29 09:52:00
DAY,69.23,69.24,69.23,69.24,12946,0,0,2026-01-29 09:53:00
DAY,69.23,69.24,69.23,69.24,10835,0,0,2026-01-29 09:54:00
DAY,69.24,69.26,69.24,69.25,24605,0,0,2026-01-29 09:55:00
DAY,69.25,69.26,69.25,69.26,4448,0,0,2026-01-29 09:56:00
DAY,69.26,69.26,69.25,69.26,3128,0,0,2026-01-29 09:57:00
DAY,69.27,69.27,69.25,69.26,4287,0,0,2026-01-29 09:58:00
DAY,69.25,69.26,69.23,69.24,17293,0,0,2026-01-29 09:59:00
DAY,69.23,69.26,69.23,69.25,17124,0,0,2026-01-29 10:00:00
DAY,69.26,69.28,69.26,69.27,14649,0,0,2026-01-29 10:01:00
DAY,69.27,69.27,69.25,69.26,11876,0,0,2026-01-29 10:02:00
DAY,69.27,69.27,69.26,69.27,5583,0,0,2026-01-29 10:03:00
DAY,69.27,69.28,69.27,69.28,1262,0,0,2026-01-29 10:04:00
DAY,69.28,69.28,69.28,69.28,1054,0,0,2026-01-29 10:05:00
DAY,69.28,69.3,69.28,69.29,23066,0,0,2026-01-29 10:06:00
DAY,69.28,69.31,69.28,69.31,9866,0,0,2026-01-29 10:07:00
DAY,69.31,69.31,69.31,69.31,3042,69.31,69.32,2026-01-29 10:09:00
DAY,69.31,69.33,69.31,69.31,6197,0,0,2026-01-29 10:09:00
DAY,69.31,69.31,69.31,69.31,6732,0,0,2026-01-29 10:10:00
DAY,69.31,69.32,69.31,69.31,16388,0,0,2026-01-29 10:11:00
DAY,69.31,69.32,69.3,69.3,18969,0,0,2026-01-29 10:12:00
DAY,69.3,69.31,69.28,69.28,10913,0,0,2026-01-29 10:13:00
DAY,69.27,69.3,69.27,69.3,29822,0,0,2026-01-29 10:14:00
DAY,69.3,69.31,69.3,69.31,12447,0,0,2026-01-29 10:15:00
DAY,69.32,69.33,69.31,69.31,12815,0,0,2026-01-29 10:16:00
DAY,69.32,69.33,69.31,69.32,19255,0,0,2026-01-29 10:17:00
DAY,69.32,69.33,69.32,69.32,10024,0,0,2026-01-29 10:18:00
DAY,69.32,69.33,69.29,69.29,17004,0,0,2026-01-29 10:19:00
DAY,69.3,69.31,69.3,69.3,6175,0,0,2026-01-29 10:20:00
DAY,69.3,69.31,69.28,69.29,54521,0,0,2026-01-29 10:21:00
DAY,69.3,69.3,69.29,69.3,12790,0,0,2026-01-29 10:22:00
DAY,69.29,69.3,69.28,69.28,21389,0,0,2026-01-29 10:23:00
DAY,69.28,69.28,69.26,69.28,11775,0,0,2026-01-29 10:24:00
DAY,69.27,69.28,69.27,69.27,5699,0,0,2026-01-29 10:25:00
DAY,69.27,69.28,69.26,69.27,5165,0,0,2026-01-29 10:26:00
DAY,69.27,69.29,69.27,69.28,9678,0,0,2026-01-29 10:27:00
DAY,69.28,69.28,69.27,69.28,11220,0,0,2026-01-29 10:28:00
DAY,69.28,69.28,69.27,69.27,7439,69.27,69.28,2026-01-29 10:30:00
DAY,69.27,69.27,69.27,69.27,10654,0,0,2026-01-29 10:30:00
DAY,69.27,69.29,69.27,69.27,17013,0,0,2026-01-29 10:31:00
DAY,69.26,69.27,69.26,69.27,13391,0,0,2026-01-29 10:32:00
DAY,69.26,69.27,69.25,69.25,30473,0,0,2026-01-29 10:33:00
DAY,69.25,69.26,69.21,69.22,76522,0,0,2026-01-29 10:34:00
DAY,69.22,69.23,69.22,69.22,5906,0,0,2026-01-29 10:35:00
DAY,69.22,69.25,69.22,69.25,24332,0,0,2026-01-29 10:36:00
DAY,69.25,69.27,69.24,69.27,23459,0,0,2026-01-29 10:37:00
DAY,69.27,69.31,69.27,69.28,43563,0,0,2026-01-29 10:38:00
