Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DB,39.4,39.4,39.4,39.4,361,0,0,2026-01-29 08:09:00
DB,39.37,39.37,39.37,39.37,270,0,0,2026-01-29 08:14:00
DB,39.29,39.29,39.29,39.29,679,0,0,2026-01-29 08:20:00
DB,39.42,39.43,39.42,39.43,5515,0,0,2026-01-29 08:25:00
DB,39.44,39.44,39.44,39.44,730,0,0,2026-01-29 08:26:00
DB,39.68,39.68,39.68,39.68,770,0,0,2026-01-29 08:34:00
DB,39.69,39.71,39.69,39.71,878,0,0,2026-01-29 08:36:00
DB,39.55,39.55,39.55,39.55,100,0,0,2026-01-29 08:55:00
DB,39.65,39.66,39.65,39.66,241,0,0,2026-01-29 09:13:00
DB,39.68,39.78,39.68,39.78,550,39.74,39.77,2026-01-29 09:15:00
DB,39.79,39.79,39.79,39.79,466,0,0,2026-01-29 09:15:00
DB,39.76,39.76,39.76,39.76,277,0,0,2026-01-29 09:19:00
DB,39.69,39.69,39.69,39.69,197,0,0,2026-01-29 09:21:00
DB,39.76,39.76,39.76,39.76,200,0,0,2026-01-29 09:22:00
DB,39.71,39.71,39.71,39.71,1030,0,0,2026-01-29 09:24:00
DB,39.61,39.61,39.61,39.61,200,0,0,2026-01-29 09:27:00
DB,39.52,39.55,39.52,39.54,1471,39.47,39.51,2026-01-29 09:30:00
DB,39.45,39.55,39.35,39.35,102828,0,0,2026-01-29 09:30:00
DB,39.34,39.41,39.34,39.41,30890,0,0,2026-01-29 09:31:00
DB,39.4,39.43,39.33,39.35,20310,0,0,2026-01-29 09:32:00
DB,39.36,39.38,39.33,39.35,7196,0,0,2026-01-29 09:33:00
DB,39.36,39.36,39.3,39.33,43302,0,0,2026-01-29 09:34:00
DB,39.32,39.32,39.23,39.27,37610,0,0,2026-01-29 09:35:00
DB,39.29,39.32,39.29,39.3,17989,0,0,2026-01-29 09:36:00
DB,39.3,39.34,39.28,39.34,48584,0,0,2026-01-29 09:37:00
DB,39.34,39.53,39.34,39.53,12808,0,0,2026-01-29 09:38:00
