Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DBD,69.85,69.92,69.85,69.92,1115,0,0,2026-01-29 09:30:00
DBD,70.27,70.27,70.27,70.27,714,0,0,2026-01-29 09:44:00
DBD,70.11,70.11,70.11,70.11,126,0,0,2026-01-29 09:46:00
DBD,69.99,70.11,69.99,70.11,890,0,0,2026-01-29 09:48:00
DBD,69.98,69.98,69.98,69.98,232,0,0,2026-01-29 09:51:00
DBD,69.98,69.98,69.98,69.98,200,0,0,2026-01-29 09:52:00
DBD,69.92,70.25,69.92,70.25,393,0,0,2026-01-29 09:54:00
DBD,69.94,69.94,69.94,69.94,1808,0,0,2026-01-29 09:55:00
DBD,70.04,70.04,70.04,70.04,183,0,0,2026-01-29 09:56:00
DBD,69.97,69.97,69.97,69.97,507,0,0,2026-01-29 09:58:00
DBD,69.97,69.97,69.97,69.97,212,0,0,2026-01-29 09:59:00
DBD,69.66,69.66,69.65,69.65,2500,0,0,2026-01-29 10:00:00
DBD,69.66,69.66,69.5,69.5,305,0,0,2026-01-29 10:01:00
DBD,69.67,69.67,69.67,69.67,234,0,0,2026-01-29 10:03:00
DBD,69.51,69.51,69.5,69.5,400,0,0,2026-01-29 10:04:00
DBD,69.53,69.53,69.53,69.53,104,0,0,2026-01-29 10:06:00
DBD,69.56,69.56,69.55,69.55,309,69.46,69.67,2026-01-29 10:09:00
DBD,69.67,69.67,69.67,69.67,870,0,0,2026-01-29 10:10:00
DBD,69.68,69.68,69.55,69.64,2423,0,0,2026-01-29 10:11:00
DBD,69.52,69.52,69.52,69.52,400,0,0,2026-01-29 10:12:00
DBD,69.54,69.54,69.54,69.54,102,0,0,2026-01-29 10:13:00
DBD,69.43,69.43,69.41,69.41,254,0,0,2026-01-29 10:14:00
DBD,69.61,69.61,69.61,69.61,213,0,0,2026-01-29 10:17:00
DBD,69.7,70.03,69.7,70.03,741,0,0,2026-01-29 10:18:00
DBD,69.89,69.89,69.89,69.89,176,0,0,2026-01-29 10:19:00
DBD,69.93,69.94,69.93,69.94,572,0,0,2026-01-29 10:22:00
DBD,69.94,69.94,69.94,69.94,341,0,0,2026-01-29 10:23:00
DBD,69.94,69.96,69.94,69.96,204,0,0,2026-01-29 10:24:00
DBD,69.83,69.83,69.83,69.83,125,0,0,2026-01-29 10:25:00
DBD,69.94,69.94,69.69,69.69,411,0,0,2026-01-29 10:27:00
DBD,69.55,69.55,69.55,69.55,620,0,0,2026-01-29 10:28:00
DBD,69.61,69.61,69.61,69.61,305,0,0,2026-01-29 10:29:00
DBD,69.61,69.61,69.61,69.61,103,0,0,2026-01-29 10:32:00
DBD,69.59,69.59,69.59,69.59,556,0,0,2026-01-29 10:33:00
DBD,69.55,69.55,69.55,69.55,118,0,0,2026-01-29 10:35:00
DBD,69.4,69.4,69.4,69.4,165,0,0,2026-01-29 10:39:00
DBD,69.5,69.5,69.5,69.5,416,0,0,2026-01-29 10:40:00
DBD,69.48,69.48,69.48,69.48,449,0,0,2026-01-29 10:42:00
DBD,69.14,69.14,69.13,69.14,607,0,0,2026-01-29 10:43:00
DBD,69.19,69.25,69.19,69.25,255,0,0,2026-01-29 10:45:00
DBD,69.15,69.15,69.06,69.08,2022,0,0,2026-01-29 10:47:00
DBD,69.08,69.08,69.08,69.08,225,0,0,2026-01-29 10:48:00
DBD,69.0,69.08,69.0,69.02,723,0,0,2026-01-29 10:50:00
DBD,69.02,69.04,69.02,69.04,229,0,0,2026-01-29 10:52:00
DBD,68.98,68.98,68.98,68.98,112,0,0,2026-01-29 10:55:00
DBD,69.02,69.1,69.01,69.1,434,0,0,2026-01-29 10:59:00
DBD,68.93,68.93,68.86,68.86,569,0,0,2026-01-29 11:03:00
DBD,68.71,68.8,68.71,68.8,268,0,0,2026-01-29 11:06:00
DBD,68.82,68.82,68.82,68.82,549,0,0,2026-01-29 11:11:00
DBD,68.83,68.83,68.83,68.83,408,0,0,2026-01-29 11:12:00
DBD,68.95,68.99,68.95,68.99,621,0,0,2026-01-29 11:13:00
DBD,69.0,69.0,69.0,69.0,118,0,0,2026-01-29 11:15:00
DBD,69.07,69.08,69.07,69.08,689,0,0,2026-01-29 11:17:00
DBD,69.11,69.11,69.11,69.11,110,0,0,2026-01-29 11:21:00
DBD,69.11,69.11,69.0,69.0,696,0,0,2026-01-29 11:22:00
DBD,69.03,69.03,69.03,69.03,245,0,0,2026-01-29 11:24:00
DBD,69.03,69.03,69.03,69.03,155,0,0,2026-01-29 11:28:00
DBD,69.12,69.12,69.12,69.12,490,0,0,2026-01-29 11:30:00
DBD,69.09,69.09,69.09,69.09,176,0,0,2026-01-29 11:31:00
DBD,69.16,69.16,69.16,69.16,183,0,0,2026-01-29 11:32:00
DBD,69.2,69.2,69.2,69.2,283,0,0,2026-01-29 11:35:00
DBD,69.23,69.23,69.23,69.23,222,0,0,2026-01-29 11:36:00
DBD,69.23,69.23,69.23,69.23,306,0,0,2026-01-29 11:38:00
DBD,69.31,69.31,69.31,69.31,432,0,0,2026-01-29 11:39:00
DBD,69.22,69.22,69.22,69.22,208,0,0,2026-01-29 11:40:00
DBD,69.38,69.38,69.38,69.38,534,0,0,2026-01-29 11:47:00
DBD,69.48,69.5,69.48,69.5,312,0,0,2026-01-29 11:50:00
DBD,69.5,69.5,69.5,69.5,222,0,0,2026-01-29 11:51:00
DBD,69.59,69.59,69.59,69.59,651,0,0,2026-01-29 11:54:00
DBD,69.51,69.51,69.51,69.51,261,0,0,2026-01-29 11:55:00
DBD,69.5,69.55,69.5,69.5,811,0,0,2026-01-29 11:57:00
DBD,69.54,69.54,69.54,69.54,124,0,0,2026-01-29 11:58:00
DBD,69.51,69.51,69.51,69.51,118,0,0,2026-01-29 11:59:00
DBD,69.5,69.5,69.42,69.43,1868,0,0,2026-01-29 12:01:00
DBD,69.59,69.59,69.58,69.58,566,0,0,2026-01-29 12:05:00
DBD,69.63,69.63,69.63,69.63,128,0,0,2026-01-29 12:08:00
DBD,69.6,69.6,69.6,69.6,298,0,0,2026-01-29 12:11:00
DBD,69.54,69.54,69.54,69.54,220,0,0,2026-01-29 12:16:00
DBD,69.58,69.58,69.58,69.58,233,0,0,2026-01-29 12:17:00
DBD,69.61,69.61,69.52,69.55,1134,0,0,2026-01-29 12:23:00
DBD,69.52,69.52,69.52,69.52,111,0,0,2026-01-29 12:24:00
DBD,69.53,69.53,69.53,69.53,136,0,0,2026-01-29 12:28:00
DBD,69.3,69.3,69.3,69.3,229,0,0,2026-01-29 12:33:00
DBD,69.36,69.36,69.36,69.36,297,0,0,2026-01-29 12:35:00
DBD,69.41,69.41,69.28,69.28,1947,0,0,2026-01-29 12:37:00
DBD,69.26,69.26,69.26,69.26,131,0,0,2026-01-29 12:38:00
DBD,69.06,69.25,69.06,69.25,340,0,0,2026-01-29 12:41:00
DBD,68.96,69.03,68.96,69.03,692,0,0,2026-01-29 12:48:00
DBD,69.06,69.06,69.06,69.06,107,0,0,2026-01-29 12:52:00
DBD,68.83,68.83,68.83,68.83,217,0,0,2026-01-29 12:56:00
