Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DCX,4.09,4.12,4.0,4.1,39252,0,0,2026-01-29 08:08:00
DCX,4.1,4.14,4.0,4.03,31036,0,0,2026-01-29 08:09:00
DCX,4.04,4.1,4.0,4.1,35728,0,0,2026-01-29 08:10:00
DCX,4.09,4.33,4.08,4.3,162341,0,0,2026-01-29 08:11:00
DCX,4.31,4.47,4.22,4.42,113492,0,0,2026-01-29 08:12:00
DCX,4.42,4.58,4.36,4.49,184488,0,0,2026-01-29 08:13:00
DCX,4.49,4.53,4.27,4.29,188699,0,0,2026-01-29 08:14:00
DCX,4.32,4.38,4.22,4.28,76747,0,0,2026-01-29 08:15:00
DCX,4.25,4.28,4.13,4.14,69405,0,0,2026-01-29 08:16:00
DCX,4.13,4.37,4.13,4.36,58979,0,0,2026-01-29 08:17:00
DCX,4.36,4.47,4.36,4.45,68088,0,0,2026-01-29 08:18:00
DCX,4.45,4.46,4.22,4.26,110046,0,0,2026-01-29 08:19:00
DCX,4.28,4.37,4.22,4.31,69731,0,0,2026-01-29 08:20:00
DCX,4.33,4.46,4.31,4.45,53027,0,0,2026-01-29 08:21:00
DCX,4.45,4.46,4.22,4.22,53430,0,0,2026-01-29 08:22:00
DCX,4.22,4.28,4.22,4.28,45726,0,0,2026-01-29 08:23:00
DCX,4.26,4.29,4.23,4.28,21879,0,0,2026-01-29 08:24:00
DCX,4.28,4.54,4.26,4.43,142111,0,0,2026-01-29 08:25:00
DCX,4.43,4.44,4.35,4.35,65429,0,0,2026-01-29 08:26:00
DCX,4.33,4.35,4.15,4.2,99294,0,0,2026-01-29 08:27:00
DCX,4.2,4.22,4.16,4.18,31212,0,0,2026-01-29 08:28:00
DCX,4.2,4.22,4.05,4.05,87431,0,0,2026-01-29 08:29:00
DCX,4.07,4.18,4.05,4.13,36770,0,0,2026-01-29 08:30:00
DCX,4.14,4.14,4.02,4.05,38185,0,0,2026-01-29 08:31:00
DCX,4.07,4.07,4.0,4.03,61161,0,0,2026-01-29 08:32:00
DCX,4.04,4.13,4.02,4.06,48327,0,0,2026-01-29 08:33:00
DCX,4.05,4.06,3.77,3.77,169959,0,0,2026-01-29 08:34:00
DCX,3.77,3.86,3.6,3.84,149935,0,0,2026-01-29 08:35:00
DCX,3.83,4.0,3.78,4.0,78721,0,0,2026-01-29 08:36:00
DCX,4.05,4.07,4.02,4.02,43241,0,0,2026-01-29 08:37:00
DCX,4.03,4.03,3.91,3.96,31785,0,0,2026-01-29 08:38:00
DCX,3.96,3.96,3.91,3.92,6903,3.9,3.92,2026-01-29 08:40:00
DCX,3.92,3.95,3.86,3.86,19799,3.86,3.87,2026-01-29 08:41:01
DCX,3.87,3.92,3.86,3.88,16869,3.86,3.9,2026-01-29 08:42:00
DCX,3.87,4.0,3.85,3.99,24891,0,0,2026-01-29 08:42:00
DCX,3.99,4.1,3.94,4.1,48447,0,0,2026-01-29 08:43:00
DCX,4.07,4.09,4.01,4.04,20538,0,0,2026-01-29 08:44:00
DCX,4.04,4.07,4,4,9825,4,4.01,2026-01-29 08:46:00
DCX,4.01,4.15,3.99,4.15,39275,0,0,2026-01-29 08:46:00
DCX,4.15,4.22,4.15,4.15,75831,4.15,4.2,2026-01-29 08:48:00
DCX,4.18,4.22,4.17,4.22,29993,4.19,4.21,2026-01-29 08:49:00
DCX,4.22,4.22,4.16,4.16,23543,0,0,2026-01-29 08:49:00
DCX,4.15,4.2,4.15,4.19,15515,0,0,2026-01-29 08:50:00
DCX,4.19,4.22,4.19,4.21,13022,0,0,2026-01-29 08:51:00
DCX,4.22,4.49,4.21,4.41,106835,4.41,4.44,2026-01-29 08:53:00
DCX,4.44,4.44,4.35,4.41,83020,0,0,2026-01-29 08:53:00
DCX,4.42,4.43,4.21,4.29,71315,4.28,4.3,2026-01-29 08:55:00
DCX,4.29,4.38,4.26,4.28,34484,0,0,2026-01-29 08:55:00
DCX,4.27,4.33,4.18,4.33,38681,0,0,2026-01-29 08:56:00
DCX,4.31,4.38,4.28,4.37,23359,0,0,2026-01-29 08:57:00
DCX,4.35,4.37,4.26,4.32,20477,0,0,2026-01-29 08:58:00
DCX,4.28,4.35,4.26,4.26,10282,0,0,2026-01-29 08:59:00
DCX,4.27,4.28,4.21,4.25,17548,4.25,4.28,2026-01-29 09:01:00
DCX,4.26,4.28,4.19,4.19,18240,0,0,2026-01-29 09:01:00
DCX,4.19,4.2,4.0,4.08,67736,0,0,2026-01-29 09:02:00
DCX,4.08,4.09,3.96,3.97,64616,0,0,2026-01-29 09:03:00
DCX,3.96,4.03,3.94,3.96,38699,0,0,2026-01-29 09:04:00
DCX,3.96,4,3.95,3.99,11062,3.97,3.99,2026-01-29 09:06:00
DCX,3.97,4.0,3.97,3.99,11026,0,0,2026-01-29 09:06:00
DCX,4.0,4.08,4.0,4.07,16371,0,0,2026-01-29 09:07:00
