Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DD,44.71,44.81,44.71,44.81,22445,0,0,2026-01-29 09:30:00
DD,44.79,45.0,44.79,44.94,3569,0,0,2026-01-29 09:31:00
DD,44.94,44.94,44.91,44.91,2841,0,0,2026-01-29 09:32:00
DD,44.91,44.91,44.81,44.86,2507,0,0,2026-01-29 09:33:00
DD,44.91,44.93,44.83,44.83,4686,0,0,2026-01-29 09:34:00
DD,44.81,44.84,44.81,44.81,2665,0,0,2026-01-29 09:35:00
DD,44.81,44.85,44.81,44.84,1730,0,0,2026-01-29 09:36:00
DD,44.87,44.96,44.87,44.94,3238,0,0,2026-01-29 09:37:00
DD,44.94,44.97,44.94,44.97,2364,0,0,2026-01-29 09:38:00
DD,45.0,45.04,45.0,45.02,16378,0,0,2026-01-29 09:39:00
DD,45.03,45.07,45.0,45.05,11785,0,0,2026-01-29 09:40:00
DD,45.05,45.05,45.0,45.0,4047,0,0,2026-01-29 09:41:00
DD,45.0,45.0,44.97,44.97,3104,0,0,2026-01-29 09:42:00
DD,44.94,44.94,44.9,44.9,2314,0,0,2026-01-29 09:43:00
DD,44.88,44.88,44.85,44.85,1233,0,0,2026-01-29 09:44:00
DD,44.84,44.84,44.78,44.78,9885,0,0,2026-01-29 09:45:00
DD,44.77,44.77,44.75,44.75,2946,0,0,2026-01-29 09:46:00
DD,44.74,44.74,44.64,44.68,2589,0,0,2026-01-29 09:47:00
DD,44.69,44.71,44.69,44.71,2527,0,0,2026-01-29 09:48:00
DD,44.71,44.94,44.71,44.91,8785,0,0,2026-01-29 09:49:00
DD,44.9,44.91,44.76,44.78,10242,0,0,2026-01-29 09:50:00
DD,44.77,44.77,44.74,44.75,1249,0,0,2026-01-29 09:51:00
DD,44.73,44.77,44.71,44.74,2675,0,0,2026-01-29 09:52:00
DD,44.74,44.76,44.72,44.75,2351,0,0,2026-01-29 09:53:00
DD,44.75,44.85,44.74,44.85,3158,0,0,2026-01-29 09:54:00
DD,44.86,44.87,44.79,44.87,5270,0,0,2026-01-29 09:55:00
DD,44.84,44.85,44.81,44.81,2314,0,0,2026-01-29 09:56:00
DD,44.8,44.82,44.78,44.8,4171,0,0,2026-01-29 09:57:00
DD,44.81,44.81,44.76,44.76,3175,0,0,2026-01-29 09:58:00
DD,44.75,44.75,44.7,44.7,4496,0,0,2026-01-29 09:59:00
DD,44.72,44.73,44.68,44.68,4405,0,0,2026-01-29 10:00:00
DD,44.69,44.69,44.66,44.67,3371,0,0,2026-01-29 10:01:00
DD,44.67,44.7,44.66,44.67,3074,0,0,2026-01-29 10:02:00
DD,44.65,44.68,44.65,44.67,4099,0,0,2026-01-29 10:03:00
DD,44.66,44.69,44.65,44.68,3800,0,0,2026-01-29 10:04:00
DD,44.7,44.75,44.7,44.75,6265,0,0,2026-01-29 10:05:00
DD,44.77,44.78,44.72,44.73,5727,0,0,2026-01-29 10:06:00
DD,44.73,44.73,44.62,44.64,6589,0,0,2026-01-29 10:07:00
DD,44.64,44.7,44.62,44.62,9317,0,0,2026-01-29 10:08:00
DD,44.61,44.61,44.57,44.6,3007,0,0,2026-01-29 10:09:00
DD,44.59,44.59,44.56,44.57,3647,0,0,2026-01-29 10:10:00
DD,44.57,44.6,44.55,44.59,6789,0,0,2026-01-29 10:11:00
DD,44.58,44.6,44.56,44.57,5000,0,0,2026-01-29 10:12:00
DD,44.53,44.55,44.52,44.52,2192,0,0,2026-01-29 10:13:00
DD,44.52,44.6,44.52,44.6,5588,0,0,2026-01-29 10:14:00
DD,44.59,44.63,44.58,44.59,4345,0,0,2026-01-29 10:15:00
DD,44.59,44.61,44.59,44.59,3790,0,0,2026-01-29 10:16:00
DD,44.59,44.59,44.55,44.55,3980,0,0,2026-01-29 10:17:00
DD,44.55,44.59,44.55,44.58,2838,0,0,2026-01-29 10:18:00
DD,44.57,44.58,44.54,44.54,2919,0,0,2026-01-29 10:19:00
DD,44.53,44.59,44.51,44.59,3892,0,0,2026-01-29 10:20:00
DD,44.59,44.6,44.57,44.57,3565,0,0,2026-01-29 10:21:00
DD,44.57,44.57,44.53,44.54,2477,0,0,2026-01-29 10:22:00
DD,44.53,44.53,44.48,44.48,1765,0,0,2026-01-29 10:23:00
DD,44.5,44.51,44.48,44.48,2857,0,0,2026-01-29 10:24:00
DD,44.51,44.54,44.51,44.52,5400,0,0,2026-01-29 10:25:00
DD,44.5,44.5,44.47,44.47,3282,0,0,2026-01-29 10:26:00
DD,44.49,44.49,44.44,44.45,4777,0,0,2026-01-29 10:27:00
DD,44.45,44.45,44.4,44.4,4937,0,0,2026-01-29 10:28:00
DD,44.4,44.4,44.38,44.4,3745,0,0,2026-01-29 10:29:00
DD,44.37,44.39,44.36,44.37,6161,0,0,2026-01-29 10:30:00
DD,44.37,44.37,44.23,44.23,8130,0,0,2026-01-29 10:31:00
DD,44.23,44.29,44.22,44.29,6209,0,0,2026-01-29 10:32:00
DD,44.29,44.31,44.27,44.3,3547,0,0,2026-01-29 10:33:00
DD,44.3,44.31,44.29,44.3,2442,0,0,2026-01-29 10:34:00
DD,44.28,44.28,44.22,44.24,5644,0,0,2026-01-29 10:35:00
DD,44.21,44.25,44.18,44.25,5874,0,0,2026-01-29 10:36:00
DD,44.26,44.28,44.25,44.27,3734,0,0,2026-01-29 10:37:00
DD,44.27,44.27,44.23,44.27,6035,0,0,2026-01-29 10:38:00
DD,44.27,44.27,44.2,44.21,11069,0,0,2026-01-29 10:39:00
DD,44.19,44.19,44.16,44.16,2108,0,0,2026-01-29 10:40:00
DD,44.16,44.18,44.15,44.16,3890,0,0,2026-01-29 10:41:00
DD,44.13,44.15,44.09,44.09,3578,0,0,2026-01-29 10:42:00
DD,44.09,44.09,44.08,44.09,2764,0,0,2026-01-29 10:43:00
DD,44.08,44.09,44.04,44.05,7125,44.03,44.05,2026-01-29 10:45:00
DD,44.05,44.1,44.04,44.08,5904,0,0,2026-01-29 10:45:00
DD,44.1,44.13,44.09,44.12,6738,0,0,2026-01-29 10:46:00
DD,44.14,44.19,44.14,44.17,4329,0,0,2026-01-29 10:47:00
DD,44.15,44.16,44.13,44.13,3029,0,0,2026-01-29 10:48:00
