Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DECK,97.7,97.7,97.7,97.7,250,0,0,2026-01-29 08:24:00
DECK,97.7,97.7,97.7,97.7,250,0,0,2026-01-29 08:37:00
DECK,97.68,97.7,97.68,97.7,432,0,0,2026-01-29 08:39:00
DECK,97.7,97.7,97.7,97.7,332,0,0,2026-01-29 08:43:00
DECK,97.83,97.83,97.83,97.83,200,0,0,2026-01-29 09:06:00
DECK,97.8,97.8,97.8,97.8,200,0,0,2026-01-29 09:10:00
DECK,97.94,97.99,97.94,97.99,200,0,0,2026-01-29 09:13:00
DECK,97.97,97.97,97.97,97.97,200,0,0,2026-01-29 09:18:00
DECK,98.02,98.57,97.99,98.57,49645,0,0,2026-01-29 09:30:00
DECK,98.2,98.36,98.13,98.13,4263,0,0,2026-01-29 09:31:00
DECK,98.3,98.45,97.6,97.75,11692,0,0,2026-01-29 09:32:00
DECK,97.75,97.75,97.0,97.22,5720,0,0,2026-01-29 09:33:00
DECK,97.17,98.06,97.17,97.94,9713,0,0,2026-01-29 09:34:00
DECK,97.78,97.8,97.66,97.66,3592,0,0,2026-01-29 09:35:00
DECK,97.66,97.66,97.0,97.0,5214,0,0,2026-01-29 09:36:00
DECK,97.29,97.89,97.29,97.89,6611,0,0,2026-01-29 09:37:00
DECK,97.83,98.49,97.83,98.38,13720,0,0,2026-01-29 09:38:00
DECK,98.38,98.4,98.38,98.38,1073,0,0,2026-01-29 09:39:00
DECK,98.45,98.84,98.38,98.84,10691,0,0,2026-01-29 09:40:00
DECK,98.81,98.81,98.31,98.31,8787,0,0,2026-01-29 09:41:00
DECK,98.3,98.42,97.9,98.11,5350,0,0,2026-01-29 09:42:00
DECK,97.98,98.07,97.75,97.91,4762,0,0,2026-01-29 09:43:00
DECK,97.8,97.93,97.63,97.93,3348,0,0,2026-01-29 09:44:00
DECK,97.84,97.84,97.69,97.72,7484,0,0,2026-01-29 09:45:00
DECK,97.63,97.72,97.49,97.59,18030,0,0,2026-01-29 09:46:00
DECK,97.49,97.56,97.36,97.55,7800,0,0,2026-01-29 09:47:00
DECK,97.54,97.64,97.54,97.64,4812,0,0,2026-01-29 09:48:00
DECK,97.64,97.79,97.47,97.5,9854,0,0,2026-01-29 09:49:00
DECK,97.51,97.81,97.49,97.79,11379,0,0,2026-01-29 09:50:00
DECK,97.59,97.6,97.4,97.4,5543,0,0,2026-01-29 09:51:00
DECK,97.37,97.51,97.32,97.32,6535,0,0,2026-01-29 09:52:00
DECK,97.32,97.88,97.32,97.75,6917,0,0,2026-01-29 09:53:00
DECK,97.72,98.17,97.72,98.17,21596,0,0,2026-01-29 09:54:00
DECK,98.22,98.27,97.98,98.27,6255,0,0,2026-01-29 09:55:00
DECK,98.32,98.32,98.14,98.32,1719,0,0,2026-01-29 09:56:00
DECK,98.23,98.49,98.04,98.06,18007,0,0,2026-01-29 09:57:00
DECK,98.06,98.23,97.77,98.05,12801,0,0,2026-01-29 09:58:00
DECK,97.88,98.04,97.72,97.89,8887,0,0,2026-01-29 09:59:00
DECK,97.79,98.18,97.74,98.09,12124,0,0,2026-01-29 10:00:00
DECK,98.25,98.29,98.12,98.15,14181,0,0,2026-01-29 10:01:00
DECK,98.14,98.27,98.14,98.18,4410,0,0,2026-01-29 10:02:00
DECK,98.28,98.38,98.16,98.2,10533,0,0,2026-01-29 10:03:00
DECK,98.2,98.41,98.12,98.4,24469,0,0,2026-01-29 10:04:00
DECK,98.42,98.61,98.29,98.52,17865,0,0,2026-01-29 10:05:00
DECK,98.52,98.73,98.39,98.61,33066,0,0,2026-01-29 10:06:00
DECK,98.61,98.68,98.52,98.58,11389,0,0,2026-01-29 10:07:00
DECK,98.53,98.66,98.34,98.56,12941,98.47,98.66,2026-01-29 10:09:00
DECK,98.49,98.51,98.47,98.48,3932,0,0,2026-01-29 10:09:00
DECK,98.47,98.58,98.3,98.44,16782,0,0,2026-01-29 10:10:00
DECK,98.36,98.51,98.32,98.32,7753,0,0,2026-01-29 10:11:00
DECK,98.32,98.51,98.3,98.41,6851,0,0,2026-01-29 10:12:00
DECK,98.27,98.34,98.25,98.28,7207,0,0,2026-01-29 10:13:00
DECK,98.28,98.44,98.15,98.43,13258,0,0,2026-01-29 10:14:00
DECK,98.57,98.8,98.47,98.8,13954,0,0,2026-01-29 10:15:00
DECK,98.84,98.85,98.62,98.77,12797,0,0,2026-01-29 10:16:00
DECK,98.83,98.86,98.75,98.79,12666,0,0,2026-01-29 10:17:00
DECK,98.85,99.33,98.79,99.2,42131,0,0,2026-01-29 10:18:00
DECK,99.2,99.37,98.91,98.99,18586,0,0,2026-01-29 10:19:00
DECK,99.0,99.1,98.94,99.02,16527,0,0,2026-01-29 10:20:00
DECK,99.02,99.1,98.96,99.02,15685,0,0,2026-01-29 10:21:00
DECK,99.02,99.02,98.87,98.91,12358,0,0,2026-01-29 10:22:00
DECK,98.91,98.96,98.86,98.91,11931,0,0,2026-01-29 10:23:00
