Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DEI,10.49,10.53,10.49,10.53,1996,10.38,10.6,2026-01-29 09:30:00
DEI,10.45,10.47,10.45,10.45,68751,0,0,2026-01-29 09:30:00
DEI,10.45,10.45,10.45,10.45,393,0,0,2026-01-29 09:31:00
DEI,10.45,10.45,10.41,10.41,5153,10.38,10.42,2026-01-29 09:33:00
DEI,10.4,10.41,10.38,10.39,1618,0,0,2026-01-29 09:33:00
DEI,10.37,10.45,10.37,10.45,13468,0,0,2026-01-29 09:34:00
DEI,10.46,10.48,10.46,10.48,2045,10.46,10.48,2026-01-29 09:36:00
DEI,10.48,10.5,10.48,10.48,2801,0,0,2026-01-29 09:36:00
DEI,10.5,10.53,10.5,10.53,6982,0,0,2026-01-29 09:37:00
DEI,10.55,10.55,10.52,10.52,7911,0,0,2026-01-29 09:38:00
DEI,10.53,10.56,10.53,10.56,2520,0,0,2026-01-29 09:39:00
DEI,10.58,10.58,10.56,10.57,5285,0,0,2026-01-29 09:40:00
DEI,10.56,10.56,10.51,10.51,3157,0,0,2026-01-29 09:41:00
DEI,10.5,10.52,10.48,10.5,3091,0,0,2026-01-29 09:42:00
DEI,10.46,10.48,10.45,10.45,2536,0,0,2026-01-29 09:43:00
DEI,10.46,10.48,10.46,10.46,15988,0,0,2026-01-29 09:44:00
DEI,10.46,10.48,10.46,10.48,1579,0,0,2026-01-29 09:45:00
DEI,10.47,10.47,10.47,10.47,1052,0,0,2026-01-29 09:46:00
DEI,10.48,10.48,10.45,10.45,4299,0,0,2026-01-29 09:47:00
DEI,10.46,10.47,10.46,10.47,1543,0,0,2026-01-29 09:48:00
DEI,10.48,10.5,10.48,10.5,4266,0,0,2026-01-29 09:49:00
DEI,10.51,10.51,10.51,10.51,333,0,0,2026-01-29 09:50:00
DEI,10.51,10.51,10.51,10.51,298,0,0,2026-01-29 09:51:00
DEI,10.5,10.51,10.5,10.51,1544,0,0,2026-01-29 09:52:00
DEI,10.52,10.52,10.52,10.52,713,0,0,2026-01-29 09:53:00
DEI,10.52,10.55,10.5,10.55,5550,0,0,2026-01-29 09:54:00
DEI,10.53,10.54,10.53,10.54,931,0,0,2026-01-29 09:55:00
DEI,10.53,10.53,10.51,10.51,6508,0,0,2026-01-29 09:56:00
DEI,10.52,10.52,10.52,10.52,673,0,0,2026-01-29 09:57:00
DEI,10.52,10.53,10.52,10.52,3275,0,0,2026-01-29 09:58:00
DEI,10.5,10.51,10.49,10.49,4189,0,0,2026-01-29 09:59:00
DEI,10.48,10.48,10.48,10.48,860,0,0,2026-01-29 10:00:00
DEI,10.49,10.5,10.49,10.49,3280,0,0,2026-01-29 10:01:00
DEI,10.48,10.49,10.48,10.49,2346,0,0,2026-01-29 10:03:00
DEI,10.49,10.49,10.49,10.49,1614,0,0,2026-01-29 10:04:00
DEI,10.5,10.51,10.49,10.5,5719,0,0,2026-01-29 10:05:00
DEI,10.49,10.49,10.48,10.48,3149,0,0,2026-01-29 10:06:00
DEI,10.47,10.48,10.47,10.48,3470,0,0,2026-01-29 10:07:00
DEI,10.48,10.48,10.47,10.48,2400,10.48,10.49,2026-01-29 10:09:00
DEI,10.49,10.49,10.48,10.48,2196,0,0,2026-01-29 10:09:00
DEI,10.48,10.48,10.48,10.48,155,0,0,2026-01-29 10:10:00
DEI,10.49,10.5,10.49,10.49,8619,0,0,2026-01-29 10:11:00
DEI,10.5,10.51,10.48,10.48,4840,0,0,2026-01-29 10:12:00
DEI,10.48,10.48,10.47,10.47,1345,0,0,2026-01-29 10:13:00
DEI,10.48,10.49,10.48,10.49,2980,0,0,2026-01-29 10:14:00
DEI,10.5,10.51,10.5,10.51,2801,0,0,2026-01-29 10:15:00
