Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DHI,150.3,150.3,150.3,150.3,229,146.01,152,2026-01-29 08:00:03
DHI,150.0,150.0,150.0,150.0,633,0,0,2026-01-29 09:10:00
DHI,150.03,150.53,149.97,150.53,40737,0,0,2026-01-29 09:30:00
DHI,150.53,150.53,150.5,150.51,1758,0,0,2026-01-29 09:31:00
DHI,150.51,150.51,150.22,150.5,1231,149.88,151.11,2026-01-29 09:33:00
DHI,150.2,150.5,149.71,150.14,32349,149.83,150.45,2026-01-29 09:34:00
DHI,150.15,150.57,150.15,150.54,2080,149.93,151.15,2026-01-29 09:35:00
DHI,150.31,150.57,150.31,150.53,2621,149.93,151.15,2026-01-29 09:36:00
DHI,150.95,150.95,150.54,150.54,1830,0,0,2026-01-29 09:36:00
DHI,151.15,151.5,151.15,151.5,3213,0,0,2026-01-29 09:37:00
DHI,151.99,152.56,151.87,152.56,10742,0,0,2026-01-29 09:38:00
DHI,152.95,153.24,152.88,153.22,19077,0,0,2026-01-29 09:39:00
DHI,153.24,153.91,153.04,153.88,8691,0,0,2026-01-29 09:40:00
DHI,153.66,153.75,153.49,153.62,4228,0,0,2026-01-29 09:41:00
DHI,153.62,153.72,152.14,152.67,5827,0,0,2026-01-29 09:42:00
DHI,152.46,152.66,151.88,152.45,4706,0,0,2026-01-29 09:43:00
DHI,152.06,152.06,151.88,152.03,1794,0,0,2026-01-29 09:44:00
DHI,151.79,152.1,151.65,151.91,4396,0,0,2026-01-29 09:45:00
DHI,152.05,152.07,151.73,151.78,13894,0,0,2026-01-29 09:46:00
DHI,151.7,151.7,151.29,151.32,2277,0,0,2026-01-29 09:47:00
DHI,151.38,151.85,151.14,151.85,4186,0,0,2026-01-29 09:48:00
DHI,151.72,152.25,151.72,152.25,3202,0,0,2026-01-29 09:49:00
DHI,152.26,152.26,151.3,151.35,4404,0,0,2026-01-29 09:50:00
DHI,151.2,151.2,150.5,150.5,1085,0,0,2026-01-29 09:51:00
DHI,150.5,150.54,150.31,150.53,2222,0,0,2026-01-29 09:52:00
DHI,150.22,150.96,150.22,150.96,5087,0,0,2026-01-29 09:53:00
DHI,151.0,151.07,150.76,151.06,6274,0,0,2026-01-29 09:54:00
DHI,150.95,150.95,150.34,150.44,3683,0,0,2026-01-29 09:55:00
DHI,150.44,150.57,150.44,150.44,1298,0,0,2026-01-29 09:56:00
DHI,150.3,150.3,150.03,150.19,7138,0,0,2026-01-29 09:57:00
DHI,150.15,150.19,149.98,149.98,4391,0,0,2026-01-29 09:58:00
DHI,149.97,150.35,149.97,150.25,1676,0,0,2026-01-29 09:59:00
DHI,150.37,150.47,150.13,150.47,6373,0,0,2026-01-29 10:00:00
DHI,150.42,150.85,150.29,150.85,7344,0,0,2026-01-29 10:01:00
DHI,150.82,151.15,150.82,151.01,4020,0,0,2026-01-29 10:02:00
DHI,150.96,150.96,150.89,150.93,2948,0,0,2026-01-29 10:03:00
DHI,150.87,151.23,150.87,151.07,3195,0,0,2026-01-29 10:04:00
DHI,150.94,151.24,150.94,151.19,4196,0,0,2026-01-29 10:05:00
DHI,151.16,151.2,151.08,151.1,3908,0,0,2026-01-29 10:06:00
DHI,151.02,151.02,150.58,150.58,3289,0,0,2026-01-29 10:07:00
DHI,150.58,150.59,150.58,150.59,862,150.32,150.89,2026-01-29 10:09:00
DHI,150.63,150.71,150.61,150.71,1233,0,0,2026-01-29 10:09:00
DHI,150.52,150.67,150.35,150.41,3156,0,0,2026-01-29 10:10:00
DHI,150.57,150.57,150.4,150.47,4744,0,0,2026-01-29 10:11:00
DHI,150.47,150.47,150.06,150.06,8297,0,0,2026-01-29 10:12:00
DHI,150.19,150.36,150.06,150.25,5531,0,0,2026-01-29 10:13:00
DHI,150.17,150.38,150.16,150.37,6038,0,0,2026-01-29 10:14:00
DHI,150.4,150.41,150.36,150.4,2497,0,0,2026-01-29 10:15:00
DHI,150.52,150.58,150.29,150.41,7997,0,0,2026-01-29 10:16:00
DHI,150.41,150.6,150.29,150.46,4113,0,0,2026-01-29 10:17:00
DHI,150.46,150.58,150.42,150.43,4492,0,0,2026-01-29 10:18:00
DHI,150.35,150.35,150.13,150.13,2523,0,0,2026-01-29 10:19:00
DHI,150.4,150.4,150.19,150.19,795,0,0,2026-01-29 10:20:00
DHI,150.34,150.35,149.95,150.24,45343,0,0,2026-01-29 10:21:00
DHI,150.24,150.42,150.15,150.41,5356,0,0,2026-01-29 10:22:00
DHI,150.41,150.5,150.34,150.5,2051,0,0,2026-01-29 10:23:00
DHI,150.34,150.5,150.34,150.5,799,0,0,2026-01-29 10:24:00
DHI,150.69,150.7,150.47,150.68,1832,0,0,2026-01-29 10:25:00
DHI,150.47,150.67,150.39,150.39,3156,0,0,2026-01-29 10:26:00
DHI,150.4,150.45,150.19,150.24,6498,0,0,2026-01-29 10:27:00
DHI,150.24,150.24,150.11,150.21,7823,0,0,2026-01-29 10:28:00
DHI,150.21,150.23,150.21,150.21,5155,0,0,2026-01-29 10:29:00
DHI,150.2,150.28,150.2,150.21,4244,0,0,2026-01-29 10:30:00
DHI,150.2,150.24,150.19,150.24,937,0,0,2026-01-29 10:31:00
DHI,150.19,150.29,150.12,150.17,13691,0,0,2026-01-29 10:32:00
DHI,150.17,150.17,150.04,150.04,7142,0,0,2026-01-29 10:33:00
DHI,150.1,150.17,150.03,150.07,1411,0,0,2026-01-29 10:34:00
