Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DIFTY,5.03,5.03,5.03,5.03,2451,0,0,2026-01-29 10:05:00
DIFTY,5.01,5.01,5.01,5.01,8477,0,0,2026-01-29 10:12:00
DIFTY,5.03,5.03,5.0,5.0,6335,0,0,2026-01-29 10:15:00
DIFTY,4.99,4.99,4.99,4.99,250,0,0,2026-01-29 10:28:00
DIFTY,5.05,5.05,5.05,5.05,380,0,0,2026-01-29 10:58:00
DIFTY,4.98,4.98,4.98,4.98,3689,0,0,2026-01-29 10:59:00
DIFTY,5.01,5.01,5.01,5.01,375,0,0,2026-01-29 11:06:00
DIFTY,5.05,5.05,5.01,5.03,6784,0,0,2026-01-29 11:15:00
DIFTY,5.01,5.01,5.01,5.01,3130,0,0,2026-01-29 11:16:00
DIFTY,5.01,5.01,4.98,4.98,3253,0,0,2026-01-29 11:18:00
DIFTY,5.03,5.03,5.03,5.03,541,0,0,2026-01-29 11:51:00
DIFTY,5.0,5.0,5.0,5.0,106,0,0,2026-01-29 11:54:00
DIFTY,5.01,5.01,5.01,5.01,1619,0,0,2026-01-29 11:57:00
DIFTY,5.01,5.01,5.01,5.01,2872,0,0,2026-01-29 11:59:00
DIFTY,5.0,5.01,5.0,5.01,412,0,0,2026-01-29 12:00:00
DIFTY,5.01,5.01,4.99,4.99,572,0,0,2026-01-29 12:01:00
DIFTY,5.01,5.01,5.01,5.01,227,0,0,2026-01-29 12:22:00
DIFTY,5.0,5.0,5.0,5.0,424,0,0,2026-01-29 12:29:00
DIFTY,5.01,5.05,5.01,5.05,2680,0,0,2026-01-29 12:46:00
