Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DLO,14.47,14.47,14.47,14.47,160,14.46,14.57,2026-01-29 08:53:00
DLO,14.47,14.47,14.47,14.47,150,0,0,2026-01-29 08:55:00
DLO,14.46,14.46,14.46,14.46,316,0,0,2026-01-29 09:25:00
DLO,14.49,14.65,14.49,14.5,26069,0,0,2026-01-29 09:30:00
DLO,14.53,14.54,14.52,14.52,3789,0,0,2026-01-29 09:31:00
DLO,14.5,14.52,14.5,14.52,662,14.49,14.57,2026-01-29 09:33:00
DLO,14.49,14.57,14.49,14.57,1308,14.57,14.62,2026-01-29 09:34:00
DLO,14.58,14.72,14.58,14.7,3074,0,0,2026-01-29 09:34:00
DLO,14.69,14.7,14.64,14.64,3251,14.55,14.63,2026-01-29 09:36:00
DLO,14.57,14.59,14.56,14.59,4715,0,0,2026-01-29 09:36:00
DLO,14.59,14.62,14.56,14.62,2347,0,0,2026-01-29 09:37:00
DLO,14.63,14.7,14.63,14.67,3183,0,0,2026-01-29 09:38:00
DLO,14.65,14.65,14.6,14.6,1437,0,0,2026-01-29 09:40:00
DLO,14.6,14.6,14.59,14.59,567,0,0,2026-01-29 09:41:00
DLO,14.53,14.56,14.53,14.55,1753,0,0,2026-01-29 09:42:00
DLO,14.54,14.55,14.54,14.54,1550,0,0,2026-01-29 09:43:00
DLO,14.54,14.54,14.48,14.48,7450,0,0,2026-01-29 09:44:00
DLO,14.49,14.49,14.42,14.44,4635,0,0,2026-01-29 09:45:00
DLO,14.44,14.44,14.44,14.44,531,0,0,2026-01-29 09:46:00
DLO,14.44,14.44,14.44,14.44,280,0,0,2026-01-29 09:47:00
DLO,14.45,14.46,14.45,14.46,1020,0,0,2026-01-29 09:48:00
DLO,14.48,14.5,14.47,14.5,13000,0,0,2026-01-29 09:49:00
DLO,14.47,14.47,14.46,14.46,1575,0,0,2026-01-29 09:50:00
DLO,14.45,14.46,14.45,14.45,1653,0,0,2026-01-29 09:51:00
DLO,14.45,14.45,14.4,14.4,4879,0,0,2026-01-29 09:52:00
DLO,14.38,14.39,14.38,14.39,1290,0,0,2026-01-29 09:53:00
DLO,14.36,14.36,14.36,14.36,321,0,0,2026-01-29 09:54:00
DLO,14.38,14.38,14.36,14.36,920,0,0,2026-01-29 09:55:00
DLO,14.35,14.35,14.35,14.35,957,0,0,2026-01-29 09:56:00
DLO,14.35,14.35,14.34,14.35,2043,0,0,2026-01-29 09:57:00
DLO,14.29,14.29,14.24,14.26,3742,0,0,2026-01-29 09:58:00
DLO,14.25,14.25,14.25,14.25,1380,0,0,2026-01-29 09:59:00
DLO,14.24,14.26,14.24,14.26,2649,0,0,2026-01-29 10:00:00
DLO,14.26,14.26,14.24,14.24,656,0,0,2026-01-29 10:01:00
DLO,14.28,14.29,14.27,14.27,1188,0,0,2026-01-29 10:02:00
DLO,14.3,14.3,14.27,14.27,3356,0,0,2026-01-29 10:03:00
DLO,14.27,14.29,14.27,14.28,2318,0,0,2026-01-29 10:04:00
DLO,14.29,14.29,14.29,14.29,2411,0,0,2026-01-29 10:05:00
DLO,14.27,14.29,14.27,14.29,1235,0,0,2026-01-29 10:06:00
DLO,14.27,14.28,14.27,14.27,8022,0,0,2026-01-29 10:07:00
DLO,14.28,14.32,14.28,14.32,3025,0,0,2026-01-29 10:08:00
DLO,14.34,14.34,14.32,14.33,2451,0,0,2026-01-29 10:09:00
DLO,14.32,14.32,14.3,14.31,2816,0,0,2026-01-29 10:10:00
DLO,14.31,14.33,14.31,14.33,624,0,0,2026-01-29 10:11:00
DLO,14.31,14.31,14.28,14.29,15937,0,0,2026-01-29 10:12:00
DLO,14.3,14.3,14.3,14.3,283,0,0,2026-01-29 10:13:00
DLO,14.29,14.29,14.28,14.28,3124,0,0,2026-01-29 10:14:00
DLO,14.29,14.3,14.28,14.28,1048,0,0,2026-01-29 10:15:00
DLO,14.29,14.3,14.28,14.29,3360,0,0,2026-01-29 10:16:00
DLO,14.29,14.29,14.28,14.28,281,0,0,2026-01-29 10:17:00
DLO,14.27,14.29,14.26,14.29,3047,0,0,2026-01-29 10:18:00
DLO,14.3,14.3,14.3,14.3,573,0,0,2026-01-29 10:19:00
