Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DORM,122.91,124.25,122.91,123.0,1650,0,0,2026-01-29 09:30:00
DORM,122.66,122.66,122.66,122.66,100,0,0,2026-01-29 09:31:00
DORM,123.83,123.91,123.83,123.91,351,0,0,2026-01-29 09:36:00
DORM,123.08,123.92,123.08,123.92,200,0,0,2026-01-29 09:37:00
DORM,123.24,123.24,123.24,123.24,300,0,0,2026-01-29 09:38:00
DORM,123.26,123.26,123.26,123.26,403,0,0,2026-01-29 09:40:00
DORM,123.27,123.27,123.27,123.27,575,0,0,2026-01-29 09:44:00
DORM,123.27,123.27,123.27,123.27,748,0,0,2026-01-29 09:48:00
DORM,122.88,122.88,122.88,122.88,842,0,0,2026-01-29 09:53:00
DORM,123.12,123.12,123.12,123.12,131,0,0,2026-01-29 09:55:00
DORM,123.17,123.17,122.78,122.78,1209,0,0,2026-01-29 09:56:00
DORM,122.78,122.78,121.83,121.83,1670,0,0,2026-01-29 10:00:00
DORM,122.36,122.46,122.36,122.46,402,0,0,2026-01-29 10:01:00
DORM,122.32,122.32,122.32,122.32,128,0,0,2026-01-29 10:02:00
DORM,122.48,122.48,122.48,122.48,562,0,0,2026-01-29 10:05:00
DORM,122.38,123.28,122.38,122.38,1482,0,0,2026-01-29 10:15:00
DORM,122.5,122.5,122.3,122.3,262,0,0,2026-01-29 10:16:00
DORM,122.45,122.45,122.45,122.45,315,0,0,2026-01-29 10:17:00
DORM,122.45,122.45,122.45,122.45,211,0,0,2026-01-29 10:26:00
DORM,122.49,122.49,122.49,122.49,409,0,0,2026-01-29 10:30:00
DORM,122.8,122.8,122.8,122.8,865,0,0,2026-01-29 10:32:00
DORM,123.03,123.03,123.03,123.03,317,0,0,2026-01-29 10:33:00
DORM,122.7,122.71,122.7,122.71,779,0,0,2026-01-29 10:35:00
DORM,122.71,122.71,122.71,122.71,216,0,0,2026-01-29 10:37:00
DORM,122.75,122.75,122.75,122.75,133,0,0,2026-01-29 10:38:00
DORM,123.17,123.17,122.61,122.61,2287,0,0,2026-01-29 10:41:00
DORM,122.88,123.06,122.66,122.66,938,0,0,2026-01-29 10:42:00
DORM,122.92,122.92,122.92,122.92,228,0,0,2026-01-29 10:43:00
DORM,122.97,122.97,122.97,122.97,1534,122.33,123.6,2026-01-29 10:45:00
DORM,122.72,122.72,122.72,122.72,109,0,0,2026-01-29 10:46:00
DORM,122.78,122.78,122.78,122.78,236,0,0,2026-01-29 10:48:00
DORM,122.78,122.78,122.78,122.78,1119,0,0,2026-01-29 10:50:00
DORM,122.66,122.66,122.66,122.66,120,0,0,2026-01-29 10:53:00
DORM,123.05,123.05,123.05,123.05,908,0,0,2026-01-29 10:56:00
DORM,123.31,123.31,123.31,123.31,167,0,0,2026-01-29 10:59:00
DORM,123.0,123.19,122.81,123.19,1990,0,0,2026-01-29 11:06:00
DORM,123.15,123.15,123.15,123.15,1449,0,0,2026-01-29 11:08:00
DORM,123.16,123.16,123.16,123.16,460,0,0,2026-01-29 11:11:00
DORM,123.23,123.49,123.23,123.49,901,0,0,2026-01-29 11:12:00
DORM,123.52,123.52,123.43,123.43,731,0,0,2026-01-29 11:13:00
DORM,123.43,123.43,123.43,123.43,738,0,0,2026-01-29 11:14:00
DORM,123.58,123.58,123.58,123.58,258,0,0,2026-01-29 11:15:00
DORM,123.43,123.88,123.35,123.52,2081,0,0,2026-01-29 11:22:00
DORM,123.58,123.58,123.58,123.58,146,0,0,2026-01-29 11:30:00
DORM,123.67,123.67,123.67,123.67,773,0,0,2026-01-29 11:32:00
DORM,123.88,123.88,123.88,123.88,349,0,0,2026-01-29 11:35:00
DORM,123.5,123.5,123.5,123.5,143,0,0,2026-01-29 11:40:00
DORM,123.83,123.83,123.83,123.83,1044,0,0,2026-01-29 11:41:00
DORM,123.89,123.98,123.89,123.98,515,0,0,2026-01-29 11:49:00
DORM,124.15,124.15,124.15,124.15,849,0,0,2026-01-29 11:50:00
DORM,123.98,123.98,123.98,123.98,620,0,0,2026-01-29 11:52:00
DORM,123.81,123.81,123.81,123.81,1090,0,0,2026-01-29 11:54:00
DORM,124.13,124.13,124.13,124.13,960,0,0,2026-01-29 12:02:00
DORM,124.21,124.21,124.01,124.01,446,0,0,2026-01-29 12:04:00
DORM,124.21,124.21,123.79,123.79,1566,0,0,2026-01-29 12:08:00
DORM,123.82,123.82,123.82,123.82,148,0,0,2026-01-29 12:13:00
DORM,123.82,123.82,123.82,123.82,181,0,0,2026-01-29 12:14:00
DORM,123.76,123.76,123.56,123.56,654,0,0,2026-01-29 12:15:00
DORM,123.75,124.0,123.75,123.88,2543,0,0,2026-01-29 12:18:00
DORM,123.93,123.93,123.93,123.93,180,0,0,2026-01-29 12:22:00
DORM,123.94,123.94,123.94,123.94,330,0,0,2026-01-29 12:24:00
DORM,123.74,123.74,123.74,123.74,669,0,0,2026-01-29 12:25:00
DORM,123.73,123.73,123.73,123.73,350,0,0,2026-01-29 12:26:00
DORM,123.62,123.62,123.53,123.53,1435,0,0,2026-01-29 12:33:00
DORM,123.5,123.5,123.33,123.33,1984,0,0,2026-01-29 12:38:00
DORM,123.64,123.64,123.64,123.64,147,0,0,2026-01-29 12:40:00
DORM,123.4,123.4,123.4,123.4,273,0,0,2026-01-29 12:41:00
DORM,123.64,123.64,123.64,123.64,106,0,0,2026-01-29 12:45:00
DORM,123.61,123.61,123.61,123.61,128,0,0,2026-01-29 12:46:00
DORM,123.42,123.42,123.42,123.42,249,0,0,2026-01-29 12:51:00
