Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DOYU,6.56,6.56,6.56,6.56,337,0,0,2026-01-29 09:30:00
DOYU,6.53,6.53,6.53,6.53,101,0,0,2026-01-29 09:33:00
DOYU,6.53,6.53,6.53,6.53,100,0,0,2026-01-29 09:49:00
DOYU,6.5,6.5,6.5,6.5,232,0,0,2026-01-29 10:02:00
DOYU,6.5,6.5,6.5,6.5,250,0,0,2026-01-29 10:04:00
DOYU,6.5,6.5,6.5,6.5,779,0,0,2026-01-29 10:07:00
DOYU,6.43,6.43,6.43,6.43,112,0,0,2026-01-29 10:13:00
DOYU,6.43,6.43,6.43,6.43,605,0,0,2026-01-29 10:32:00
DOYU,6.42,6.42,6.42,6.42,434,0,0,2026-01-29 10:42:00
DOYU,6.39,6.4,6.39,6.4,500,0,0,2026-01-29 10:45:00
DOYU,6.4,6.4,6.4,6.4,500,0,0,2026-01-29 10:46:00
DOYU,6.42,6.42,6.42,6.42,100,0,0,2026-01-29 10:53:00
DOYU,6.43,6.43,6.43,6.43,306,0,0,2026-01-29 10:56:00
DOYU,6.38,6.38,6.38,6.38,159,0,0,2026-01-29 11:04:00
DOYU,6.37,6.37,6.37,6.37,303,0,0,2026-01-29 11:08:00
DOYU,6.39,6.4,6.39,6.4,3613,0,0,2026-01-29 11:21:00
DOYU,6.42,6.42,6.42,6.42,214,0,0,2026-01-29 11:59:00
DOYU,6.42,6.43,6.42,6.43,530,0,0,2026-01-29 12:28:00
DOYU,6.44,6.45,6.44,6.45,1344,0,0,2026-01-29 12:32:00
DOYU,6.46,6.46,6.46,6.46,440,0,0,2026-01-29 12:38:00
DOYU,6.47,6.47,6.47,6.47,103,0,0,2026-01-29 12:45:00
