Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
DX,14.72,14.72,14.72,14.72,101,0,0,2026-01-29 08:10:00
DX,14.73,14.73,14.73,14.73,1962,0,0,2026-01-29 08:21:00
DX,14.73,14.73,14.73,14.73,100,0,0,2026-01-29 08:26:00
DX,14.71,14.71,14.71,14.71,410,0,0,2026-01-29 08:30:00
DX,14.72,14.72,14.72,14.72,285,0,0,2026-01-29 08:36:00
DX,14.72,14.72,14.71,14.71,313,0,0,2026-01-29 08:37:00
DX,14.72,14.72,14.72,14.72,1014,0,0,2026-01-29 08:42:00
DX,14.73,14.73,14.73,14.73,500,14.72,14.73,2026-01-29 08:55:00
DX,14.72,14.72,14.72,14.72,1001,0,0,2026-01-29 09:11:00
DX,14.7,14.7,14.69,14.69,880,14.69,14.72,2026-01-29 09:24:00
DX,14.7,14.72,14.67,14.67,81285,0,0,2026-01-29 09:30:00
DX,14.67,14.68,14.63,14.68,51981,0,0,2026-01-29 09:31:00
DX,14.68,14.68,14.66,14.68,53246,14.66,14.68,2026-01-29 09:33:00
DX,14.68,14.69,14.66,14.66,48354,14.65,14.66,2026-01-29 09:34:00
DX,14.66,14.66,14.64,14.64,4835,0,0,2026-01-29 09:34:00
DX,14.63,14.65,14.63,14.63,14921,0,0,2026-01-29 09:35:00
DX,14.63,14.63,14.61,14.63,54988,0,0,2026-01-29 09:36:00
DX,14.64,14.68,14.64,14.67,23180,0,0,2026-01-29 09:37:00
DX,14.68,14.69,14.67,14.69,29591,0,0,2026-01-29 09:38:00
DX,14.69,14.71,14.69,14.7,29461,0,0,2026-01-29 09:39:00
DX,14.7,14.7,14.69,14.69,14270,0,0,2026-01-29 09:40:00
DX,14.69,14.69,14.67,14.69,15973,0,0,2026-01-29 09:41:00
DX,14.68,14.69,14.66,14.66,41472,0,0,2026-01-29 09:42:00
DX,14.65,14.66,14.64,14.64,28640,0,0,2026-01-29 09:43:00
DX,14.65,14.65,14.64,14.65,11755,0,0,2026-01-29 09:44:00
DX,14.65,14.67,14.65,14.66,13791,0,0,2026-01-29 09:45:00
