Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ECO,40.88,40.88,40.88,40.88,384,0,0,2026-01-29 08:17:00
ECO,40.88,40.88,40.88,40.88,204,0,0,2026-01-29 08:18:00
ECO,40.88,40.88,40.88,40.88,250,0,0,2026-01-29 08:44:00
ECO,40.88,40.88,40.88,40.88,214,40.74,40.88,2026-01-29 08:48:00
ECO,40.87,40.87,40.87,40.87,515,40.74,40.88,2026-01-29 08:53:00
ECO,40.88,40.88,40.88,40.88,166,0,0,2026-01-29 09:02:00
ECO,40.99,40.99,40.99,40.99,599,41.04,41.11,2026-01-29 09:15:00
ECO,41.06,41.06,41.06,41.06,200,0,0,2026-01-29 09:16:00
ECO,41.11,41.19,41.11,41.19,461,40.91,41.2,2026-01-29 09:30:01
ECO,41.0,41.08,40.99,40.99,6984,0,0,2026-01-29 09:30:00
ECO,41.01,41.04,40.9,41.04,1002,0,0,2026-01-29 09:31:00
ECO,41.06,41.06,40.99,40.99,935,40.99,41.07,2026-01-29 09:33:00
ECO,40.99,41.01,40.94,41.01,1203,40.92,41.04,2026-01-29 09:34:00
ECO,40.89,40.89,40.89,40.89,299,0,0,2026-01-29 09:34:00
ECO,40.82,40.82,40.77,40.77,957,40.56,40.84,2026-01-29 09:36:00
ECO,40.71,40.71,40.51,40.54,6646,0,0,2026-01-29 09:36:00
ECO,40.52,40.52,40.52,40.52,250,0,0,2026-01-29 09:37:00
ECO,40.56,40.56,40.56,40.56,1075,0,0,2026-01-29 09:38:00
ECO,40.59,40.59,40.59,40.59,381,0,0,2026-01-29 09:39:00
ECO,40.66,40.66,40.65,40.66,933,0,0,2026-01-29 09:43:00
ECO,40.73,40.73,40.73,40.73,422,0,0,2026-01-29 09:44:00
ECO,40.66,40.66,40.59,40.59,2074,0,0,2026-01-29 09:45:00
ECO,40.53,40.53,40.5,40.5,1049,0,0,2026-01-29 09:46:00
ECO,40.43,40.43,40.34,40.34,1111,0,0,2026-01-29 09:48:00
ECO,40.35,40.4,40.24,40.4,4551,0,0,2026-01-29 09:49:00
ECO,40.37,40.5,40.37,40.43,3767,0,0,2026-01-29 09:50:00
ECO,40.46,40.46,40.46,40.46,784,0,0,2026-01-29 09:51:00
ECO,40.31,40.35,40.29,40.3,730,0,0,2026-01-29 09:53:00
ECO,40.29,40.32,40.2,40.2,2700,0,0,2026-01-29 09:56:00
ECO,40.22,40.28,40.1,40.1,4980,0,0,2026-01-29 09:57:00
ECO,40.1,40.1,39.97,40.0,10670,0,0,2026-01-29 09:58:00
ECO,39.94,39.99,39.9,39.92,2347,0,0,2026-01-29 09:59:00
ECO,39.92,39.92,39.92,39.92,899,0,0,2026-01-29 10:00:00
ECO,39.91,39.91,39.76,39.76,6978,0,0,2026-01-29 10:01:00
ECO,39.76,39.81,39.76,39.81,1990,0,0,2026-01-29 10:02:00
ECO,39.75,39.75,39.75,39.75,165,0,0,2026-01-29 10:05:00
ECO,39.85,39.85,39.85,39.85,752,0,0,2026-01-29 10:06:00
ECO,39.74,39.77,39.7,39.77,2003,0,0,2026-01-29 10:07:00
ECO,39.7,39.77,39.7,39.77,1903,39.71,39.83,2026-01-29 10:09:00
ECO,39.77,39.77,39.77,39.77,293,0,0,2026-01-29 10:09:00
ECO,39.83,39.9,39.78,39.84,4337,0,0,2026-01-29 10:11:00
ECO,39.84,39.84,39.83,39.83,652,0,0,2026-01-29 10:12:00
ECO,39.84,39.84,39.82,39.82,614,0,0,2026-01-29 10:13:00
