Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ELF,85.0,85.0,85.0,85.0,500,0,0,2026-01-29 08:27:00
ELF,84.94,84.94,84.94,84.94,155,84.55,85.5,2026-01-29 08:49:00
ELF,84.57,85.03,84.56,84.94,15157,0,0,2026-01-29 09:30:00
ELF,84.94,84.94,84.57,84.59,1909,0,0,2026-01-29 09:31:00
ELF,84.57,84.94,84.57,84.9,3061,0,0,2026-01-29 09:32:00
ELF,84.77,84.77,84.09,84.3,5275,0,0,2026-01-29 09:33:00
ELF,84.34,84.34,84.05,84.05,2929,0,0,2026-01-29 09:34:00
ELF,84.33,84.34,83.85,84,11522,83.89,84.33,2026-01-29 09:36:00
ELF,83.89,83.89,83.36,83.36,11479,0,0,2026-01-29 09:36:00
ELF,83.63,83.93,83.38,83.93,7850,0,0,2026-01-29 09:37:00
ELF,83.93,84.23,83.93,84.18,7737,0,0,2026-01-29 09:38:00
ELF,84.34,84.42,83.91,84.14,4184,0,0,2026-01-29 09:39:00
ELF,83.94,84.21,83.75,83.75,3250,0,0,2026-01-29 09:40:00
ELF,83.73,84.64,83.69,84.55,7311,0,0,2026-01-29 09:41:00
ELF,84.21,84.22,83.96,84.12,4319,0,0,2026-01-29 09:42:00
ELF,84.03,84.19,83.96,84.19,3608,0,0,2026-01-29 09:43:00
ELF,84.1,84.1,83.58,83.59,9671,0,0,2026-01-29 09:44:00
ELF,83.61,83.7,83.15,83.44,7599,0,0,2026-01-29 09:45:00
ELF,83.35,83.61,83.35,83.61,2683,0,0,2026-01-29 09:46:00
ELF,83.42,83.42,83.21,83.38,6677,0,0,2026-01-29 09:47:00
ELF,83.33,83.33,83.15,83.16,5785,0,0,2026-01-29 09:48:00
ELF,83.28,83.37,83.13,83.13,5710,83.15,83.3,2026-01-29 09:50:00
ELF,83.12,83.14,83.0,83.09,7718,0,0,2026-01-29 09:50:00
ELF,83.12,83.24,83.01,83.11,7822,0,0,2026-01-29 09:51:00
ELF,83.01,83.11,82.92,83.01,9211,0,0,2026-01-29 09:52:00
ELF,83.0,83.4,83.0,83.31,11860,0,0,2026-01-29 09:53:00
ELF,83.25,83.77,83.24,83.67,10583,0,0,2026-01-29 09:54:00
ELF,83.68,83.78,83.5,83.67,7570,0,0,2026-01-29 09:55:00
ELF,83.58,83.74,83.58,83.72,4978,0,0,2026-01-29 09:56:00
ELF,83.77,83.99,83.58,83.96,11719,0,0,2026-01-29 09:57:00
ELF,83.94,84.1,83.46,83.46,6480,0,0,2026-01-29 09:58:00
ELF,83.41,83.47,83.14,83.14,3930,0,0,2026-01-29 09:59:00
ELF,83.13,83.46,83.01,83.35,23155,0,0,2026-01-29 10:00:00
ELF,83.17,83.3,83.14,83.23,2672,0,0,2026-01-29 10:01:00
ELF,83.14,83.3,83.04,83.3,6062,0,0,2026-01-29 10:02:00
ELF,83.3,83.33,83.3,83.33,3113,0,0,2026-01-29 10:03:00
ELF,83.34,83.48,83.27,83.35,18151,0,0,2026-01-29 10:04:00
ELF,83.35,83.44,83.21,83.32,7270,0,0,2026-01-29 10:05:00
ELF,83.34,83.47,83.33,83.43,11263,0,0,2026-01-29 10:06:00
ELF,83.44,83.44,83.17,83.36,7379,0,0,2026-01-29 10:07:00
ELF,83.3,83.31,83.3,83.3,3660,0,0,2026-01-29 10:08:00
ELF,83.33,83.33,83.28,83.31,4946,0,0,2026-01-29 10:09:00
ELF,83.31,83.31,83.27,83.3,3706,0,0,2026-01-29 10:10:00
ELF,83.35,83.43,83.3,83.31,5596,0,0,2026-01-29 10:11:00
ELF,83.32,83.57,83.32,83.57,3244,0,0,2026-01-29 10:12:00
ELF,83.5,83.56,83.41,83.42,11031,0,0,2026-01-29 10:13:00
ELF,83.36,83.56,83.36,83.56,5553,0,0,2026-01-29 10:14:00
ELF,83.56,83.81,83.56,83.7,9492,0,0,2026-01-29 10:15:00
ELF,83.66,83.66,83.5,83.54,8101,0,0,2026-01-29 10:16:00
ELF,83.62,83.62,83.54,83.55,4187,0,0,2026-01-29 10:17:00
ELF,83.55,83.91,83.55,83.63,10809,0,0,2026-01-29 10:18:00
ELF,83.79,83.79,83.5,83.5,1170,0,0,2026-01-29 10:19:00
ELF,83.47,83.87,83.47,83.79,3549,0,0,2026-01-29 10:20:00
ELF,83.75,84.13,83.75,84.13,2660,0,0,2026-01-29 10:21:00
ELF,84.13,84.13,83.95,83.95,993,0,0,2026-01-29 10:22:00
ELF,83.87,83.88,83.85,83.85,1574,0,0,2026-01-29 10:23:00
ELF,83.88,84.03,83.78,84.03,4772,0,0,2026-01-29 10:24:00
ELF,84.04,84.25,84.04,84.25,2116,0,0,2026-01-29 10:25:00
ELF,84.06,84.31,84.05,84.3,2849,0,0,2026-01-29 10:26:00
ELF,84.3,84.3,84.16,84.16,4293,0,0,2026-01-29 10:27:00
ELF,84.08,84.08,83.98,84.07,3199,0,0,2026-01-29 10:28:00
ELF,83.93,83.95,83.93,83.95,873,0,0,2026-01-29 10:29:00
ELF,83.89,83.89,83.7,83.83,2527,0,0,2026-01-29 10:30:00
ELF,83.82,83.91,83.82,83.91,2492,0,0,2026-01-29 10:31:00
ELF,83.94,84.21,83.94,84.21,2152,0,0,2026-01-29 10:32:00
ELF,84.22,84.25,84.22,84.25,1539,0,0,2026-01-29 10:33:00
ELF,84.26,84.26,84.0,84.04,3745,0,0,2026-01-29 10:34:00
ELF,83.97,84.04,83.9,83.94,4995,0,0,2026-01-29 10:35:00
ELF,83.94,84.05,83.84,84.05,7816,0,0,2026-01-29 10:36:00
ELF,84.05,84.19,84.05,84.16,5520,0,0,2026-01-29 10:37:00
ELF,84.16,84.23,84.16,84.18,3333,0,0,2026-01-29 10:38:00
ELF,84.09,84.09,84.07,84.09,1402,0,0,2026-01-29 10:39:00
ELF,83.96,83.96,83.85,83.85,1450,0,0,2026-01-29 10:40:00
ELF,83.78,83.87,83.74,83.86,2302,0,0,2026-01-29 10:41:00
ELF,84.01,84.1,83.96,84.1,2286,0,0,2026-01-29 10:42:00
ELF,84.06,84.21,84.04,84.09,5856,0,0,2026-01-29 10:43:00
ELF,84.26,84.33,84.15,84.15,3669,83.95,84.34,2026-01-29 10:45:00
ELF,84.11,84.28,84.11,84.28,2969,0,0,2026-01-29 10:45:00
ELF,84.23,84.23,84.05,84.09,9906,0,0,2026-01-29 10:46:00
ELF,84.22,84.6,84.18,84.6,4151,0,0,2026-01-29 10:47:00
ELF,84.7,84.7,84.58,84.58,1000,0,0,2026-01-29 10:48:00
ELF,84.58,84.58,84.58,84.58,1302,0,0,2026-01-29 10:49:00
ELF,84.5,84.55,84.42,84.43,7869,0,0,2026-01-29 10:50:00
ELF,84.55,84.58,84.53,84.58,2317,0,0,2026-01-29 10:51:00
ELF,84.58,84.58,84.49,84.49,1071,0,0,2026-01-29 10:52:00
ELF,84.49,84.58,84.37,84.37,3520,0,0,2026-01-29 10:53:00
ELF,84.47,84.52,84.47,84.47,1741,0,0,2026-01-29 10:54:00
ELF,84.37,84.58,84.37,84.56,1759,0,0,2026-01-29 10:55:00
ELF,84.65,84.88,84.65,84.87,3869,0,0,2026-01-29 10:56:00
ELF,84.89,85.0,84.89,85.0,1294,0,0,2026-01-29 10:57:00
ELF,85.0,85.0,84.96,85.0,2927,0,0,2026-01-29 10:58:00
ELF,84.9,84.9,84.59,84.67,5402,0,0,2026-01-29 10:59:00
ELF,84.67,84.67,84.63,84.66,1056,0,0,2026-01-29 11:00:00
ELF,84.66,84.73,84.66,84.73,2579,0,0,2026-01-29 11:01:00
ELF,84.74,84.83,84.74,84.75,1454,0,0,2026-01-29 11:02:00
ELF,84.85,84.89,84.85,84.89,2031,0,0,2026-01-29 11:03:00
ELF,84.88,84.88,84.78,84.78,1702,0,0,2026-01-29 11:04:00
ELF,84.88,84.88,84.87,84.88,954,0,0,2026-01-29 11:05:00
ELF,84.88,84.88,84.67,84.67,11862,0,0,2026-01-29 11:06:00
ELF,84.7,84.7,84.66,84.66,1586,0,0,2026-01-29 11:07:00
ELF,84.64,84.82,84.55,84.79,6675,0,0,2026-01-29 11:08:00
ELF,84.71,84.81,84.71,84.81,843,0,0,2026-01-29 11:09:00
ELF,84.78,84.78,84.7,84.78,2588,0,0,2026-01-29 11:10:00
ELF,84.88,84.88,84.76,84.83,2591,0,0,2026-01-29 11:11:00
ELF,84.82,85.02,84.82,85.02,21093,0,0,2026-01-29 11:12:00
ELF,84.92,85.24,84.92,85.11,1708,0,0,2026-01-29 11:13:00
ELF,85.24,85.26,85.18,85.25,3991,0,0,2026-01-29 11:14:00
ELF,85.25,85.45,85.25,85.37,2860,0,0,2026-01-29 11:15:00
ELF,85.25,85.33,85.25,85.33,1201,0,0,2026-01-29 11:16:00
ELF,85.31,85.31,85.03,85.05,5577,0,0,2026-01-29 11:17:00
ELF,85.11,85.27,85.11,85.27,4020,0,0,2026-01-29 11:18:00
ELF,85.3,85.41,85.3,85.41,2124,0,0,2026-01-29 11:19:00
ELF,85.33,85.61,85.33,85.61,3512,0,0,2026-01-29 11:20:00
ELF,85.63,85.63,85.61,85.61,1007,0,0,2026-01-29 11:21:00
ELF,85.61,85.61,85.34,85.34,3010,0,0,2026-01-29 11:22:00
ELF,85.48,85.53,85.48,85.53,1231,0,0,2026-01-29 11:23:00
ELF,85.43,85.71,85.43,85.71,2753,0,0,2026-01-29 11:24:00
ELF,85.64,85.7,85.64,85.64,1987,0,0,2026-01-29 11:25:00
ELF,85.62,85.62,85.56,85.56,1672,0,0,2026-01-29 11:26:00
ELF,85.7,85.7,85.7,85.7,804,0,0,2026-01-29 11:27:00
ELF,85.61,85.61,85.39,85.41,4470,0,0,2026-01-29 11:28:00
ELF,85.44,85.5,85.41,85.5,1278,0,0,2026-01-29 11:29:00
ELF,85.58,85.79,85.58,85.79,2508,0,0,2026-01-29 11:30:00
ELF,85.66,85.76,85.66,85.76,1422,0,0,2026-01-29 11:31:00
ELF,85.8,85.8,85.79,85.79,1125,0,0,2026-01-29 11:32:00
ELF,85.75,85.77,85.58,85.77,5839,0,0,2026-01-29 11:33:00
ELF,85.83,85.83,85.81,85.81,991,0,0,2026-01-29 11:35:00
ELF,85.81,85.81,85.78,85.78,2257,0,0,2026-01-29 11:36:00
ELF,85.92,85.95,85.92,85.95,1355,0,0,2026-01-29 11:37:00
ELF,85.86,85.94,85.86,85.86,1513,0,0,2026-01-29 11:38:00
ELF,85.87,85.98,85.87,85.89,2526,0,0,2026-01-29 11:39:00
ELF,85.99,85.99,85.93,85.93,2233,0,0,2026-01-29 11:40:00
ELF,85.99,86.01,85.92,85.92,4366,0,0,2026-01-29 11:41:00
ELF,85.97,85.97,85.97,85.97,682,0,0,2026-01-29 11:42:00
ELF,85.96,85.96,85.96,85.96,1852,0,0,2026-01-29 11:43:00
ELF,85.96,85.97,85.85,85.85,3992,0,0,2026-01-29 11:44:00
ELF,85.88,85.88,85.88,85.88,497,0,0,2026-01-29 11:45:00
ELF,85.91,85.96,85.87,85.94,2754,0,0,2026-01-29 11:46:00
ELF,86.03,86.03,85.98,85.98,904,0,0,2026-01-29 11:47:00
ELF,85.9,85.92,85.86,85.92,1968,0,0,2026-01-29 11:48:00
ELF,85.89,85.92,85.89,85.92,1263,0,0,2026-01-29 11:49:00
ELF,85.92,85.92,85.92,85.92,1037,0,0,2026-01-29 11:50:00
ELF,85.85,85.85,85.83,85.83,1724,0,0,2026-01-29 11:51:00
ELF,85.91,85.91,85.84,85.84,836,0,0,2026-01-29 11:53:00
ELF,85.88,85.92,85.88,85.92,1616,0,0,2026-01-29 11:55:00
ELF,85.89,85.91,85.89,85.91,744,0,0,2026-01-29 11:56:00
ELF,85.92,85.94,85.75,85.81,3595,0,0,2026-01-29 11:57:00
ELF,85.85,85.91,85.85,85.91,1783,0,0,2026-01-29 11:58:00
ELF,85.79,85.79,85.79,85.79,1099,0,0,2026-01-29 11:59:00
ELF,85.94,85.96,85.82,85.82,2824,0,0,2026-01-29 12:00:00
ELF,85.86,85.9,85.84,85.84,3372,0,0,2026-01-29 12:01:00
ELF,85.83,85.94,85.83,85.94,824,0,0,2026-01-29 12:02:00
ELF,86.0,86.03,86.0,86.03,1511,0,0,2026-01-29 12:03:00
ELF,86.02,86.09,85.95,86.07,8510,0,0,2026-01-29 12:04:00
ELF,86.02,86.09,86.01,86.09,855,0,0,2026-01-29 12:05:00
ELF,86.09,86.11,86.06,86.06,5820,0,0,2026-01-29 12:06:00
ELF,86.12,86.39,86.12,86.29,2981,0,0,2026-01-29 12:07:00
ELF,86.33,86.39,86.23,86.28,1993,0,0,2026-01-29 12:08:00
ELF,86.28,86.38,86.28,86.38,989,0,0,2026-01-29 12:09:00
ELF,86.45,86.45,86.45,86.45,643,0,0,2026-01-29 12:10:00
ELF,86.34,86.34,86.34,86.34,2118,0,0,2026-01-29 12:11:00
ELF,86.45,86.5,86.42,86.42,1794,0,0,2026-01-29 12:12:00
ELF,86.56,86.66,86.56,86.66,1736,0,0,2026-01-29 12:13:00
ELF,86.67,86.67,86.56,86.64,1636,0,0,2026-01-29 12:14:00
ELF,86.64,86.64,86.59,86.59,1332,0,0,2026-01-29 12:15:00
ELF,86.54,86.64,86.51,86.58,2731,0,0,2026-01-29 12:16:00
ELF,86.51,86.79,86.51,86.79,2841,0,0,2026-01-29 12:17:00
ELF,86.79,86.91,86.79,86.9,1215,0,0,2026-01-29 12:18:00
ELF,86.92,86.92,86.87,86.9,1277,0,0,2026-01-29 12:19:00
ELF,86.92,86.92,86.79,86.89,5315,0,0,2026-01-29 12:20:00
ELF,86.88,86.88,86.88,86.88,1516,0,0,2026-01-29 12:21:00
ELF,86.9,86.9,86.66,86.66,4586,0,0,2026-01-29 12:22:00
ELF,86.64,86.66,86.53,86.66,2738,0,0,2026-01-29 12:23:00
ELF,86.71,86.79,86.71,86.71,934,0,0,2026-01-29 12:24:00
ELF,86.63,86.64,86.56,86.64,1208,0,0,2026-01-29 12:25:00
ELF,86.63,86.63,86.52,86.59,4009,0,0,2026-01-29 12:26:00
ELF,86.59,86.59,86.59,86.59,1001,0,0,2026-01-29 12:27:00
ELF,86.68,86.77,86.64,86.77,2980,0,0,2026-01-29 12:28:00
ELF,86.83,87.0,86.57,86.57,10880,0,0,2026-01-29 12:29:00
ELF,86.55,86.55,86.48,86.48,1730,0,0,2026-01-29 12:30:00
ELF,86.46,86.46,86.42,86.45,2386,0,0,2026-01-29 12:31:00
ELF,86.38,86.44,86.38,86.44,3872,0,0,2026-01-29 12:33:00
ELF,86.44,86.61,86.44,86.56,7718,0,0,2026-01-29 12:34:00
ELF,86.55,86.55,86.55,86.55,1069,0,0,2026-01-29 12:35:00
ELF,86.47,86.47,86.37,86.37,1363,0,0,2026-01-29 12:36:00
ELF,86.45,86.5,86.44,86.5,1083,0,0,2026-01-29 12:37:00
ELF,86.5,86.5,86.5,86.5,463,0,0,2026-01-29 12:38:00
ELF,86.4,86.4,86.4,86.4,959,0,0,2026-01-29 12:39:00
ELF,86.4,86.46,86.36,86.41,4100,0,0,2026-01-29 12:40:00
ELF,86.39,86.41,86.39,86.41,2199,0,0,2026-01-29 12:41:00
ELF,86.4,86.4,86.34,86.34,1165,0,0,2026-01-29 12:42:00
ELF,86.35,86.35,86.13,86.24,10199,0,0,2026-01-29 12:43:00
ELF,86.31,86.46,86.31,86.46,3763,0,0,2026-01-29 12:44:00
ELF,86.44,86.44,86.33,86.33,1231,0,0,2026-01-29 12:45:00
ELF,86.32,86.32,86.31,86.31,1143,0,0,2026-01-29 12:46:00
ELF,86.3,86.38,86.28,86.38,1390,0,0,2026-01-29 12:47:00
ELF,86.36,86.36,86.36,86.36,920,0,0,2026-01-29 12:48:00
ELF,86.45,86.5,86.36,86.5,2777,0,0,2026-01-29 12:49:00
ELF,86.54,86.54,86.54,86.54,873,0,0,2026-01-29 12:50:00
ELF,86.56,86.56,86.56,86.56,886,0,0,2026-01-29 12:51:00
ELF,86.56,86.56,86.46,86.46,1540,0,0,2026-01-29 12:52:00
ELF,86.42,86.46,86.4,86.44,2640,0,0,2026-01-29 12:53:00
ELF,86.42,86.47,86.42,86.42,2943,0,0,2026-01-29 12:54:00
ELF,86.5,86.58,86.49,86.58,3032,0,0,2026-01-29 12:55:00
ELF,86.46,86.46,86.46,86.46,1080,0,0,2026-01-29 12:57:00
