Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ENPH,40.08,40.08,40.08,40.08,131,0,0,2026-01-29 08:16:00
ENPH,40.08,40.08,39.81,39.81,300,0,0,2026-01-29 08:18:00
ENPH,39.97,39.97,39.97,39.97,400,0,0,2026-01-29 08:21:00
ENPH,39.95,39.95,39.95,39.95,200,0,0,2026-01-29 08:25:00
ENPH,39.79,39.79,39.79,39.79,300,0,0,2026-01-29 08:28:00
ENPH,39.85,39.85,39.85,39.85,118,0,0,2026-01-29 08:30:00
ENPH,40.05,40.05,39.8,39.8,1142,0,0,2026-01-29 08:32:00
ENPH,39.8,39.8,39.8,39.8,430,0,0,2026-01-29 08:33:00
ENPH,40.05,40.07,40.05,40.07,510,0,0,2026-01-29 08:34:00
ENPH,40.08,40.08,39.86,39.86,891,0,0,2026-01-29 08:35:00
ENPH,40.05,40.05,40.05,40.05,100,0,0,2026-01-29 08:38:00
ENPH,40,40,40,40,761,40,40.04,2026-01-29 08:49:00
ENPH,40.01,40.01,39.81,39.81,475,0,0,2026-01-29 08:49:00
ENPH,39.97,39.97,39.97,39.97,100,0,0,2026-01-29 08:51:00
ENPH,40.04,40.04,40.04,40.04,300,39.99,40.02,2026-01-29 08:53:00
ENPH,40.0,40.0,40.0,40.0,350,0,0,2026-01-29 08:53:00
ENPH,39.84,39.84,39.84,39.84,390,39.8,40.08,2026-01-29 08:55:00
ENPH,39.99,39.99,39.99,39.99,100,0,0,2026-01-29 09:10:00
ENPH,39.89,39.89,39.89,39.89,400,39.83,40.02,2026-01-29 09:15:00
ENPH,39.85,39.85,39.84,39.84,531,0,0,2026-01-29 09:18:00
ENPH,39.84,39.84,39.82,39.82,6716,0,0,2026-01-29 09:19:00
ENPH,39.85,39.85,39.85,39.85,105,0,0,2026-01-29 09:22:00
ENPH,40.38,40.38,39.99,40.25,3948,0,0,2026-01-29 09:27:00
ENPH,40.26,40.27,39.73,39.85,74098,0,0,2026-01-29 09:30:00
ENPH,39.84,39.84,39.5,39.64,15277,0,0,2026-01-29 09:31:00
ENPH,39.67,39.68,39.3,39.38,24149,39.32,39.41,2026-01-29 09:33:00
ENPH,39.32,39.49,39.06,39.16,24089,0,0,2026-01-29 09:33:00
ENPH,39.16,39.16,39.0,39.06,28514,0,0,2026-01-29 09:34:00
ENPH,39.03,39.03,38.75,38.78,27215,38.76,38.82,2026-01-29 09:36:00
ENPH,38.82,38.97,38.69,38.97,43156,0,0,2026-01-29 09:36:00
ENPH,38.99,39.28,38.84,39.26,10744,0,0,2026-01-29 09:37:00
ENPH,39.21,39.27,39.12,39.24,17008,0,0,2026-01-29 09:38:00
ENPH,39.2,39.34,39.13,39.17,15763,0,0,2026-01-29 09:39:00
ENPH,39.11,39.2,39.02,39.17,12772,0,0,2026-01-29 09:40:00
ENPH,39.15,39.17,38.94,38.97,19705,0,0,2026-01-29 09:41:00
ENPH,38.91,38.91,38.58,38.58,32766,0,0,2026-01-29 09:42:00
ENPH,38.58,38.62,38.42,38.42,53297,0,0,2026-01-29 09:43:00
ENPH,38.43,38.43,38.29,38.29,17446,0,0,2026-01-29 09:44:00
ENPH,38.3,38.39,38.28,38.35,33761,0,0,2026-01-29 09:45:00
ENPH,38.39,38.54,38.37,38.52,24896,0,0,2026-01-29 09:46:00
ENPH,38.48,38.58,38.48,38.58,9080,0,0,2026-01-29 09:47:00
ENPH,38.57,38.74,38.57,38.67,16194,0,0,2026-01-29 09:48:00
ENPH,38.66,38.72,38.4,38.52,20542,0,0,2026-01-29 09:49:00
ENPH,38.54,38.71,38.52,38.64,55595,0,0,2026-01-29 09:50:00
ENPH,38.64,38.67,38.59,38.61,8557,0,0,2026-01-29 09:51:00
ENPH,38.63,38.89,38.62,38.82,64151,0,0,2026-01-29 09:52:00
ENPH,38.79,38.97,38.77,38.95,15045,0,0,2026-01-29 09:53:00
ENPH,38.97,39.0,38.88,38.92,15691,0,0,2026-01-29 09:54:00
ENPH,38.89,38.95,38.66,38.68,15707,0,0,2026-01-29 09:55:00
ENPH,38.69,38.69,38.53,38.59,6895,0,0,2026-01-29 09:56:00
ENPH,38.6,38.7,38.58,38.69,116419,0,0,2026-01-29 09:57:00
ENPH,38.7,38.72,38.57,38.6,18656,0,0,2026-01-29 09:58:00
