Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
EPSN,4.66,4.66,4.66,4.66,150,4.6,5,2026-01-29 07:48:00
EPSN,4.8,4.8,4.8,4.8,1815,0,0,2026-01-29 09:30:00
EPSN,4.82,4.82,4.82,4.82,110,0,0,2026-01-29 09:33:00
EPSN,4.83,4.85,4.83,4.85,348,0,0,2026-01-29 09:35:00
EPSN,4.86,4.86,4.86,4.86,983,0,0,2026-01-29 09:36:00
EPSN,4.83,4.83,4.83,4.83,462,0,0,2026-01-29 09:37:00
EPSN,4.88,4.88,4.88,4.88,1065,0,0,2026-01-29 09:40:00
EPSN,4.89,4.89,4.89,4.89,1500,0,0,2026-01-29 09:42:00
EPSN,4.89,4.89,4.89,4.89,100,0,0,2026-01-29 09:43:00
EPSN,4.88,4.89,4.88,4.89,2124,0,0,2026-01-29 09:45:00
EPSN,4.88,4.88,4.88,4.88,3000,0,0,2026-01-29 09:46:00
EPSN,4.86,4.86,4.86,4.86,2000,0,0,2026-01-29 09:47:00
EPSN,4.87,4.87,4.84,4.84,538,0,0,2026-01-29 09:48:00
EPSN,4.83,4.83,4.83,4.83,357,0,0,2026-01-29 09:50:00
EPSN,4.82,4.82,4.81,4.81,398,0,0,2026-01-29 09:52:00
EPSN,4.84,4.84,4.84,4.84,2300,0,0,2026-01-29 09:54:00
EPSN,4.89,4.89,4.87,4.87,3100,0,0,2026-01-29 09:59:00
EPSN,4.87,4.87,4.87,4.87,340,0,0,2026-01-29 10:02:00
EPSN,4.87,4.87,4.87,4.87,760,0,0,2026-01-29 10:05:00
EPSN,4.84,4.84,4.84,4.84,102,0,0,2026-01-29 10:08:00
EPSN,4.87,4.87,4.87,4.87,114,0,0,2026-01-29 10:09:00
EPSN,4.85,4.85,4.85,4.85,121,0,0,2026-01-29 10:10:00
EPSN,4.9,4.9,4.9,4.9,181,0,0,2026-01-29 10:11:00
EPSN,4.89,4.89,4.89,4.89,106,0,0,2026-01-29 10:12:00
EPSN,4.87,4.87,4.87,4.87,750,0,0,2026-01-29 10:14:00
EPSN,4.87,4.87,4.87,4.87,100,0,0,2026-01-29 10:16:00
EPSN,4.87,4.87,4.87,4.87,110,0,0,2026-01-29 10:21:00
EPSN,4.87,4.87,4.87,4.87,1782,0,0,2026-01-29 10:22:00
EPSN,4.87,4.87,4.87,4.87,176,0,0,2026-01-29 10:23:00
EPSN,4.87,4.87,4.87,4.87,390,0,0,2026-01-29 10:25:00
EPSN,4.9,4.9,4.9,4.9,593,0,0,2026-01-29 10:28:00
EPSN,4.92,4.93,4.91,4.93,1250,0,0,2026-01-29 10:29:00
EPSN,4.91,4.91,4.91,4.91,130,0,0,2026-01-29 10:31:00
EPSN,4.91,4.91,4.91,4.91,132,0,0,2026-01-29 10:32:00
EPSN,4.91,4.91,4.91,4.91,107,0,0,2026-01-29 10:34:00
EPSN,4.91,4.91,4.91,4.91,200,0,0,2026-01-29 10:36:00
EPSN,4.91,4.93,4.91,4.93,2532,0,0,2026-01-29 10:37:00
EPSN,4.95,4.95,4.95,4.95,392,0,0,2026-01-29 10:38:00
EPSN,4.97,5.07,4.97,5.07,42185,0,0,2026-01-29 10:39:00
EPSN,5.09,5.09,5.07,5.09,1980,0,0,2026-01-29 10:40:00
EPSN,5.07,5.09,5.04,5.09,3671,0,0,2026-01-29 10:41:00
EPSN,5.08,5.12,5.08,5.12,4598,0,0,2026-01-29 10:42:00
EPSN,5.11,5.17,5.05,5.06,12207,0,0,2026-01-29 10:43:00
EPSN,5.05,5.18,5.05,5.14,4274,5.1,5.17,2026-01-29 10:45:00
EPSN,5.14,5.15,5.14,5.15,777,0,0,2026-01-29 10:45:00
EPSN,5.14,5.18,5.14,5.18,870,0,0,2026-01-29 10:46:00
EPSN,5.18,5.18,5.14,5.17,5974,0,0,2026-01-29 10:47:00
EPSN,5.16,5.17,5.11,5.11,2110,0,0,2026-01-29 10:48:00
EPSN,5.12,5.12,5.1,5.1,863,0,0,2026-01-29 10:49:00
EPSN,5.1,5.1,5.1,5.1,366,0,0,2026-01-29 10:50:00
EPSN,5.12,5.12,5.12,5.12,312,0,0,2026-01-29 10:51:00
EPSN,5.15,5.17,5.14,5.14,1752,0,0,2026-01-29 10:52:00
EPSN,5.13,5.13,5.11,5.11,3619,0,0,2026-01-29 10:53:00
EPSN,5.12,5.12,5.12,5.12,522,0,0,2026-01-29 10:54:00
EPSN,5.12,5.12,5.11,5.12,813,0,0,2026-01-29 10:55:00
EPSN,5.11,5.11,5.11,5.11,705,0,0,2026-01-29 10:58:00
EPSN,5.12,5.12,5.12,5.12,156,0,0,2026-01-29 10:59:00
EPSN,5.14,5.14,5.14,5.14,180,0,0,2026-01-29 11:01:00
