Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
ERIE,273.05,273.05,273.05,273.05,200,265.5,293,2026-01-29 06:23:00
ERIE,275.34,275.34,275.34,275.34,1116,0,0,2026-01-29 09:30:00
ERIE,276.98,276.98,276.98,276.98,132,273.58,277.44,2026-01-29 09:33:00
ERIE,277.2,277.44,277.2,277.44,526,0,0,2026-01-29 09:35:00
ERIE,278.49,279.0,278.49,279.0,1394,0,0,2026-01-29 09:37:00
ERIE,279.1,279.1,279.1,279.1,867,0,0,2026-01-29 09:38:00
ERIE,279.1,279.1,279.1,279.1,154,0,0,2026-01-29 09:39:00
ERIE,279.13,279.13,279.13,279.13,213,0,0,2026-01-29 09:40:00
ERIE,277.29,277.29,277.29,277.29,199,0,0,2026-01-29 09:42:00
ERIE,277.22,277.22,277.15,277.15,270,0,0,2026-01-29 09:43:00
ERIE,276.8,276.8,276.8,276.8,232,0,0,2026-01-29 09:44:00
ERIE,276.8,276.8,276.8,276.8,71,0,0,2026-01-29 09:45:00
ERIE,276.73,276.73,276.73,276.73,182,0,0,2026-01-29 09:48:00
ERIE,277.97,278.62,277.97,278.62,569,0,0,2026-01-29 09:54:00
ERIE,278.47,278.55,278.46,278.55,987,0,0,2026-01-29 09:55:00
ERIE,279.03,279.27,279.03,279.27,338,0,0,2026-01-29 10:00:00
ERIE,279.93,280.0,279.93,280.0,451,0,0,2026-01-29 10:02:00
ERIE,279.97,280.05,279.96,279.96,432,0,0,2026-01-29 10:03:00
ERIE,279.89,280.26,279.89,280.26,347,0,0,2026-01-29 10:04:00
ERIE,280.3,281.62,280.18,281.62,1196,281.07,282.18,2026-01-29 10:06:00
ERIE,281.24,281.28,281.24,281.28,358,0,0,2026-01-29 10:06:00
ERIE,281.6,281.61,280.87,281.03,3237,0,0,2026-01-29 10:07:00
ERIE,280.97,280.99,280.77,280.85,1072,0,0,2026-01-29 10:08:00
ERIE,279.8,279.8,279.8,279.8,205,0,0,2026-01-29 10:11:00
ERIE,280.72,281.64,280.72,281.64,290,0,0,2026-01-29 10:12:00
ERIE,280.72,280.72,280.72,280.72,240,0,0,2026-01-29 10:13:00
ERIE,281.6,281.61,281.6,281.61,301,0,0,2026-01-29 10:15:00
ERIE,280.73,280.73,280.4,280.4,681,0,0,2026-01-29 10:19:00
ERIE,280.4,280.4,280.4,280.4,89,0,0,2026-01-29 10:20:00
ERIE,280.52,280.52,279.96,279.96,306,0,0,2026-01-29 10:23:00
ERIE,280.06,280.48,280.06,280.48,718,0,0,2026-01-29 10:24:00
ERIE,279.99,279.99,279.99,279.99,81,0,0,2026-01-29 10:29:00
ERIE,280.58,281.7,280.58,281.7,1298,0,0,2026-01-29 10:32:00
ERIE,281.9,281.9,281.88,281.88,167,0,0,2026-01-29 10:33:00
ERIE,281.84,282.03,281.84,282.0,471,0,0,2026-01-29 10:34:00
ERIE,281.85,282.34,281.85,282.34,414,0,0,2026-01-29 10:35:00
ERIE,282.25,282.25,282.25,282.25,208,0,0,2026-01-29 10:37:00
ERIE,282.1,282.54,282.1,282.54,260,0,0,2026-01-29 10:38:00
