Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
EXLS,39.61,39.61,39.6,39.6,233,39.6,42.99,2026-01-29 07:48:00
EXLS,39.63,40.01,39.63,39.7,11917,0,0,2026-01-29 09:30:00
EXLS,39.87,39.87,39.85,39.85,466,0,0,2026-01-29 09:31:00
EXLS,39.65,39.65,39.26,39.26,6733,0,0,2026-01-29 09:32:00
EXLS,39.44,39.44,39.41,39.41,1153,0,0,2026-01-29 09:34:00
EXLS,39.4,39.42,39.27,39.4,1601,0,0,2026-01-29 09:35:00
EXLS,39.39,39.39,39.37,39.37,538,0,0,2026-01-29 09:36:00
EXLS,39.46,39.62,39.45,39.45,6187,0,0,2026-01-29 09:37:00
EXLS,39.52,39.61,39.52,39.61,681,0,0,2026-01-29 09:38:00
EXLS,39.52,39.6,39.51,39.6,1710,0,0,2026-01-29 09:40:00
EXLS,39.51,39.51,39.06,39.23,6324,0,0,2026-01-29 09:41:00
EXLS,39.15,39.15,38.9,38.9,3984,0,0,2026-01-29 09:42:00
EXLS,39.05,39.08,39.05,39.08,765,0,0,2026-01-29 09:43:00
EXLS,38.94,39.08,38.9,39.04,8352,0,0,2026-01-29 09:44:00
EXLS,39.05,39.05,39.05,39.05,365,0,0,2026-01-29 09:45:00
EXLS,39.05,39.05,39.05,39.05,641,0,0,2026-01-29 09:46:00
EXLS,39.05,39.05,39.05,39.05,1240,0,0,2026-01-29 09:47:00
EXLS,39.05,39.05,39.05,39.05,1075,0,0,2026-01-29 09:48:00
EXLS,39.05,39.21,39.05,39.1,2171,0,0,2026-01-29 09:49:00
EXLS,39.09,39.09,38.99,39.02,3529,0,0,2026-01-29 09:50:00
EXLS,39.02,39.1,38.92,39.03,3053,0,0,2026-01-29 09:51:00
EXLS,39.03,39.03,39.03,39.03,422,0,0,2026-01-29 09:52:00
EXLS,39.03,39.05,39.03,39.05,1141,0,0,2026-01-29 09:53:00
EXLS,39.11,39.21,39.11,39.16,4416,0,0,2026-01-29 09:54:00
EXLS,39.19,39.26,39.15,39.26,2784,0,0,2026-01-29 09:55:00
EXLS,39.2,39.21,39.08,39.08,4021,0,0,2026-01-29 09:56:00
EXLS,39.1,39.1,39.04,39.04,1259,0,0,2026-01-29 09:57:00
EXLS,38.97,39.05,38.97,39.05,2088,0,0,2026-01-29 09:58:00
EXLS,38.96,39.02,38.94,38.98,2615,0,0,2026-01-29 09:59:00
EXLS,38.97,39.03,38.97,39.0,2372,0,0,2026-01-29 10:00:00
EXLS,39.03,39.05,39.02,39.05,781,0,0,2026-01-29 10:01:00
EXLS,39.02,39.07,38.95,39.02,9581,0,0,2026-01-29 10:02:00
EXLS,39.02,39.03,38.98,39.03,960,0,0,2026-01-29 10:03:00
EXLS,39.02,39.03,38.96,39.01,9923,0,0,2026-01-29 10:04:00
EXLS,39.01,39.1,39.01,39.03,3929,0,0,2026-01-29 10:05:00
EXLS,39.03,39.03,38.95,38.95,5319,0,0,2026-01-29 10:06:00
EXLS,38.95,38.99,38.93,38.99,3269,0,0,2026-01-29 10:07:00
EXLS,38.98,38.98,38.98,38.98,573,0,0,2026-01-29 10:08:00
EXLS,38.98,38.99,38.94,38.95,2405,0,0,2026-01-29 10:09:00
EXLS,38.98,39.01,38.97,39.01,2972,0,0,2026-01-29 10:10:00
EXLS,39.01,39.04,39.0,39.04,5773,0,0,2026-01-29 10:11:00
EXLS,39.05,39.05,39.05,39.05,438,0,0,2026-01-29 10:12:00
EXLS,39.05,39.09,39.03,39.09,4396,0,0,2026-01-29 10:13:00
EXLS,39.12,39.2,39.11,39.2,2527,0,0,2026-01-29 10:14:00
EXLS,39.18,39.23,39.18,39.2,3481,0,0,2026-01-29 10:15:00
EXLS,39.23,39.25,39.23,39.24,13831,0,0,2026-01-29 10:16:00
EXLS,39.26,39.27,39.22,39.24,2505,0,0,2026-01-29 10:17:00
EXLS,39.27,39.27,39.17,39.23,8192,0,0,2026-01-29 10:19:00
EXLS,39.22,39.22,39.18,39.21,2187,0,0,2026-01-29 10:21:00
EXLS,39.21,39.21,39.17,39.17,1719,0,0,2026-01-29 10:22:00
EXLS,39.17,39.19,38.99,38.99,11489,0,0,2026-01-29 10:23:00
EXLS,39.02,39.1,38.98,39.1,5221,0,0,2026-01-29 10:24:00
EXLS,38.98,39.04,38.98,39.04,570,0,0,2026-01-29 10:25:00
EXLS,38.97,38.97,38.93,38.95,1705,0,0,2026-01-29 10:26:00
EXLS,38.91,38.96,38.9,38.93,5541,0,0,2026-01-29 10:27:00
EXLS,38.92,38.92,38.92,38.92,580,0,0,2026-01-29 10:28:00
EXLS,38.9,38.93,38.89,38.89,3221,0,0,2026-01-29 10:29:00
EXLS,38.89,38.94,38.89,38.89,3387,0,0,2026-01-29 10:30:00
EXLS,38.89,38.96,38.87,38.96,7416,0,0,2026-01-29 10:31:00
EXLS,38.97,38.97,38.91,38.91,2188,0,0,2026-01-29 10:32:00
EXLS,38.91,38.94,38.86,38.88,3351,0,0,2026-01-29 10:34:00
EXLS,38.88,38.88,38.86,38.88,1383,0,0,2026-01-29 10:35:00
EXLS,38.83,38.84,38.83,38.84,2590,0,0,2026-01-29 10:36:00
EXLS,38.84,38.88,38.84,38.84,4636,0,0,2026-01-29 10:37:00
EXLS,38.84,38.86,38.84,38.84,2540,0,0,2026-01-29 10:38:00
EXLS,38.84,38.88,38.84,38.86,2660,0,0,2026-01-29 10:39:00
EXLS,38.88,38.88,38.86,38.86,800,0,0,2026-01-29 10:40:00
EXLS,38.88,38.88,38.88,38.88,1917,0,0,2026-01-29 10:41:00
EXLS,38.88,38.91,38.86,38.88,3242,0,0,2026-01-29 10:42:00
EXLS,38.91,38.96,38.91,38.91,4944,0,0,2026-01-29 10:43:00
EXLS,38.91,38.93,38.9,38.93,2393,38.9,38.96,2026-01-29 10:45:00
EXLS,38.92,38.92,38.92,38.92,758,0,0,2026-01-29 10:45:00
EXLS,38.92,38.98,38.84,38.88,9723,0,0,2026-01-29 10:46:00
EXLS,38.88,38.93,38.87,38.93,4005,0,0,2026-01-29 10:47:00
EXLS,38.91,38.91,38.91,38.91,1162,0,0,2026-01-29 10:48:00
EXLS,38.9,38.93,38.86,38.93,5329,0,0,2026-01-29 10:49:00
EXLS,38.95,38.96,38.92,38.94,4006,0,0,2026-01-29 10:50:00
EXLS,38.94,38.94,38.92,38.92,1488,0,0,2026-01-29 10:52:00
EXLS,38.9,38.92,38.87,38.92,4504,0,0,2026-01-29 10:53:00
EXLS,38.92,38.92,38.92,38.92,927,0,0,2026-01-29 10:54:00
EXLS,38.95,38.96,38.92,38.94,2005,0,0,2026-01-29 10:55:00
EXLS,38.94,38.96,38.94,38.95,1695,0,0,2026-01-29 10:56:00
EXLS,38.93,38.93,38.93,38.93,1103,0,0,2026-01-29 10:57:00
EXLS,38.95,38.97,38.92,38.97,6611,0,0,2026-01-29 10:58:00
EXLS,38.99,38.99,38.94,38.94,2054,0,0,2026-01-29 11:00:00
EXLS,38.92,38.92,38.91,38.91,1270,0,0,2026-01-29 11:01:00
EXLS,38.92,38.93,38.92,38.92,1840,0,0,2026-01-29 11:02:00
EXLS,38.95,38.95,38.95,38.95,714,0,0,2026-01-29 11:03:00
EXLS,38.91,38.95,38.91,38.95,2001,0,0,2026-01-29 11:04:00
EXLS,38.91,38.91,38.85,38.85,2526,0,0,2026-01-29 11:05:00
EXLS,38.84,38.84,38.84,38.84,2779,0,0,2026-01-29 11:06:00
EXLS,38.84,38.86,38.84,38.85,2300,0,0,2026-01-29 11:07:00
EXLS,38.84,38.86,38.83,38.84,2305,0,0,2026-01-29 11:08:00
EXLS,38.84,38.84,38.84,38.84,892,0,0,2026-01-29 11:09:00
EXLS,38.81,38.82,38.81,38.81,2536,0,0,2026-01-29 11:10:00
EXLS,38.83,38.87,38.83,38.87,1790,0,0,2026-01-29 11:11:00
EXLS,38.91,38.93,38.91,38.93,1777,0,0,2026-01-29 11:12:00
EXLS,38.92,38.93,38.9,38.9,1146,0,0,2026-01-29 11:13:00
EXLS,38.87,38.88,38.87,38.88,1428,0,0,2026-01-29 11:15:00
EXLS,38.9,38.91,38.88,38.88,1718,0,0,2026-01-29 11:16:00
EXLS,38.86,38.86,38.85,38.85,1653,0,0,2026-01-29 11:17:00
EXLS,38.83,38.83,38.83,38.83,1689,0,0,2026-01-29 11:18:00
EXLS,38.84,38.85,38.84,38.85,894,0,0,2026-01-29 11:19:00
EXLS,38.85,38.86,38.85,38.86,1137,0,0,2026-01-29 11:20:00
EXLS,38.86,38.87,38.84,38.85,1587,0,0,2026-01-29 11:21:00
EXLS,38.8,38.84,38.68,38.78,26275,0,0,2026-01-29 11:22:00
EXLS,38.76,38.88,38.76,38.88,2516,0,0,2026-01-29 11:23:00
EXLS,38.86,38.86,38.86,38.86,907,0,0,2026-01-29 11:24:00
EXLS,38.87,38.89,38.87,38.88,1962,0,0,2026-01-29 11:25:00
EXLS,38.9,38.9,38.84,38.84,2490,0,0,2026-01-29 11:26:00
EXLS,38.83,38.83,38.82,38.82,1445,0,0,2026-01-29 11:27:00
EXLS,38.83,38.83,38.8,38.8,6816,0,0,2026-01-29 11:28:00
EXLS,38.82,38.83,38.8,38.83,1697,0,0,2026-01-29 11:29:00
EXLS,38.85,38.85,38.83,38.83,928,0,0,2026-01-29 11:30:00
EXLS,38.83,38.86,38.82,38.86,2577,0,0,2026-01-29 11:31:00
EXLS,38.85,38.85,38.85,38.85,1020,0,0,2026-01-29 11:32:00
EXLS,38.85,38.87,38.84,38.84,3391,0,0,2026-01-29 11:33:00
EXLS,38.84,38.86,38.84,38.86,1120,0,0,2026-01-29 11:34:00
EXLS,38.84,38.84,38.84,38.84,817,0,0,2026-01-29 11:35:00
EXLS,38.84,38.84,38.83,38.84,1566,0,0,2026-01-29 11:36:00
EXLS,38.83,38.84,38.83,38.83,1830,0,0,2026-01-29 11:37:00
EXLS,38.83,38.84,38.83,38.84,1175,0,0,2026-01-29 11:38:00
EXLS,38.84,38.84,38.84,38.84,647,0,0,2026-01-29 11:39:00
EXLS,38.83,38.85,38.81,38.85,4526,0,0,2026-01-29 11:40:00
EXLS,38.88,38.89,38.88,38.88,1781,0,0,2026-01-29 11:41:00
EXLS,38.89,38.9,38.89,38.9,2036,0,0,2026-01-29 11:43:00
EXLS,38.88,38.88,38.88,38.88,871,0,0,2026-01-29 11:44:00
EXLS,38.88,38.88,38.84,38.85,3224,0,0,2026-01-29 11:45:00
EXLS,38.86,38.86,38.85,38.85,1849,0,0,2026-01-29 11:46:00
EXLS,38.83,38.88,38.83,38.86,4732,0,0,2026-01-29 11:47:00
EXLS,38.88,38.88,38.88,38.88,997,0,0,2026-01-29 11:48:00
EXLS,38.87,38.87,38.87,38.87,223,0,0,2026-01-29 11:49:00
EXLS,38.87,38.88,38.87,38.88,823,0,0,2026-01-29 11:50:00
EXLS,38.86,38.88,38.86,38.88,2120,0,0,2026-01-29 11:51:00
EXLS,38.86,38.86,38.85,38.85,1756,0,0,2026-01-29 11:52:00
EXLS,38.85,38.85,38.85,38.85,1990,0,0,2026-01-29 11:53:00
EXLS,38.85,38.87,38.85,38.87,1635,0,0,2026-01-29 11:54:00
EXLS,38.87,38.9,38.87,38.9,5565,0,0,2026-01-29 11:55:00
EXLS,38.91,38.91,38.87,38.87,5160,0,0,2026-01-29 11:56:00
EXLS,38.85,38.87,38.85,38.85,3431,0,0,2026-01-29 11:57:00
EXLS,38.86,38.86,38.85,38.85,1088,0,0,2026-01-29 11:58:00
EXLS,38.87,38.87,38.87,38.87,1627,0,0,2026-01-29 11:59:00
EXLS,38.87,38.87,38.87,38.87,1281,0,0,2026-01-29 12:00:00
EXLS,38.87,38.87,38.8,38.85,11557,0,0,2026-01-29 12:01:00
EXLS,38.86,38.91,38.86,38.91,1958,0,0,2026-01-29 12:02:00
EXLS,38.9,38.91,38.9,38.91,525,0,0,2026-01-29 12:03:00
EXLS,38.91,38.91,38.89,38.91,4956,0,0,2026-01-29 12:04:00
EXLS,38.91,38.91,38.91,38.91,1529,0,0,2026-01-29 12:05:00
EXLS,38.91,38.91,38.89,38.9,5700,0,0,2026-01-29 12:07:00
EXLS,38.89,38.89,38.89,38.89,696,0,0,2026-01-29 12:08:00
EXLS,38.9,38.93,38.9,38.93,3671,0,0,2026-01-29 12:09:00
EXLS,38.93,38.93,38.91,38.91,930,0,0,2026-01-29 12:10:00
EXLS,38.91,38.91,38.91,38.91,772,0,0,2026-01-29 12:11:00
EXLS,38.91,38.93,38.91,38.93,1641,0,0,2026-01-29 12:12:00
EXLS,38.92,38.93,38.91,38.91,1567,0,0,2026-01-29 12:14:00
EXLS,38.9,38.91,38.9,38.9,3030,0,0,2026-01-29 12:15:00
EXLS,38.91,38.91,38.9,38.9,1823,0,0,2026-01-29 12:16:00
EXLS,38.9,38.91,38.9,38.9,1707,0,0,2026-01-29 12:17:00
EXLS,38.91,38.92,38.91,38.92,1303,0,0,2026-01-29 12:18:00
EXLS,38.93,38.93,38.93,38.93,535,0,0,2026-01-29 12:19:00
EXLS,38.91,38.91,38.9,38.9,1647,0,0,2026-01-29 12:21:00
EXLS,38.9,38.9,38.83,38.83,2976,0,0,2026-01-29 12:22:00
EXLS,38.82,38.82,38.8,38.8,1542,0,0,2026-01-29 12:23:00
EXLS,38.79,38.79,38.79,38.79,798,0,0,2026-01-29 12:24:00
EXLS,38.78,38.78,38.59,38.69,13859,0,0,2026-01-29 12:25:00
EXLS,38.68,38.69,38.66,38.67,6950,0,0,2026-01-29 12:26:00
EXLS,38.69,38.72,38.69,38.7,5766,0,0,2026-01-29 12:27:00
EXLS,38.72,38.72,38.69,38.69,1711,0,0,2026-01-29 12:28:00
EXLS,38.7,38.75,38.69,38.75,4669,0,0,2026-01-29 12:29:00
EXLS,38.74,38.75,38.72,38.72,4901,0,0,2026-01-29 12:30:00
EXLS,38.71,38.71,38.6,38.6,3643,0,0,2026-01-29 12:31:00
EXLS,38.63,38.64,38.61,38.61,2569,0,0,2026-01-29 12:32:00
EXLS,38.61,38.63,38.61,38.63,6923,0,0,2026-01-29 12:33:00
EXLS,38.63,38.63,38.62,38.62,3532,0,0,2026-01-29 12:35:00
EXLS,38.65,38.67,38.65,38.67,2497,0,0,2026-01-29 12:36:00
EXLS,38.68,38.68,38.68,38.68,521,0,0,2026-01-29 12:37:00
EXLS,38.72,38.72,38.7,38.7,1434,0,0,2026-01-29 12:38:00
EXLS,38.7,38.7,38.65,38.65,3478,0,0,2026-01-29 12:39:00
EXLS,38.65,38.65,38.57,38.57,1681,0,0,2026-01-29 12:40:00
EXLS,38.59,38.6,38.59,38.6,1970,0,0,2026-01-29 12:41:00
EXLS,38.6,38.6,38.59,38.59,825,0,0,2026-01-29 12:42:00
EXLS,38.58,38.58,38.57,38.57,2483,0,0,2026-01-29 12:43:00
EXLS,38.58,38.59,38.56,38.56,3452,0,0,2026-01-29 12:44:00
EXLS,38.56,38.56,38.52,38.52,2930,0,0,2026-01-29 12:45:00
EXLS,38.5,38.52,38.46,38.52,4528,0,0,2026-01-29 12:46:00
EXLS,38.52,38.52,38.52,38.52,1212,0,0,2026-01-29 12:47:00
EXLS,38.5,38.5,38.5,38.5,1570,0,0,2026-01-29 12:48:00
EXLS,38.48,38.48,38.48,38.48,543,0,0,2026-01-29 12:49:00
EXLS,38.48,38.51,38.48,38.49,6445,0,0,2026-01-29 12:50:00
EXLS,38.47,38.48,38.47,38.48,525,0,0,2026-01-29 12:51:00
EXLS,38.48,38.48,38.44,38.44,3164,0,0,2026-01-29 12:52:00
EXLS,38.42,38.42,38.4,38.4,2603,0,0,2026-01-29 12:53:00
EXLS,38.41,38.45,38.41,38.44,4812,0,0,2026-01-29 12:55:00
EXLS,38.45,38.45,38.45,38.45,456,0,0,2026-01-29 12:56:00
EXLS,38.44,38.44,38.42,38.44,1432,0,0,2026-01-29 12:57:00
