Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
EXPO,73.92,73.92,73.92,73.92,2902,0,0,2026-01-29 09:30:00
EXPO,73.93,73.97,73.87,73.97,2304,0,0,2026-01-29 09:31:00
EXPO,73.98,74.26,73.96,74.26,1101,0,0,2026-01-29 09:35:00
EXPO,73.5,73.5,73.5,73.5,198,0,0,2026-01-29 09:36:00
EXPO,74.26,74.26,74.26,74.26,690,0,0,2026-01-29 09:40:00
EXPO,74.31,74.31,74.31,74.31,784,0,0,2026-01-29 09:41:00
EXPO,74.21,74.21,74.21,74.21,206,0,0,2026-01-29 09:42:00
EXPO,73.81,73.89,73.81,73.89,802,0,0,2026-01-29 09:47:00
EXPO,73.76,73.76,73.76,73.76,286,0,0,2026-01-29 09:48:00
EXPO,73.79,73.79,73.78,73.78,835,0,0,2026-01-29 09:49:00
EXPO,73.77,73.77,73.42,73.46,1684,0,0,2026-01-29 09:51:00
EXPO,73.6,73.78,73.6,73.78,1497,0,0,2026-01-29 09:52:00
EXPO,73.71,73.71,73.71,73.71,159,0,0,2026-01-29 09:53:00
EXPO,73.67,73.67,73.67,73.67,412,0,0,2026-01-29 09:59:00
EXPO,73.62,73.62,73.62,73.62,1641,0,0,2026-01-29 10:02:00
EXPO,73.54,73.54,73.54,73.54,246,0,0,2026-01-29 10:03:00
EXPO,73.41,73.41,73.32,73.32,2785,73.12,73.39,2026-01-29 10:06:00
EXPO,73.25,73.52,73.25,73.44,6610,0,0,2026-01-29 10:06:00
EXPO,73.4,73.4,73.4,73.4,889,0,0,2026-01-29 10:07:00
EXPO,73.4,73.4,73.4,73.4,279,0,0,2026-01-29 10:09:00
EXPO,73.41,73.41,73.41,73.41,320,0,0,2026-01-29 10:14:00
EXPO,73.22,73.22,73.22,73.22,482,0,0,2026-01-29 10:15:00
EXPO,73.59,73.62,73.59,73.62,853,0,0,2026-01-29 10:21:00
EXPO,73.56,73.56,73.56,73.56,414,0,0,2026-01-29 10:24:00
EXPO,73.56,73.56,73.38,73.56,5958,0,0,2026-01-29 10:25:00
EXPO,73.3,73.3,73.3,73.3,345,0,0,2026-01-29 10:27:00
EXPO,73.23,73.43,73.23,73.43,908,0,0,2026-01-29 10:28:00
EXPO,73.43,73.43,73.11,73.11,295,0,0,2026-01-29 10:29:00
EXPO,73.03,73.03,73.03,73.03,125,0,0,2026-01-29 10:32:00
EXPO,73.27,73.27,73.27,73.27,235,0,0,2026-01-29 10:34:00
EXPO,72.95,72.95,72.81,72.86,1615,0,0,2026-01-29 10:35:00
EXPO,73.0,73.13,72.86,72.86,3529,0,0,2026-01-29 10:36:00
EXPO,72.8,72.87,72.8,72.87,1019,0,0,2026-01-29 10:37:00
EXPO,72.94,72.94,72.94,72.94,353,0,0,2026-01-29 10:39:00
EXPO,72.96,72.96,72.96,72.96,145,0,0,2026-01-29 10:40:00
EXPO,72.96,73.01,72.96,73.01,2679,0,0,2026-01-29 10:41:00
EXPO,73.1,73.13,73.1,73.13,770,0,0,2026-01-29 10:42:00
EXPO,73.11,73.11,73.11,73.11,247,73.1,73.26,2026-01-29 10:45:00
EXPO,73.2,73.2,73.16,73.17,1206,0,0,2026-01-29 10:46:00
EXPO,73.17,73.17,73.17,73.17,298,0,0,2026-01-29 10:47:00
EXPO,73.25,73.29,73.22,73.25,3125,0,0,2026-01-29 10:48:00
EXPO,73.22,73.25,73.22,73.25,370,0,0,2026-01-29 10:50:00
EXPO,73.24,73.24,73.21,73.21,812,0,0,2026-01-29 10:54:00
EXPO,73.29,73.33,73.29,73.33,487,0,0,2026-01-29 10:55:00
EXPO,73.36,73.39,73.36,73.39,1218,0,0,2026-01-29 10:56:00
EXPO,73.43,73.43,73.37,73.38,3686,0,0,2026-01-29 10:57:00
EXPO,73.36,73.36,73.33,73.33,1809,0,0,2026-01-29 10:58:00
EXPO,73.13,73.13,73.13,73.13,106,0,0,2026-01-29 11:02:00
EXPO,73.17,73.17,73.17,73.17,376,0,0,2026-01-29 11:03:00
EXPO,73.13,73.13,73.13,73.13,125,0,0,2026-01-29 11:05:00
EXPO,73.13,73.16,73.13,73.16,2889,0,0,2026-01-29 11:06:00
EXPO,73.13,73.13,72.84,72.84,13787,0,0,2026-01-29 11:07:00
EXPO,72.71,72.71,72.7,72.7,283,0,0,2026-01-29 11:08:00
EXPO,72.63,72.63,72.61,72.61,242,0,0,2026-01-29 11:09:00
EXPO,72.62,72.62,72.61,72.61,782,0,0,2026-01-29 11:10:00
EXPO,72.69,72.75,72.69,72.74,1085,0,0,2026-01-29 11:11:00
EXPO,72.78,72.78,72.78,72.78,332,0,0,2026-01-29 11:14:00
EXPO,72.81,72.83,72.81,72.83,2130,0,0,2026-01-29 11:15:00
EXPO,72.83,72.83,72.83,72.83,266,0,0,2026-01-29 11:16:00
EXPO,72.8,72.8,72.65,72.65,581,0,0,2026-01-29 11:17:00
EXPO,72.61,72.61,72.61,72.61,170,0,0,2026-01-29 11:19:00
EXPO,72.59,72.59,72.59,72.59,470,0,0,2026-01-29 11:20:00
EXPO,72.59,72.59,72.59,72.59,130,0,0,2026-01-29 11:21:00
EXPO,72.49,72.49,72.4,72.4,508,0,0,2026-01-29 11:22:00
EXPO,72.37,72.37,72.37,72.37,119,0,0,2026-01-29 11:24:00
EXPO,72.36,72.36,72.36,72.36,475,0,0,2026-01-29 11:28:00
EXPO,72.21,72.21,72.21,72.21,157,0,0,2026-01-29 11:29:00
EXPO,72.31,72.31,72.31,72.31,300,0,0,2026-01-29 11:30:00
EXPO,72.36,72.44,72.31,72.44,1459,0,0,2026-01-29 11:32:00
EXPO,72.4,72.4,72.4,72.4,274,0,0,2026-01-29 11:33:00
EXPO,72.38,72.38,72.38,72.38,269,0,0,2026-01-29 11:35:00
EXPO,72.39,72.39,72.21,72.21,2538,0,0,2026-01-29 11:36:00
EXPO,72.19,72.19,72.19,72.19,495,0,0,2026-01-29 11:37:00
EXPO,72.19,72.2,72.19,72.2,559,0,0,2026-01-29 11:40:00
EXPO,72.14,72.14,72.14,72.14,220,0,0,2026-01-29 11:43:00
EXPO,72.11,72.11,72.11,72.11,205,72.09,72.19,2026-01-29 11:45:00
EXPO,72.1,72.1,72.07,72.07,1107,0,0,2026-01-29 11:45:00
EXPO,71.96,72.04,71.96,72.04,1533,0,0,2026-01-29 11:46:00
EXPO,71.9,71.98,71.9,71.98,1605,0,0,2026-01-29 11:47:00
EXPO,71.9,71.9,71.9,71.9,231,0,0,2026-01-29 11:49:00
EXPO,71.86,71.86,71.81,71.81,345,0,0,2026-01-29 11:51:00
EXPO,71.88,71.89,71.84,71.85,2634,0,0,2026-01-29 11:54:00
EXPO,71.83,71.83,71.83,71.83,2117,0,0,2026-01-29 11:55:00
EXPO,71.76,71.8,71.76,71.8,328,0,0,2026-01-29 11:58:00
EXPO,71.84,71.84,71.81,71.83,1037,0,0,2026-01-29 11:59:00
EXPO,71.76,71.76,71.76,71.76,729,0,0,2026-01-29 12:00:00
EXPO,71.81,71.81,71.75,71.75,610,0,0,2026-01-29 12:01:00
EXPO,71.8,71.86,71.8,71.83,923,0,0,2026-01-29 12:02:00
EXPO,71.84,71.96,71.8,71.89,12102,0,0,2026-01-29 12:04:00
EXPO,71.85,71.85,71.85,71.85,1501,0,0,2026-01-29 12:06:00
EXPO,71.8,71.8,71.77,71.77,724,0,0,2026-01-29 12:07:00
EXPO,71.75,71.84,71.75,71.84,1460,0,0,2026-01-29 12:08:00
EXPO,71.81,71.9,71.81,71.85,5641,0,0,2026-01-29 12:09:00
EXPO,71.85,71.85,71.85,71.85,153,0,0,2026-01-29 12:10:00
EXPO,71.78,71.78,71.78,71.78,294,0,0,2026-01-29 12:13:00
EXPO,71.79,71.79,71.79,71.79,172,0,0,2026-01-29 12:15:00
EXPO,71.79,71.79,71.6,71.64,1572,0,0,2026-01-29 12:16:00
EXPO,71.67,71.67,71.67,71.67,744,0,0,2026-01-29 12:17:00
EXPO,71.67,71.67,71.67,71.67,189,0,0,2026-01-29 12:18:00
EXPO,71.66,71.66,71.66,71.66,117,0,0,2026-01-29 12:19:00
EXPO,71.66,71.66,71.66,71.66,564,0,0,2026-01-29 12:20:00
EXPO,71.6,71.6,71.47,71.47,780,0,0,2026-01-29 12:22:00
EXPO,71.41,71.41,71.28,71.39,4030,0,0,2026-01-29 12:23:00
EXPO,71.39,71.39,71.39,71.39,258,0,0,2026-01-29 12:26:00
EXPO,71.39,71.41,71.39,71.39,1555,0,0,2026-01-29 12:28:00
EXPO,71.35,71.35,71.27,71.27,2275,0,0,2026-01-29 12:29:00
EXPO,71.26,71.26,71.26,71.26,431,0,0,2026-01-29 12:31:00
EXPO,71.15,71.27,71.15,71.27,2544,0,0,2026-01-29 12:33:00
EXPO,71.25,71.3,71.25,71.3,3563,0,0,2026-01-29 12:35:00
EXPO,71.32,71.36,71.28,71.36,7330,0,0,2026-01-29 12:36:00
EXPO,71.36,71.36,71.35,71.35,720,0,0,2026-01-29 12:37:00
EXPO,71.35,71.35,71.06,71.08,5602,0,0,2026-01-29 12:39:00
EXPO,71.16,71.16,71.16,71.16,630,0,0,2026-01-29 12:42:00
EXPO,71.16,71.21,71.15,71.19,4033,0,0,2026-01-29 12:43:00
EXPO,71.23,71.23,71.23,71.23,391,0,0,2026-01-29 12:44:00
EXPO,71.16,71.16,71.14,71.14,367,0,0,2026-01-29 12:45:00
EXPO,71.17,71.17,71.17,71.17,505,0,0,2026-01-29 12:46:00
EXPO,71.1,71.1,71.05,71.05,483,0,0,2026-01-29 12:52:00
EXPO,71.05,71.07,71.04,71.07,899,0,0,2026-01-29 12:53:00
EXPO,71.0,71.0,71.0,71.0,204,0,0,2026-01-29 12:55:00
EXPO,71.04,71.04,71.04,71.04,224,0,0,2026-01-29 12:57:00
