Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
EZPW,21.15,21.15,21.15,21.15,300,20.9,21.95,2026-01-29 08:00:01
EZPW,20.98,20.98,20.98,20.98,485,0,0,2026-01-29 09:25:00
EZPW,21.13,21.2,21.13,21.2,10891,0,0,2026-01-29 09:30:00
EZPW,21.17,21.19,21.17,21.19,1018,0,0,2026-01-29 09:31:00
EZPW,21.19,21.19,21.17,21.18,919,20.9,21.2,2026-01-29 09:34:00
EZPW,21.14,21.25,21.14,21.25,3087,0,0,2026-01-29 09:34:00
EZPW,21.23,21.23,21.23,21.23,195,0,0,2026-01-29 09:36:00
EZPW,21.27,21.27,21.27,21.27,222,0,0,2026-01-29 09:38:00
EZPW,21.27,21.27,21.27,21.27,388,0,0,2026-01-29 09:40:00
EZPW,21.27,21.27,21.16,21.16,787,0,0,2026-01-29 09:43:00
EZPW,21.24,21.24,21.24,21.24,547,0,0,2026-01-29 09:44:00
EZPW,21.14,21.14,21.14,21.14,519,0,0,2026-01-29 09:45:00
EZPW,21.18,21.18,21.18,21.18,256,0,0,2026-01-29 09:48:00
EZPW,21.2,21.2,21.17,21.2,1343,0,0,2026-01-29 09:50:00
EZPW,21.14,21.16,21.03,21.03,17498,0,0,2026-01-29 09:53:00
EZPW,21.06,21.07,21.06,21.07,689,0,0,2026-01-29 09:54:00
EZPW,21.02,21.02,21.01,21.01,348,0,0,2026-01-29 09:55:00
EZPW,21.08,21.08,21.01,21.03,3052,0,0,2026-01-29 09:56:00
EZPW,21.04,21.04,21.01,21.01,405,0,0,2026-01-29 09:58:00
EZPW,21.01,21.02,21.0,21.0,1929,0,0,2026-01-29 09:59:00
EZPW,20.99,21.0,20.99,20.99,1258,0,0,2026-01-29 10:00:00
EZPW,20.98,21.01,20.98,21.0,833,0,0,2026-01-29 10:01:00
EZPW,21.0,21.0,20.93,20.93,711,0,0,2026-01-29 10:02:00
EZPW,20.95,20.95,20.92,20.95,1084,0,0,2026-01-29 10:03:00
EZPW,20.91,20.94,20.91,20.94,272,0,0,2026-01-29 10:04:00
EZPW,20.94,20.94,20.94,20.94,653,0,0,2026-01-29 10:05:00
EZPW,20.97,20.99,20.97,20.99,3590,0,0,2026-01-29 10:06:00
EZPW,20.96,20.96,20.96,20.96,636,0,0,2026-01-29 10:07:00
EZPW,20.96,21.01,20.96,21.01,2086,20.94,21.01,2026-01-29 10:09:00
EZPW,20.97,21.03,20.97,21.03,1479,0,0,2026-01-29 10:09:00
EZPW,20.99,20.99,20.98,20.98,750,0,0,2026-01-29 10:11:00
EZPW,20.97,20.98,20.97,20.98,937,0,0,2026-01-29 10:12:00
EZPW,20.96,20.96,20.96,20.96,380,0,0,2026-01-29 10:15:00
EZPW,20.97,20.97,20.96,20.96,335,0,0,2026-01-29 10:16:00
EZPW,20.96,20.99,20.96,20.99,2832,0,0,2026-01-29 10:17:00
EZPW,20.96,20.96,20.96,20.96,1067,0,0,2026-01-29 10:19:00
EZPW,21.07,21.08,21.02,21.02,3774,0,0,2026-01-29 10:22:00
EZPW,21.0,21.0,20.99,20.99,763,0,0,2026-01-29 10:27:00
EZPW,20.96,20.96,20.96,20.96,514,0,0,2026-01-29 10:30:00
EZPW,20.98,20.98,20.98,20.98,134,20.96,21.01,2026-01-29 10:32:00
EZPW,20.97,20.97,20.94,20.96,3069,0,0,2026-01-29 10:32:00
EZPW,20.94,20.94,20.93,20.93,1758,0,0,2026-01-29 10:34:00
EZPW,20.9,20.9,20.8,20.86,4059,0,0,2026-01-29 10:36:00
EZPW,20.88,20.88,20.88,20.88,685,0,0,2026-01-29 10:37:00
EZPW,20.84,20.84,20.82,20.82,1427,0,0,2026-01-29 10:41:00
EZPW,20.82,20.84,20.82,20.83,1766,0,0,2026-01-29 10:42:00
EZPW,20.82,20.82,20.82,20.82,396,0,0,2026-01-29 10:43:00
EZPW,20.81,20.81,20.81,20.81,568,20.8,20.82,2026-01-29 10:45:00
EZPW,20.82,20.82,20.82,20.82,1660,0,0,2026-01-29 10:45:00
EZPW,20.82,20.82,20.81,20.82,1238,0,0,2026-01-29 10:47:00
EZPW,20.8,20.8,20.77,20.77,1078,0,0,2026-01-29 10:48:00
EZPW,20.76,20.76,20.76,20.76,527,0,0,2026-01-29 10:49:00
EZPW,20.75,20.8,20.75,20.77,7011,0,0,2026-01-29 10:50:00
