Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FCN,178.78,180.2,178.0,178.0,3112,0,0,2026-01-29 09:30:00
FCN,178.14,178.14,178.02,178.14,362,0,0,2026-01-29 09:39:00
FCN,178.14,178.14,178.14,178.14,201,0,0,2026-01-29 09:40:00
FCN,177.7,177.72,177.7,177.72,410,0,0,2026-01-29 09:42:00
FCN,177.72,177.75,177.72,177.72,1529,0,0,2026-01-29 09:47:00
FCN,177.85,177.85,177.85,177.85,509,0,0,2026-01-29 09:49:00
FCN,177.85,177.85,177.85,177.85,3657,0,0,2026-01-29 09:50:00
FCN,177.09,177.99,177.09,177.93,10257,0,0,2026-01-29 09:51:00
FCN,177.97,178.42,177.85,177.85,2293,0,0,2026-01-29 09:52:00
FCN,177.85,177.85,177.85,177.85,185,0,0,2026-01-29 09:53:00
FCN,177.93,178.43,177.66,178.43,8612,0,0,2026-01-29 09:56:00
FCN,177.66,177.66,177.66,177.66,660,0,0,2026-01-29 09:57:00
FCN,177.85,178.12,177.66,177.66,3715,0,0,2026-01-29 09:59:00
FCN,177.69,177.69,177.68,177.68,4068,0,0,2026-01-29 10:06:00
FCN,177.8,177.97,177.8,177.91,2011,0,0,2026-01-29 10:09:00
FCN,177.22,177.22,177.22,177.22,323,0,0,2026-01-29 10:11:00
FCN,178.0,178.0,177.85,177.88,2543,0,0,2026-01-29 10:12:00
FCN,178.43,178.43,178.35,178.35,686,0,0,2026-01-29 10:16:00
FCN,177.92,178.39,177.71,177.71,9851,0,0,2026-01-29 10:17:00
FCN,177.82,177.83,177.82,177.83,788,0,0,2026-01-29 10:18:00
FCN,177.45,178.01,177.45,177.78,7318,0,0,2026-01-29 10:19:00
FCN,176.98,176.98,176.98,176.98,212,0,0,2026-01-29 10:25:00
FCN,177.02,177.02,177.02,177.02,1030,0,0,2026-01-29 10:27:00
FCN,174.48,174.53,173.84,173.84,1605,0,0,2026-01-29 10:45:00
FCN,173.85,173.85,173.85,173.85,200,0,0,2026-01-29 10:47:00
FCN,173.85,173.85,173.85,173.85,207,0,0,2026-01-29 10:49:00
FCN,173.81,173.81,173.81,173.81,299,0,0,2026-01-29 10:50:00
FCN,173.8,173.85,173.8,173.85,206,0,0,2026-01-29 10:51:00
FCN,173.63,173.63,173.62,173.62,929,0,0,2026-01-29 10:52:00
FCN,173.62,173.78,173.1,173.1,4069,0,0,2026-01-29 10:53:00
FCN,172.87,173.37,172.87,173.28,4882,0,0,2026-01-29 11:00:00
FCN,173.29,173.29,173.29,173.29,213,0,0,2026-01-29 11:05:00
FCN,173.31,173.31,173.1,173.1,1561,0,0,2026-01-29 11:17:00
FCN,173.0,173.0,173.0,173.0,383,0,0,2026-01-29 11:19:00
FCN,173.07,173.07,173.07,173.07,156,0,0,2026-01-29 11:21:00
FCN,173.0,173.0,172.28,172.28,8769,0,0,2026-01-29 11:22:00
FCN,172.27,172.34,172.15,172.15,2072,0,0,2026-01-29 11:23:00
FCN,172.29,172.29,172.29,172.29,363,0,0,2026-01-29 11:24:00
FCN,172.25,172.25,172.25,172.25,2277,0,0,2026-01-29 11:26:00
FCN,172.25,172.25,172.25,172.25,469,0,0,2026-01-29 11:27:00
FCN,172.25,172.25,172.25,172.25,789,0,0,2026-01-29 11:29:00
FCN,172.29,172.29,172.29,172.29,400,0,0,2026-01-29 11:30:00
FCN,172.27,172.27,172.27,172.27,540,0,0,2026-01-29 11:31:00
FCN,172.27,172.27,172.27,172.27,235,0,0,2026-01-29 11:32:00
FCN,172.27,172.27,172.27,172.27,133,0,0,2026-01-29 11:33:00
FCN,172.27,172.47,172.17,172.26,5119,0,0,2026-01-29 11:34:00
FCN,172.31,172.31,172.3,172.31,1913,0,0,2026-01-29 11:38:00
FCN,172.34,172.34,172.3,172.3,1300,0,0,2026-01-29 11:45:00
FCN,172.3,172.3,172.3,172.3,350,0,0,2026-01-29 11:47:00
FCN,172.37,172.37,172.37,172.37,234,0,0,2026-01-29 11:48:00
FCN,172.32,172.32,172.32,172.32,458,0,0,2026-01-29 11:53:00
FCN,172.3,172.35,172.3,172.35,927,0,0,2026-01-29 11:54:00
FCN,172.3,172.3,172.2,172.3,1106,0,0,2026-01-29 11:57:00
FCN,172.18,172.18,172.18,172.18,199,0,0,2026-01-29 11:58:00
FCN,172.35,172.35,172.35,172.35,1188,0,0,2026-01-29 12:00:00
FCN,172.29,172.3,171.76,171.76,6667,0,0,2026-01-29 12:01:00
FCN,171.94,171.97,171.94,171.94,1136,0,0,2026-01-29 12:02:00
FCN,172.32,172.39,172.32,172.39,2912,0,0,2026-01-29 12:06:00
FCN,172.56,172.74,172.55,172.74,3738,0,0,2026-01-29 12:07:00
FCN,172.8,172.81,172.78,172.78,482,0,0,2026-01-29 12:08:00
FCN,172.72,172.72,172.72,172.72,576,0,0,2026-01-29 12:09:00
FCN,172.72,172.72,172.72,172.72,271,0,0,2026-01-29 12:14:00
FCN,172.72,172.72,172.72,172.72,308,0,0,2026-01-29 12:15:00
FCN,173.16,173.16,172.72,172.72,1965,0,0,2026-01-29 12:16:00
FCN,172.83,172.83,172.58,172.72,2234,0,0,2026-01-29 12:18:00
FCN,171.29,171.29,171.28,171.28,943,0,0,2026-01-29 12:23:00
FCN,171.05,171.05,171.05,171.05,178,0,0,2026-01-29 12:29:00
FCN,171.09,171.32,170.92,170.92,1633,0,0,2026-01-29 12:30:00
FCN,170.87,170.87,170.87,170.87,262,0,0,2026-01-29 12:31:00
FCN,170.43,170.43,170.43,170.43,174,0,0,2026-01-29 12:35:00
FCN,170.5,170.58,170.5,170.58,1383,0,0,2026-01-29 12:39:00
FCN,170.56,170.56,170.56,170.56,260,0,0,2026-01-29 12:43:00
FCN,170.46,170.46,170.46,170.46,607,0,0,2026-01-29 12:45:00
FCN,170.56,170.56,170.56,170.56,186,0,0,2026-01-29 12:47:00
FCN,170.56,170.57,170.56,170.57,2675,0,0,2026-01-29 12:53:00
FCN,170.79,170.86,170.77,170.86,1750,0,0,2026-01-29 12:54:00
FCN,171.02,171.03,170.83,170.83,2481,0,0,2026-01-29 12:56:00
FCN,171.05,171.05,171.05,171.05,402,0,0,2026-01-29 12:57:00
