Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FCX,68.19,68.4,68.16,68.4,7362,0,0,2026-01-29 08:08:00
FCX,68.48,68.48,68.34,68.34,10978,0,0,2026-01-29 08:09:00
FCX,68.36,68.46,68.35,68.42,15188,0,0,2026-01-29 08:10:00
FCX,68.42,68.54,68.16,68.16,10080,0,0,2026-01-29 08:11:00
FCX,68.16,68.37,68.16,68.23,12579,0,0,2026-01-29 08:12:00
FCX,68.15,68.2,68.09,68.15,12408,0,0,2026-01-29 08:13:00
FCX,68.1,68.2,68.09,68.19,1745,0,0,2026-01-29 08:14:00
FCX,68.18,68.2,68.09,68.2,6096,0,0,2026-01-29 08:15:00
FCX,68.2,68.39,68.2,68.21,6839,0,0,2026-01-29 08:16:00
FCX,68.39,68.39,68.2,68.2,2755,0,0,2026-01-29 08:17:00
FCX,68.19,68.3,68.1,68.1,8073,0,0,2026-01-29 08:18:00
FCX,68.24,68.3,68.09,68.09,1929,0,0,2026-01-29 08:19:00
FCX,68.24,68.24,68.09,68.1,2890,0,0,2026-01-29 08:20:00
FCX,68.09,68.18,68.0,68.13,21578,0,0,2026-01-29 08:21:00
FCX,68.12,68.2,67.98,67.99,6513,0,0,2026-01-29 08:22:00
FCX,67.93,68.0,67.93,67.95,11020,0,0,2026-01-29 08:23:00
FCX,68.18,68.18,68.0,68.11,2518,0,0,2026-01-29 08:24:00
FCX,68.15,68.28,68.14,68.28,6388,0,0,2026-01-29 08:25:00
FCX,68.29,68.4,68.28,68.31,16143,0,0,2026-01-29 08:26:00
FCX,68.3,68.55,68.3,68.45,6676,0,0,2026-01-29 08:27:00
FCX,68.5,68.57,68.5,68.54,4714,0,0,2026-01-29 08:28:00
FCX,68.43,68.5,68.41,68.41,1976,0,0,2026-01-29 08:29:00
FCX,68.36,68.36,68.3,68.3,1514,0,0,2026-01-29 08:30:00
FCX,68.3,68.46,68.29,68.36,14280,0,0,2026-01-29 08:31:00
FCX,68.4,68.49,68.29,68.34,5764,0,0,2026-01-29 08:32:00
FCX,68.34,68.49,68.34,68.49,4411,0,0,2026-01-29 08:33:00
FCX,68.5,68.62,68.5,68.56,9770,0,0,2026-01-29 08:34:00
FCX,68.5,68.52,68.5,68.5,5045,0,0,2026-01-29 08:35:00
FCX,68.51,68.6,68.5,68.5,8306,0,0,2026-01-29 08:36:00
FCX,68.5,68.5,68.47,68.49,1236,0,0,2026-01-29 08:37:00
FCX,68.47,68.5,68.42,68.5,5180,0,0,2026-01-29 08:38:00
FCX,68.5,68.51,68.42,68.42,6096,0,0,2026-01-29 08:39:00
FCX,68.4,68.43,68.35,68.42,7596,68.4,68.43,2026-01-29 08:41:00
FCX,68.41,68.43,68.35,68.4,5286,68.35,68.36,2026-01-29 08:42:00
FCX,68.35,68.6,68.35,68.4,17477,0,0,2026-01-29 08:42:00
FCX,68.52,68.52,68.38,68.39,4835,0,0,2026-01-29 08:43:00
FCX,68.38,68.39,68.35,68.36,7340,0,0,2026-01-29 08:44:00
FCX,68.35,68.4,68.19,68.24,13525,68.22,68.36,2026-01-29 08:46:00
FCX,68.3,68.45,68.3,68.38,11928,0,0,2026-01-29 08:46:00
FCX,68.4,68.43,68.35,68.42,7270,68.35,68.46,2026-01-29 08:48:00
FCX,68.46,68.46,68.25,68.25,2486,68.12,68.34,2026-01-29 08:49:00
FCX,68.26,68.3,68.16,68.3,4492,0,0,2026-01-29 08:49:00
FCX,68.33,68.4,68.25,68.35,37733,0,0,2026-01-29 08:50:00
FCX,68.33,68.39,68.25,68.37,55634,0,0,2026-01-29 08:51:00
FCX,68.35,68.42,68.35,68.36,6469,68.1,68.35,2026-01-29 08:53:00
FCX,68.35,68.35,68.1,68.28,9008,0,0,2026-01-29 08:53:00
FCX,68.25,68.63,68.25,68.63,14566,68.57,68.68,2026-01-29 08:55:00
FCX,68.68,68.68,68.4,68.5,6962,0,0,2026-01-29 08:55:00
FCX,68.47,68.7,68.47,68.7,11767,0,0,2026-01-29 08:56:00
FCX,68.7,68.86,68.7,68.84,25626,0,0,2026-01-29 08:57:00
FCX,68.79,68.85,68.7,68.7,9215,0,0,2026-01-29 08:58:00
FCX,68.7,68.86,68.7,68.8,26055,0,0,2026-01-29 08:59:00
FCX,68.86,69.18,68.8,69.01,31463,69,69.21,2026-01-29 09:01:00
FCX,69.04,69.21,68.97,69.16,28177,0,0,2026-01-29 09:01:00
FCX,69.19,69.3,69.1,69.3,16367,0,0,2026-01-29 09:02:00
FCX,69.35,69.4,69.1,69.1,9518,0,0,2026-01-29 09:03:00
