Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FDX,315,315,315,315,241,313,317.98,2026-01-29 08:03:00
FDX,314.5,314.5,314.5,314.5,500,0,0,2026-01-29 08:59:00
FDX,314.8,314.8,314.8,314.8,397,0,0,2026-01-29 09:22:00
FDX,317.24,318.06,316.76,317.0,31220,0,0,2026-01-29 09:30:00
FDX,318.5,319.5,318.04,319.5,3915,0,0,2026-01-29 09:31:00
FDX,319.84,319.84,318.15,318.16,4308,316.59,319.5,2026-01-29 09:33:00
FDX,318.65,318.65,317.46,317.46,989,0,0,2026-01-29 09:33:00
FDX,317.32,317.32,316.69,317.19,1314,0,0,2026-01-29 09:34:00
FDX,317.49,317.49,317.07,317.08,1992,316.66,317.49,2026-01-29 09:36:00
FDX,317.08,317.6,317.07,317.6,1934,0,0,2026-01-29 09:36:00
FDX,318.36,318.36,318.36,318.36,962,0,0,2026-01-29 09:37:00
FDX,318.43,318.43,318.02,318.02,681,0,0,2026-01-29 09:38:00
FDX,318.44,318.44,318.0,318.37,11657,0,0,2026-01-29 09:39:00
FDX,318.41,318.58,318.41,318.58,1977,0,0,2026-01-29 09:40:00
FDX,318.89,318.89,318.09,318.09,2971,0,0,2026-01-29 09:41:00
FDX,318.73,318.73,318.69,318.69,554,0,0,2026-01-29 09:42:00
FDX,317.8,317.8,317.8,317.8,1523,0,0,2026-01-29 09:43:00
FDX,316.87,317.01,316.67,316.67,2023,0,0,2026-01-29 09:44:00
FDX,316.33,316.96,316.33,316.84,2586,0,0,2026-01-29 09:45:00
FDX,316.12,316.18,315.12,315.12,3277,0,0,2026-01-29 09:47:00
FDX,315.39,316.09,315.38,316.09,1470,0,0,2026-01-29 09:48:00
FDX,315.58,316.05,315.58,315.94,6544,0,0,2026-01-29 09:49:00
FDX,315.94,316.06,315.04,315.04,3551,0,0,2026-01-29 09:50:00
FDX,315.15,315.15,314.73,314.73,9678,0,0,2026-01-29 09:51:00
FDX,314.67,315.14,314.45,314.45,1503,0,0,2026-01-29 09:52:00
FDX,314.98,314.99,314.98,314.99,1782,0,0,2026-01-29 09:53:00
FDX,315.17,315.5,315.06,315.5,1834,0,0,2026-01-29 09:54:00
FDX,315.52,315.52,315.52,315.52,1184,0,0,2026-01-29 09:55:00
FDX,315.29,315.46,315.24,315.46,1274,0,0,2026-01-29 09:57:00
FDX,315.41,315.89,315.23,315.57,7292,0,0,2026-01-29 10:00:00
FDX,315.68,315.68,315.23,315.23,3207,0,0,2026-01-29 10:01:00
FDX,315.2,315.93,315.2,315.91,2127,0,0,2026-01-29 10:02:00
FDX,315.49,315.72,315.49,315.72,1447,0,0,2026-01-29 10:03:00
FDX,315.6,315.73,315.46,315.73,3097,0,0,2026-01-29 10:04:00
FDX,315.73,316.11,315.73,316.11,7626,0,0,2026-01-29 10:05:00
FDX,316.52,316.52,316.52,316.52,1402,0,0,2026-01-29 10:06:00
FDX,316.52,316.52,316.48,316.52,1471,0,0,2026-01-29 10:07:00
FDX,316.52,316.69,316.52,316.55,3122,0,0,2026-01-29 10:08:00
FDX,316.29,316.59,316.29,316.59,923,0,0,2026-01-29 10:09:00
FDX,316.3,316.63,316.3,316.45,2373,0,0,2026-01-29 10:10:00
FDX,316.75,316.91,316.23,316.23,2061,0,0,2026-01-29 10:11:00
FDX,316.16,316.31,315.95,316.31,3529,0,0,2026-01-29 10:12:00
FDX,316.12,316.12,315.93,316.03,1682,0,0,2026-01-29 10:13:00
FDX,316.31,316.55,316.22,316.55,2154,0,0,2026-01-29 10:14:00
FDX,316.57,316.57,316.56,316.56,1145,0,0,2026-01-29 10:15:00
FDX,316.67,316.76,316.67,316.76,1248,0,0,2026-01-29 10:16:00
FDX,316.87,316.87,316.82,316.82,796,0,0,2026-01-29 10:17:00
FDX,316.84,317.0,316.83,316.9,3161,0,0,2026-01-29 10:18:00
