Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FHI,53.36,53.6,53.3,53.6,5291,0,0,2026-01-29 09:30:00
FHI,53.38,53.38,53.38,53.38,1579,0,0,2026-01-29 09:33:00
FHI,53.38,53.38,53.38,53.38,120,0,0,2026-01-29 09:35:00
FHI,53.47,53.52,53.47,53.52,1578,0,0,2026-01-29 09:37:00
FHI,53.55,53.55,53.55,53.55,148,0,0,2026-01-29 09:38:00
FHI,53.67,53.7,53.66,53.7,4354,0,0,2026-01-29 09:39:00
FHI,53.62,53.62,53.62,53.62,234,0,0,2026-01-29 09:42:00
FHI,53.6,53.6,53.6,53.6,849,0,0,2026-01-29 09:43:00
FHI,53.55,53.55,53.53,53.53,1393,0,0,2026-01-29 09:44:00
FHI,53.53,53.53,53.53,53.53,3085,0,0,2026-01-29 09:45:00
FHI,53.69,53.69,53.57,53.57,281,0,0,2026-01-29 09:46:00
FHI,53.57,53.65,53.57,53.65,514,0,0,2026-01-29 09:47:00
FHI,53.59,53.59,53.59,53.59,189,0,0,2026-01-29 09:48:00
FHI,53.6,53.6,53.6,53.6,1954,0,0,2026-01-29 09:49:00
FHI,53.6,53.6,53.6,53.6,1745,0,0,2026-01-29 09:50:00
FHI,53.6,53.6,53.6,53.6,2150,0,0,2026-01-29 09:51:00
FHI,53.6,53.8,53.53,53.76,17026,0,0,2026-01-29 09:52:00
FHI,53.76,53.76,53.76,53.76,246,0,0,2026-01-29 09:54:00
FHI,53.8,53.95,53.8,53.95,1013,0,0,2026-01-29 09:55:00
FHI,53.9,53.9,53.87,53.87,609,0,0,2026-01-29 09:57:00
FHI,53.87,53.87,53.87,53.87,354,0,0,2026-01-29 09:58:00
FHI,53.95,53.98,53.93,53.98,772,0,0,2026-01-29 10:00:00
FHI,54.0,54.0,54.0,54.0,338,0,0,2026-01-29 10:01:00
FHI,53.97,54.03,53.97,54.03,1245,0,0,2026-01-29 10:02:00
FHI,53.92,53.98,53.92,53.98,1831,0,0,2026-01-29 10:03:00
FHI,53.84,53.98,53.84,53.98,871,0,0,2026-01-29 10:04:00
FHI,53.83,53.83,53.83,53.83,484,0,0,2026-01-29 10:05:00
FHI,53.83,53.83,53.83,53.83,243,0,0,2026-01-29 10:06:00
FHI,53.87,53.87,53.87,53.87,277,0,0,2026-01-29 10:10:00
FHI,53.71,53.71,53.71,53.71,543,0,0,2026-01-29 10:11:00
FHI,53.73,53.73,53.73,53.73,1313,0,0,2026-01-29 10:14:00
FHI,53.85,53.85,53.85,53.85,312,0,0,2026-01-29 10:15:00
FHI,53.76,53.76,53.76,53.76,223,0,0,2026-01-29 10:16:00
FHI,53.85,53.85,53.85,53.85,211,0,0,2026-01-29 10:17:00
FHI,53.76,53.76,53.76,53.76,406,0,0,2026-01-29 10:18:00
FHI,53.75,53.75,53.65,53.65,977,0,0,2026-01-29 10:23:00
FHI,53.75,53.75,53.75,53.75,604,0,0,2026-01-29 10:24:00
FHI,53.85,53.85,53.85,53.85,559,0,0,2026-01-29 10:25:00
FHI,53.85,53.86,53.83,53.83,1215,0,0,2026-01-29 10:26:00
FHI,53.76,53.76,53.76,53.76,423,0,0,2026-01-29 10:28:00
FHI,53.86,53.86,53.86,53.86,898,0,0,2026-01-29 10:29:00
FHI,53.86,53.88,53.84,53.84,1853,0,0,2026-01-29 10:30:00
FHI,53.79,53.79,53.78,53.78,466,0,0,2026-01-29 10:31:00
FHI,53.78,53.78,53.78,53.78,188,0,0,2026-01-29 10:33:00
FHI,53.78,53.78,53.78,53.78,1209,0,0,2026-01-29 10:35:00
FHI,53.79,53.79,53.79,53.79,1567,0,0,2026-01-29 10:36:00
FHI,53.79,53.79,53.79,53.79,317,0,0,2026-01-29 10:37:00
FHI,53.7,53.7,53.7,53.7,280,0,0,2026-01-29 10:39:00
FHI,53.8,53.8,53.52,53.52,1406,0,0,2026-01-29 10:40:00
FHI,53.65,53.65,53.65,53.65,660,0,0,2026-01-29 10:41:00
FHI,53.52,53.6,53.52,53.6,591,0,0,2026-01-29 10:43:00
FHI,53.6,53.6,53.6,53.6,2554,0,0,2026-01-29 10:45:00
FHI,53.51,53.51,53.51,53.51,397,0,0,2026-01-29 10:46:00
FHI,53.47,53.53,53.45,53.45,2435,0,0,2026-01-29 10:48:00
FHI,53.43,53.43,53.43,53.43,354,0,0,2026-01-29 10:49:00
FHI,53.42,53.43,53.35,53.35,1822,0,0,2026-01-29 10:50:00
FHI,53.31,53.31,53.31,53.31,555,0,0,2026-01-29 10:51:00
FHI,53.21,53.21,53.21,53.21,156,0,0,2026-01-29 10:52:00
FHI,53.3,53.3,53.3,53.3,662,0,0,2026-01-29 10:53:00
FHI,53.28,53.28,53.28,53.28,525,0,0,2026-01-29 10:54:00
FHI,53.34,53.34,53.34,53.34,889,0,0,2026-01-29 10:55:00
FHI,53.33,53.35,53.33,53.34,2345,0,0,2026-01-29 10:56:00
FHI,53.27,53.33,53.27,53.33,347,0,0,2026-01-29 10:59:00
FHI,53.26,53.26,53.22,53.26,1901,0,0,2026-01-29 11:02:00
FHI,53.18,53.18,53.14,53.14,742,0,0,2026-01-29 11:03:00
FHI,53.09,53.09,53.06,53.06,630,0,0,2026-01-29 11:07:00
FHI,53.08,53.08,53.08,53.08,570,0,0,2026-01-29 11:08:00
FHI,53.09,53.09,53.09,53.09,364,0,0,2026-01-29 11:09:00
FHI,53.2,53.35,53.2,53.31,4116,0,0,2026-01-29 11:11:00
FHI,53.31,53.31,53.31,53.31,334,53.18,53.43,2026-01-29 11:13:00
FHI,53.3,53.3,53.3,53.3,603,0,0,2026-01-29 11:13:00
FHI,53.3,53.3,53.3,53.3,557,0,0,2026-01-29 11:14:00
FHI,53.3,53.3,53.29,53.29,1155,0,0,2026-01-29 11:15:00
FHI,53.3,53.3,53.3,53.3,170,0,0,2026-01-29 11:17:00
FHI,53.28,53.41,53.28,53.3,4539,0,0,2026-01-29 11:19:00
FHI,53.3,53.3,53.3,53.3,465,0,0,2026-01-29 11:21:00
FHI,53.3,53.3,53.24,53.27,1535,0,0,2026-01-29 11:22:00
FHI,53.3,53.31,53.29,53.29,1548,0,0,2026-01-29 11:23:00
FHI,53.32,53.32,53.32,53.32,409,0,0,2026-01-29 11:24:00
FHI,53.33,53.33,53.28,53.28,1224,0,0,2026-01-29 11:26:00
FHI,53.28,53.28,53.28,53.28,826,0,0,2026-01-29 11:27:00
FHI,53.27,53.27,53.27,53.27,570,0,0,2026-01-29 11:28:00
FHI,53.31,53.31,53.31,53.31,506,0,0,2026-01-29 11:29:00
FHI,53.31,53.31,53.3,53.3,549,0,0,2026-01-29 11:30:00
FHI,53.3,53.34,53.3,53.34,1750,0,0,2026-01-29 11:31:00
FHI,53.34,53.34,53.34,53.34,291,0,0,2026-01-29 11:32:00
FHI,53.28,53.28,53.28,53.28,375,0,0,2026-01-29 11:34:00
FHI,53.27,53.32,53.15,53.2,22292,0,0,2026-01-29 11:35:00
FHI,53.11,53.16,53.11,53.14,2466,0,0,2026-01-29 11:36:00
FHI,53.17,53.17,53.14,53.14,2616,0,0,2026-01-29 11:37:00
FHI,53.17,53.17,53.17,53.17,674,0,0,2026-01-29 11:38:00
FHI,53.12,53.12,53.06,53.1,2923,0,0,2026-01-29 11:40:00
FHI,53.1,53.15,53.1,53.15,1689,0,0,2026-01-29 11:41:00
FHI,53.13,53.13,53.13,53.13,573,0,0,2026-01-29 11:44:00
FHI,53.12,53.15,53.12,53.15,1915,0,0,2026-01-29 11:46:00
FHI,53.17,53.17,53.17,53.17,1107,0,0,2026-01-29 11:47:00
FHI,53.16,53.16,53.16,53.16,1121,0,0,2026-01-29 11:48:00
FHI,53.19,53.19,53.19,53.19,575,0,0,2026-01-29 11:51:00
FHI,53.15,53.15,53.15,53.15,701,0,0,2026-01-29 11:54:00
FHI,53.14,53.14,53.14,53.14,542,0,0,2026-01-29 11:57:00
FHI,53.16,53.16,53.16,53.16,819,0,0,2026-01-29 11:58:00
FHI,53.13,53.19,53.13,53.19,928,0,0,2026-01-29 11:59:00
FHI,53.16,53.16,53.16,53.16,702,0,0,2026-01-29 12:01:00
FHI,53.16,53.16,53.16,53.16,356,0,0,2026-01-29 12:03:00
FHI,53.19,53.19,53.16,53.16,562,0,0,2026-01-29 12:05:00
FHI,53.16,53.16,53.16,53.16,488,0,0,2026-01-29 12:06:00
FHI,53.2,53.25,53.19,53.2,5891,0,0,2026-01-29 12:07:00
FHI,53.22,53.23,53.22,53.23,576,0,0,2026-01-29 12:08:00
FHI,53.23,53.23,53.23,53.23,728,0,0,2026-01-29 12:09:00
FHI,53.23,53.23,53.23,53.23,360,0,0,2026-01-29 12:11:00
FHI,53.28,53.29,53.27,53.27,1319,0,0,2026-01-29 12:12:00
FHI,53.27,53.27,53.16,53.19,5528,0,0,2026-01-29 12:14:00
FHI,53.2,53.2,53.2,53.2,935,0,0,2026-01-29 12:15:00
FHI,53.16,53.17,53.16,53.17,1367,0,0,2026-01-29 12:17:00
FHI,53.21,53.21,53.21,53.21,707,0,0,2026-01-29 12:18:00
FHI,53.21,53.22,53.21,53.22,1026,0,0,2026-01-29 12:19:00
FHI,53.23,53.28,53.23,53.28,1086,0,0,2026-01-29 12:20:00
FHI,53.29,53.29,53.29,53.29,598,0,0,2026-01-29 12:21:00
FHI,53.22,53.23,53.19,53.19,3530,0,0,2026-01-29 12:22:00
FHI,53.14,53.17,53.09,53.09,824,0,0,2026-01-29 12:23:00
FHI,53.08,53.08,53.04,53.04,439,0,0,2026-01-29 12:24:00
FHI,53.03,53.03,53.03,53.03,347,0,0,2026-01-29 12:25:00
FHI,53.03,53.03,53.03,53.03,575,0,0,2026-01-29 12:26:00
FHI,53.06,53.12,53.06,53.12,2586,0,0,2026-01-29 12:27:00
FHI,53.12,53.17,53.12,53.17,1032,0,0,2026-01-29 12:29:00
FHI,53.16,53.16,53.16,53.16,634,0,0,2026-01-29 12:30:00
FHI,53.14,53.16,53.14,53.16,2947,0,0,2026-01-29 12:31:00
FHI,53.16,53.16,53.11,53.13,2294,0,0,2026-01-29 12:32:00
FHI,53.08,53.08,53.08,53.08,426,0,0,2026-01-29 12:33:00
FHI,53.08,53.11,53.08,53.11,1442,0,0,2026-01-29 12:34:00
FHI,53.12,53.12,53.08,53.08,642,0,0,2026-01-29 12:35:00
FHI,53.06,53.08,53.06,53.08,1757,0,0,2026-01-29 12:40:00
FHI,53.12,53.12,53.09,53.09,768,0,0,2026-01-29 12:42:00
FHI,53.09,53.09,53.05,53.05,2730,0,0,2026-01-29 12:43:00
FHI,53.06,53.06,53.06,53.06,292,0,0,2026-01-29 12:44:00
FHI,53.06,53.06,53.03,53.03,1443,0,0,2026-01-29 12:46:00
FHI,53.05,53.05,53.05,53.05,636,0,0,2026-01-29 12:47:00
FHI,53.03,53.03,53.03,53.03,823,0,0,2026-01-29 12:49:00
FHI,52.94,52.94,52.9,52.92,2949,0,0,2026-01-29 12:52:00
FHI,52.89,52.89,52.89,52.89,427,0,0,2026-01-29 12:54:00
FHI,52.89,52.9,52.89,52.89,1591,0,0,2026-01-29 12:55:00
FHI,52.88,52.89,52.88,52.89,775,0,0,2026-01-29 12:56:00
FHI,52.9,52.93,52.9,52.93,587,0,0,2026-01-29 12:57:00
