Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FIBK,37.25,37.5,37.11,37.5,1749,0,0,2026-01-29 09:27:00
FIBK,37.75,37.75,37.75,37.75,100,0,0,2026-01-29 09:28:00
FIBK,37.9,38.41,37.31,37.31,47944,0,0,2026-01-29 09:30:00
FIBK,37.45,38.25,37.4,37.75,19682,0,0,2026-01-29 09:31:00
FIBK,37.88,37.88,37.35,37.42,15360,37.25,37.66,2026-01-29 09:33:00
FIBK,37.25,37.27,37.0,37.01,5714,0,0,2026-01-29 09:33:00
FIBK,37.16,37.16,37.02,37.03,3561,0,0,2026-01-29 09:35:00
FIBK,37.34,37.34,37.03,37.03,1252,0,0,2026-01-29 09:36:00
FIBK,37.08,37.27,37.08,37.27,6170,0,0,2026-01-29 09:37:00
FIBK,37.16,37.44,37.16,37.23,4467,0,0,2026-01-29 09:38:00
FIBK,37.23,37.37,36.84,36.84,7755,0,0,2026-01-29 09:39:00
FIBK,36.85,37.1,36.83,36.85,26832,0,0,2026-01-29 09:40:00
FIBK,37.0,37.0,36.81,36.81,3300,0,0,2026-01-29 09:41:00
FIBK,36.82,36.97,36.8,36.8,5002,0,0,2026-01-29 09:42:00
FIBK,36.81,36.97,36.81,36.81,2019,0,0,2026-01-29 09:43:00
FIBK,36.92,36.92,36.81,36.81,5047,0,0,2026-01-29 09:44:00
FIBK,36.83,36.83,36.83,36.83,457,0,0,2026-01-29 09:45:00
FIBK,36.75,36.75,36.73,36.73,2777,0,0,2026-01-29 09:46:00
FIBK,36.61,36.65,36.54,36.54,3077,0,0,2026-01-29 09:47:00
FIBK,36.52,36.52,36.52,36.52,671,0,0,2026-01-29 09:48:00
FIBK,36.8,36.89,36.64,36.87,34678,0,0,2026-01-29 09:49:00
FIBK,36.87,36.87,36.77,36.77,8995,0,0,2026-01-29 09:50:00
FIBK,36.76,36.85,36.69,36.71,6841,0,0,2026-01-29 09:51:00
FIBK,36.67,36.83,36.67,36.72,3079,0,0,2026-01-29 09:52:00
FIBK,36.86,36.86,36.7,36.71,35377,0,0,2026-01-29 09:53:00
FIBK,36.7,36.72,36.6,36.6,2971,0,0,2026-01-29 09:54:00
FIBK,36.6,36.64,36.6,36.63,2096,0,0,2026-01-29 09:55:00
FIBK,36.66,36.73,36.62,36.62,5828,0,0,2026-01-29 09:56:00
FIBK,36.56,36.59,36.53,36.59,1477,0,0,2026-01-29 09:57:00
FIBK,36.59,36.66,36.55,36.58,6545,0,0,2026-01-29 09:58:00
FIBK,36.55,36.55,36.36,36.4,2367,0,0,2026-01-29 09:59:00
FIBK,36.31,36.31,36.3,36.3,325,0,0,2026-01-29 10:00:00
FIBK,36.31,36.37,36.29,36.31,2972,0,0,2026-01-29 10:01:00
FIBK,36.41,36.44,36.26,36.34,7575,0,0,2026-01-29 10:02:00
FIBK,36.33,36.33,36.32,36.32,1161,0,0,2026-01-29 10:03:00
FIBK,36.32,36.33,36.26,36.33,6989,0,0,2026-01-29 10:04:00
FIBK,36.27,36.33,36.27,36.33,2954,0,0,2026-01-29 10:05:00
FIBK,36.27,36.28,36.09,36.09,4537,0,0,2026-01-29 10:06:00
FIBK,36.16,36.16,36.12,36.14,1587,0,0,2026-01-29 10:07:00
FIBK,36.1,36.28,36.1,36.28,9085,0,0,2026-01-29 10:08:00
FIBK,36.22,36.32,36.21,36.3,2158,0,0,2026-01-29 10:09:00
FIBK,36.27,36.27,36.27,36.27,3715,0,0,2026-01-29 10:10:00
FIBK,36.27,36.38,36.27,36.3,5388,0,0,2026-01-29 10:11:00
FIBK,36.38,36.38,36.38,36.38,754,0,0,2026-01-29 10:12:00
FIBK,36.33,36.33,36.33,36.33,1047,0,0,2026-01-29 10:13:00
FIBK,36.31,36.38,36.26,36.3,18273,0,0,2026-01-29 10:14:00
FIBK,36.3,36.36,36.3,36.3,12084,0,0,2026-01-29 10:15:00
FIBK,36.41,36.41,36.41,36.41,1522,0,0,2026-01-29 10:16:00
FIBK,36.36,36.36,36.35,36.35,307,0,0,2026-01-29 10:17:00
FIBK,36.4,36.4,36.4,36.4,2643,0,0,2026-01-29 10:18:00
FIBK,36.43,36.48,36.4,36.48,6220,0,0,2026-01-29 10:19:00
FIBK,36.46,36.52,36.44,36.47,26937,0,0,2026-01-29 10:20:00
FIBK,36.51,36.52,36.5,36.52,2190,0,0,2026-01-29 10:21:00
FIBK,36.49,36.51,36.44,36.44,2068,0,0,2026-01-29 10:22:00
FIBK,36.46,36.51,36.46,36.51,950,0,0,2026-01-29 10:23:00
FIBK,36.43,36.51,36.43,36.47,1544,0,0,2026-01-29 10:24:00
FIBK,36.46,36.46,36.46,36.46,920,0,0,2026-01-29 10:25:00
FIBK,36.48,36.49,36.47,36.47,2619,0,0,2026-01-29 10:26:00
FIBK,36.5,36.51,36.46,36.48,3524,0,0,2026-01-29 10:27:00
FIBK,36.44,36.45,36.39,36.45,2919,0,0,2026-01-29 10:28:00
FIBK,36.44,36.45,36.41,36.41,1606,0,0,2026-01-29 10:29:00
FIBK,36.45,36.52,36.45,36.52,7997,0,0,2026-01-29 10:30:00
FIBK,36.5,36.51,36.47,36.47,1855,0,0,2026-01-29 10:31:00
FIBK,36.44,36.46,36.36,36.36,2970,0,0,2026-01-29 10:32:00
FIBK,36.37,36.39,36.37,36.37,1668,0,0,2026-01-29 10:33:00
FIBK,36.33,36.38,36.32,36.38,5804,0,0,2026-01-29 10:34:00
FIBK,36.34,36.41,36.33,36.41,3173,0,0,2026-01-29 10:35:00
FIBK,36.35,36.38,36.33,36.33,1953,0,0,2026-01-29 10:36:00
FIBK,36.38,36.44,36.35,36.38,3753,0,0,2026-01-29 10:37:00
FIBK,36.43,36.43,36.43,36.43,865,0,0,2026-01-29 10:39:00
FIBK,36.38,36.38,36.36,36.36,860,0,0,2026-01-29 10:40:00
FIBK,36.41,36.47,36.41,36.45,2943,0,0,2026-01-29 10:41:00
FIBK,36.42,36.42,36.4,36.4,1016,0,0,2026-01-29 10:42:00
FIBK,36.39,36.39,36.32,36.33,1934,0,0,2026-01-29 10:43:00
FIBK,36.32,36.35,36.26,36.26,2296,36.22,36.45,2026-01-29 10:45:00
FIBK,36.22,36.24,36.21,36.21,1263,0,0,2026-01-29 10:45:00
FIBK,36.24,36.24,36.2,36.21,1101,0,0,2026-01-29 10:46:00
FIBK,36.26,36.29,36.21,36.27,7386,0,0,2026-01-29 10:47:00
FIBK,36.22,36.23,36.18,36.18,3676,0,0,2026-01-29 10:48:00
FIBK,36.15,36.15,36.04,36.09,3656,0,0,2026-01-29 10:49:00
FIBK,36.08,36.08,35.94,35.95,4836,0,0,2026-01-29 10:50:00
FIBK,35.95,35.95,35.88,35.89,3260,0,0,2026-01-29 10:51:00
FIBK,35.95,35.95,35.87,35.87,5434,0,0,2026-01-29 10:52:00
FIBK,35.86,35.86,35.5,35.5,34839,0,0,2026-01-29 10:53:00
FIBK,35.45,35.6,35.45,35.59,10295,0,0,2026-01-29 10:54:00
