Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FIGS,11.14,11.14,11.14,11.14,200,0,0,2026-01-29 08:26:00
FIGS,11.3,11.3,11.3,11.3,100,0,0,2026-01-29 08:58:00
FIGS,11.33,11.36,11.33,11.36,14290,0,0,2026-01-29 09:30:00
FIGS,11.29,11.29,11.24,11.24,960,0,0,2026-01-29 09:31:00
FIGS,11.24,11.24,11.24,11.24,139,11.15,11.34,2026-01-29 09:33:00
FIGS,11.24,11.24,11.23,11.23,372,11.13,11.33,2026-01-29 09:34:00
FIGS,11.22,11.22,11.22,11.22,706,0,0,2026-01-29 09:34:00
FIGS,11.21,11.21,11.21,11.21,1014,0,0,2026-01-29 09:35:00
FIGS,11.26,11.38,11.26,11.37,12277,0,0,2026-01-29 09:37:00
FIGS,11.36,11.43,11.36,11.42,7060,0,0,2026-01-29 09:38:00
FIGS,11.44,11.46,11.44,11.46,2683,0,0,2026-01-29 09:39:00
FIGS,11.48,11.48,11.47,11.48,1419,0,0,2026-01-29 09:40:00
FIGS,11.46,11.46,11.45,11.45,1528,0,0,2026-01-29 09:41:00
FIGS,11.44,11.5,11.38,11.45,23648,0,0,2026-01-29 09:42:00
FIGS,11.48,11.49,11.46,11.46,10794,0,0,2026-01-29 09:43:00
FIGS,11.46,11.46,11.46,11.46,826,0,0,2026-01-29 09:44:00
FIGS,11.45,11.48,11.45,11.48,7114,0,0,2026-01-29 09:45:00
FIGS,11.5,11.55,11.48,11.51,31837,0,0,2026-01-29 09:46:00
FIGS,11.5,11.5,11.46,11.47,2275,0,0,2026-01-29 09:47:00
FIGS,11.48,11.53,11.48,11.51,13038,0,0,2026-01-29 09:48:00
FIGS,11.5,11.51,11.5,11.51,1664,11.5,11.52,2026-01-29 09:50:00
FIGS,11.5,11.5,11.47,11.47,2053,0,0,2026-01-29 09:50:00
FIGS,11.49,11.51,11.49,11.51,1048,0,0,2026-01-29 09:51:00
FIGS,11.5,11.5,11.5,11.5,5166,0,0,2026-01-29 09:52:00
FIGS,11.5,11.5,11.41,11.42,46363,0,0,2026-01-29 09:53:00
FIGS,11.42,11.44,11.4,11.43,5225,0,0,2026-01-29 09:54:00
FIGS,11.43,11.45,11.43,11.43,3169,0,0,2026-01-29 09:55:00
FIGS,11.42,11.42,11.42,11.42,2208,0,0,2026-01-29 09:56:00
FIGS,11.46,11.46,11.42,11.44,4312,0,0,2026-01-29 09:58:00
FIGS,11.44,11.44,11.4,11.4,1851,0,0,2026-01-29 09:59:00
FIGS,11.41,11.41,11.4,11.4,4254,0,0,2026-01-29 10:00:00
FIGS,11.4,11.4,11.38,11.38,7109,0,0,2026-01-29 10:01:00
FIGS,11.38,11.38,11.37,11.37,2777,0,0,2026-01-29 10:02:00
FIGS,11.37,11.38,11.36,11.38,3795,0,0,2026-01-29 10:03:00
FIGS,11.39,11.39,11.38,11.38,3214,0,0,2026-01-29 10:04:00
FIGS,11.39,11.41,11.39,11.41,4988,0,0,2026-01-29 10:05:00
FIGS,11.41,11.47,11.41,11.46,7204,0,0,2026-01-29 10:06:00
FIGS,11.46,11.52,11.46,11.52,6551,0,0,2026-01-29 10:07:00
FIGS,11.52,11.52,11.52,11.52,3057,0,0,2026-01-29 10:08:00
FIGS,11.52,11.53,11.51,11.53,5059,0,0,2026-01-29 10:09:00
FIGS,11.53,11.53,11.53,11.53,1099,0,0,2026-01-29 10:10:00
FIGS,11.53,11.54,11.52,11.52,9815,0,0,2026-01-29 10:11:00
FIGS,11.52,11.53,11.51,11.51,2692,0,0,2026-01-29 10:12:00
FIGS,11.51,11.51,11.4,11.4,14512,0,0,2026-01-29 10:13:00
FIGS,11.4,11.45,11.4,11.43,8952,0,0,2026-01-29 10:14:00
FIGS,11.43,11.45,11.43,11.44,7243,0,0,2026-01-29 10:15:00
FIGS,11.44,11.44,11.42,11.44,1933,0,0,2026-01-29 10:16:00
FIGS,11.44,11.49,11.43,11.45,19209,0,0,2026-01-29 10:17:00
FIGS,11.46,11.49,11.46,11.49,7037,0,0,2026-01-29 10:18:00
FIGS,11.51,11.52,11.5,11.5,9800,0,0,2026-01-29 10:19:00
FIGS,11.49,11.53,11.49,11.53,5089,0,0,2026-01-29 10:20:00
FIGS,11.54,11.55,11.52,11.52,2654,0,0,2026-01-29 10:21:00
FIGS,11.53,11.53,11.51,11.51,3308,0,0,2026-01-29 10:22:00
FIGS,11.51,11.52,11.51,11.51,2659,0,0,2026-01-29 10:23:00
FIGS,11.52,11.53,11.52,11.53,3921,0,0,2026-01-29 10:24:00
FIGS,11.54,11.54,11.54,11.54,1315,0,0,2026-01-29 10:25:00
FIGS,11.54,11.54,11.48,11.48,8616,0,0,2026-01-29 10:26:00
FIGS,11.48,11.49,11.48,11.48,4253,0,0,2026-01-29 10:27:00
FIGS,11.49,11.49,11.47,11.48,3539,0,0,2026-01-29 10:28:00
FIGS,11.48,11.48,11.47,11.47,6433,0,0,2026-01-29 10:29:00
FIGS,11.48,11.5,11.48,11.49,3374,0,0,2026-01-29 10:30:00
FIGS,11.49,11.49,11.47,11.47,1355,0,0,2026-01-29 10:31:00
FIGS,11.48,11.48,11.47,11.48,4552,0,0,2026-01-29 10:32:00
FIGS,11.48,11.48,11.48,11.48,2446,0,0,2026-01-29 10:33:00
FIGS,11.48,11.48,11.46,11.47,5487,0,0,2026-01-29 10:34:00
FIGS,11.47,11.47,11.46,11.46,912,0,0,2026-01-29 10:35:00
FIGS,11.46,11.46,11.45,11.46,3860,0,0,2026-01-29 10:36:00
