Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FIHL,18.83,18.83,18.83,18.83,1720,0,0,2026-01-29 09:30:00
FIHL,18.71,18.71,18.71,18.71,221,18.55,18.87,2026-01-29 09:33:00
FIHL,18.71,18.71,18.71,18.71,144,0,0,2026-01-29 09:33:00
FIHL,18.73,18.73,18.73,18.73,106,0,0,2026-01-29 09:35:00
FIHL,18.86,18.95,18.86,18.95,953,0,0,2026-01-29 09:36:00
FIHL,18.89,19.0,18.89,18.98,1205,0,0,2026-01-29 09:37:00
FIHL,18.98,18.99,18.95,18.96,2301,0,0,2026-01-29 09:39:00
FIHL,18.96,18.96,18.93,18.93,902,0,0,2026-01-29 09:40:00
FIHL,18.91,18.91,18.91,18.91,520,0,0,2026-01-29 09:41:00
FIHL,18.86,18.86,18.86,18.86,200,0,0,2026-01-29 09:42:00
FIHL,18.86,18.86,18.84,18.84,714,0,0,2026-01-29 09:43:00
FIHL,18.86,18.86,18.86,18.86,486,0,0,2026-01-29 09:44:00
FIHL,18.85,18.85,18.85,18.85,109,0,0,2026-01-29 09:45:00
FIHL,18.86,18.86,18.81,18.81,242,0,0,2026-01-29 09:46:00
FIHL,18.85,18.85,18.83,18.85,761,0,0,2026-01-29 09:48:00
FIHL,18.87,18.87,18.87,18.87,267,18.83,18.9,2026-01-29 09:50:00
FIHL,18.86,18.92,18.86,18.92,1223,0,0,2026-01-29 09:50:00
FIHL,18.89,18.89,18.89,18.89,490,0,0,2026-01-29 09:51:00
FIHL,18.9,18.95,18.88,18.93,2837,0,0,2026-01-29 09:52:00
FIHL,18.95,19.0,18.95,19.0,1189,0,0,2026-01-29 09:54:00
FIHL,19.0,19.0,19.0,19.0,170,0,0,2026-01-29 09:55:00
FIHL,18.98,18.98,18.98,18.98,434,0,0,2026-01-29 09:56:00
FIHL,19.0,19.0,18.98,18.98,2600,0,0,2026-01-29 09:57:00
FIHL,19.0,19.0,18.98,18.98,3977,0,0,2026-01-29 09:58:00
FIHL,19.0,19.0,18.98,18.98,647,0,0,2026-01-29 09:59:00
FIHL,18.99,18.99,18.99,18.99,1096,0,0,2026-01-29 10:01:00
FIHL,18.98,18.98,18.98,18.98,561,0,0,2026-01-29 10:02:00
FIHL,18.98,18.98,18.98,18.98,200,0,0,2026-01-29 10:04:00
