Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FISV,65.05,65.1,65.05,65.1,305,0,0,2026-01-29 08:23:00
FISV,65.1,65.1,65.1,65.1,101,0,0,2026-01-29 08:24:00
FISV,65.06,65.06,65.05,65.05,529,0,0,2026-01-29 08:32:00
FISV,65.15,65.15,65.15,65.15,251,0,0,2026-01-29 08:35:00
FISV,65.15,65.15,65.15,65.15,194,0,0,2026-01-29 09:03:00
FISV,65.2,65.2,65.2,65.2,200,0,0,2026-01-29 09:09:00
FISV,65.09,65.09,65.09,65.09,110,0,0,2026-01-29 09:22:00
FISV,65.42,65.5,65.19,65.48,6085,0,0,2026-01-29 09:27:00
FISV,65.49,65.53,65.48,65.48,1292,0,0,2026-01-29 09:28:00
FISV,65.4,65.55,65.33,65.47,83153,0,0,2026-01-29 09:30:00
FISV,65.42,65.47,65.16,65.29,17771,0,0,2026-01-29 09:31:00
FISV,65.23,65.25,64.86,64.86,31442,0,0,2026-01-29 09:32:00
FISV,64.85,64.85,64.75,64.79,14140,0,0,2026-01-29 09:33:00
FISV,64.79,65.01,64.75,64.9,11605,0,0,2026-01-29 09:34:00
FISV,64.9,64.9,64.74,64.77,6647,0,0,2026-01-29 09:35:00
FISV,64.72,64.8,64.62,64.64,11758,0,0,2026-01-29 09:36:00
FISV,64.65,64.84,64.65,64.79,7258,0,0,2026-01-29 09:37:00
FISV,64.67,64.89,64.67,64.89,12425,0,0,2026-01-29 09:38:00
FISV,64.89,64.89,64.78,64.79,4884,0,0,2026-01-29 09:39:00
FISV,64.83,64.91,64.77,64.81,11363,0,0,2026-01-29 09:40:00
FISV,64.78,64.78,64.68,64.69,14072,0,0,2026-01-29 09:41:00
FISV,64.73,64.76,64.39,64.42,30783,0,0,2026-01-29 09:42:00
FISV,64.41,64.42,64.28,64.35,23051,0,0,2026-01-29 09:43:00
FISV,64.36,64.36,64.15,64.16,35043,0,0,2026-01-29 09:44:00
FISV,64.16,64.18,64.02,64.08,15231,0,0,2026-01-29 09:45:00
FISV,64.06,64.11,64.03,64.06,14235,0,0,2026-01-29 09:46:00
FISV,64.08,64.08,63.92,63.98,42113,0,0,2026-01-29 09:47:00
FISV,64.02,64.15,64.0,64.15,12571,0,0,2026-01-29 09:48:00
FISV,64.11,64.12,63.93,64.0,31451,0,0,2026-01-29 09:49:00
FISV,64.02,64.02,63.8,63.85,37870,0,0,2026-01-29 09:50:00
FISV,63.85,63.9,63.83,63.83,18613,0,0,2026-01-29 09:51:00
FISV,63.82,63.91,63.79,63.88,32857,0,0,2026-01-29 09:52:00
FISV,63.89,64.06,63.89,64.04,24272,0,0,2026-01-29 09:53:00
FISV,64.03,64.27,64.03,64.25,21336,0,0,2026-01-29 09:54:00
FISV,64.22,64.23,64.05,64.15,8917,0,0,2026-01-29 09:55:00
FISV,64.19,64.23,64.09,64.09,5669,0,0,2026-01-29 09:56:00
FISV,64.08,64.2,64.08,64.16,7986,0,0,2026-01-29 09:57:00
FISV,64.11,64.14,63.98,63.98,6986,0,0,2026-01-29 09:58:00
FISV,63.98,63.98,63.9,63.95,10996,0,0,2026-01-29 09:59:00
FISV,63.95,63.98,63.92,63.93,6019,0,0,2026-01-29 10:00:00
FISV,63.92,64.0,63.92,63.95,14299,0,0,2026-01-29 10:01:00
FISV,63.97,64.02,63.95,63.97,12986,0,0,2026-01-29 10:02:00
FISV,63.97,63.98,63.93,63.95,14930,0,0,2026-01-29 10:03:00
FISV,63.95,63.95,63.83,63.88,8213,0,0,2026-01-29 10:04:00
FISV,63.89,63.89,63.79,63.85,38787,63.85,63.87,2026-01-29 10:06:00
FISV,63.86,63.87,63.78,63.83,11528,0,0,2026-01-29 10:06:00
FISV,63.8,63.85,63.78,63.79,10425,0,0,2026-01-29 10:07:00
FISV,63.8,63.83,63.71,63.71,24873,63.71,63.76,2026-01-29 10:09:00
FISV,63.73,63.77,63.71,63.72,11446,0,0,2026-01-29 10:09:00
FISV,63.73,63.75,63.64,63.68,23857,0,0,2026-01-29 10:10:00
FISV,63.68,63.77,63.68,63.77,22870,0,0,2026-01-29 10:11:00
FISV,63.75,63.83,63.73,63.8,11453,0,0,2026-01-29 10:12:00
FISV,63.78,63.82,63.76,63.77,15857,0,0,2026-01-29 10:13:00
FISV,63.75,63.82,63.74,63.78,13720,0,0,2026-01-29 10:14:00
FISV,63.8,63.97,63.8,63.97,20637,0,0,2026-01-29 10:15:00
FISV,63.96,63.97,63.88,63.94,11016,0,0,2026-01-29 10:16:00
FISV,63.96,63.99,63.95,63.96,11838,0,0,2026-01-29 10:17:00
FISV,63.95,63.97,63.9,63.91,17516,0,0,2026-01-29 10:18:00
FISV,63.92,63.95,63.78,63.78,23072,0,0,2026-01-29 10:19:00
FISV,63.8,63.92,63.77,63.92,17553,0,0,2026-01-29 10:20:00
FISV,63.95,63.96,63.88,63.91,9321,0,0,2026-01-29 10:21:00
FISV,63.88,63.91,63.87,63.89,9709,0,0,2026-01-29 10:22:00
FISV,63.89,63.91,63.81,63.85,8507,0,0,2026-01-29 10:23:00
FISV,63.85,63.85,63.71,63.75,10438,0,0,2026-01-29 10:24:00
FISV,63.77,63.82,63.74,63.81,17529,0,0,2026-01-29 10:25:00
FISV,63.79,63.79,63.61,63.62,15937,0,0,2026-01-29 10:26:00
FISV,63.62,63.68,63.59,63.62,19004,0,0,2026-01-29 10:27:00
FISV,63.63,63.72,63.63,63.72,12936,0,0,2026-01-29 10:28:00
FISV,63.71,63.76,63.71,63.73,12147,0,0,2026-01-29 10:29:00
FISV,63.73,63.77,63.67,63.77,13137,0,0,2026-01-29 10:30:00
FISV,63.74,63.8,63.74,63.76,24326,0,0,2026-01-29 10:31:00
FISV,63.74,63.75,63.66,63.75,12596,0,0,2026-01-29 10:32:00
FISV,63.76,63.8,63.75,63.78,11098,0,0,2026-01-29 10:33:00
FISV,63.77,63.77,63.73,63.76,8388,0,0,2026-01-29 10:34:00
FISV,63.77,63.77,63.7,63.71,24909,0,0,2026-01-29 10:35:00
FISV,63.72,63.72,63.66,63.69,16626,0,0,2026-01-29 10:36:00
FISV,63.7,63.82,63.69,63.82,7831,0,0,2026-01-29 10:37:00
FISV,63.81,63.83,63.75,63.81,4238,0,0,2026-01-29 10:38:00
FISV,63.82,63.91,63.82,63.87,14252,0,0,2026-01-29 10:39:00
FISV,63.89,63.92,63.84,63.92,8869,0,0,2026-01-29 10:40:00
FISV,63.92,63.96,63.88,63.89,8934,0,0,2026-01-29 10:41:00
FISV,63.91,63.95,63.91,63.95,14157,0,0,2026-01-29 10:42:00
FISV,63.97,63.98,63.94,63.96,14659,0,0,2026-01-29 10:43:00
FISV,63.97,63.98,63.91,63.93,24688,63.94,63.97,2026-01-29 10:45:00
FISV,63.93,64.03,63.93,63.99,20076,0,0,2026-01-29 10:45:00
FISV,63.99,64.04,63.91,63.91,36414,0,0,2026-01-29 10:46:00
FISV,63.92,63.94,63.86,63.9,24295,0,0,2026-01-29 10:47:00
FISV,63.88,63.95,63.86,63.87,17231,0,0,2026-01-29 10:48:00
FISV,63.87,63.9,63.84,63.9,9350,0,0,2026-01-29 10:49:00
FISV,63.91,63.94,63.87,63.87,7298,0,0,2026-01-29 10:50:00
FISV,63.88,63.89,63.79,63.8,28253,0,0,2026-01-29 10:51:00
FISV,63.81,63.81,63.77,63.8,12957,0,0,2026-01-29 10:52:00
FISV,63.81,63.82,63.76,63.8,9617,0,0,2026-01-29 10:53:00
FISV,63.79,63.84,63.76,63.82,10458,0,0,2026-01-29 10:54:00
FISV,63.81,63.91,63.81,63.88,135494,0,0,2026-01-29 10:55:00
FISV,63.88,63.94,63.88,63.88,22138,0,0,2026-01-29 10:56:00
FISV,63.89,63.95,63.88,63.94,15329,0,0,2026-01-29 10:57:00
FISV,63.94,63.94,63.9,63.91,14271,0,0,2026-01-29 10:58:00
FISV,63.9,63.93,63.88,63.88,9554,0,0,2026-01-29 10:59:00
FISV,63.86,63.94,63.82,63.93,20918,0,0,2026-01-29 11:00:00
FISV,63.93,63.93,63.88,63.9,16172,0,0,2026-01-29 11:01:00
FISV,63.9,63.92,63.88,63.89,5170,0,0,2026-01-29 11:02:00
FISV,63.89,63.9,63.87,63.88,4676,0,0,2026-01-29 11:03:00
FISV,63.88,63.89,63.84,63.84,6868,0,0,2026-01-29 11:04:00
FISV,63.84,63.84,63.77,63.77,18419,0,0,2026-01-29 11:05:00
FISV,63.76,63.77,63.72,63.72,10167,0,0,2026-01-29 11:06:00
FISV,63.73,63.74,63.68,63.71,14586,0,0,2026-01-29 11:07:00
FISV,63.71,63.82,63.71,63.78,9798,0,0,2026-01-29 11:08:00
FISV,63.77,63.77,63.71,63.72,6578,0,0,2026-01-29 11:09:00
FISV,63.73,63.74,63.69,63.74,9099,0,0,2026-01-29 11:10:00
FISV,63.74,63.85,63.74,63.85,8526,0,0,2026-01-29 11:11:00
FISV,63.88,63.89,63.84,63.87,11738,0,0,2026-01-29 11:12:00
FISV,63.86,63.9,63.77,63.85,33767,0,0,2026-01-29 11:13:00
FISV,63.86,63.94,63.84,63.92,18881,0,0,2026-01-29 11:14:00
FISV,63.92,63.92,63.87,63.91,21134,0,0,2026-01-29 11:15:00
FISV,63.91,63.94,63.88,63.91,12108,0,0,2026-01-29 11:16:00
FISV,63.91,63.93,63.89,63.9,7911,0,0,2026-01-29 11:17:00
FISV,63.91,63.92,63.87,63.89,17162,0,0,2026-01-29 11:18:00
FISV,63.9,63.93,63.9,63.93,12182,0,0,2026-01-29 11:19:00
FISV,63.92,63.97,63.9,63.9,15608,0,0,2026-01-29 11:20:00
FISV,63.9,63.92,63.86,63.9,12792,0,0,2026-01-29 11:21:00
FISV,63.9,63.9,63.81,63.84,16077,0,0,2026-01-29 11:22:00
FISV,63.84,63.91,63.84,63.91,17814,0,0,2026-01-29 11:23:00
FISV,63.9,63.95,63.9,63.93,9277,0,0,2026-01-29 11:24:00
FISV,63.92,63.94,63.89,63.9,12558,0,0,2026-01-29 11:25:00
FISV,63.91,63.93,63.88,63.88,7962,0,0,2026-01-29 11:26:00
FISV,63.88,63.91,63.86,63.88,12224,0,0,2026-01-29 11:27:00
FISV,63.89,63.91,63.84,63.84,10406,0,0,2026-01-29 11:28:00
FISV,63.85,63.9,63.83,63.9,13611,0,0,2026-01-29 11:29:00
FISV,63.9,63.92,63.88,63.9,6156,0,0,2026-01-29 11:30:00
FISV,63.9,63.93,63.87,63.91,9153,0,0,2026-01-29 11:31:00
FISV,63.9,63.9,63.88,63.89,7353,0,0,2026-01-29 11:32:00
FISV,63.9,63.9,63.85,63.85,6721,0,0,2026-01-29 11:33:00
FISV,63.87,63.87,63.82,63.83,10651,0,0,2026-01-29 11:34:00
FISV,63.84,63.85,63.78,63.79,6702,0,0,2026-01-29 11:35:00
FISV,63.79,63.81,63.79,63.81,2994,0,0,2026-01-29 11:36:00
FISV,63.78,63.81,63.76,63.76,5537,0,0,2026-01-29 11:37:00
FISV,63.77,63.81,63.77,63.81,6000,0,0,2026-01-29 11:38:00
FISV,63.82,63.85,63.82,63.83,6247,0,0,2026-01-29 11:39:00
FISV,63.83,63.91,63.81,63.91,10296,0,0,2026-01-29 11:40:00
FISV,63.9,63.94,63.86,63.87,6304,0,0,2026-01-29 11:41:00
FISV,63.86,63.93,63.86,63.93,4956,0,0,2026-01-29 11:42:00
FISV,63.93,63.93,63.89,63.89,3750,0,0,2026-01-29 11:43:00
FISV,63.9,63.93,63.86,63.87,4913,0,0,2026-01-29 11:44:00
FISV,63.88,63.88,63.79,63.81,5983,0,0,2026-01-29 11:45:00
FISV,63.8,63.86,63.8,63.86,4399,0,0,2026-01-29 11:46:00
FISV,63.85,63.87,63.8,63.86,7792,0,0,2026-01-29 11:47:00
FISV,63.86,63.88,63.81,63.81,4439,0,0,2026-01-29 11:48:00
FISV,63.8,63.81,63.79,63.8,4137,0,0,2026-01-29 11:49:00
FISV,63.8,63.81,63.78,63.8,9126,0,0,2026-01-29 11:50:00
FISV,63.8,63.87,63.79,63.85,12877,0,0,2026-01-29 11:51:00
FISV,63.83,63.83,63.79,63.79,4207,0,0,2026-01-29 11:52:00
FISV,63.79,63.8,63.77,63.77,2827,0,0,2026-01-29 11:53:00
FISV,63.77,63.82,63.77,63.81,13597,0,0,2026-01-29 11:54:00
FISV,63.81,63.87,63.78,63.85,10676,0,0,2026-01-29 11:55:00
FISV,63.85,63.85,63.83,63.84,3985,0,0,2026-01-29 11:56:00
FISV,63.84,63.84,63.82,63.84,6218,0,0,2026-01-29 11:57:00
FISV,63.83,63.84,63.81,63.81,6656,0,0,2026-01-29 11:58:00
FISV,63.83,63.87,63.83,63.85,15782,0,0,2026-01-29 11:59:00
FISV,63.85,63.89,63.81,63.84,13399,0,0,2026-01-29 12:00:00
FISV,63.84,63.87,63.83,63.84,11699,0,0,2026-01-29 12:01:00
FISV,63.84,63.91,63.83,63.89,8145,0,0,2026-01-29 12:02:00
FISV,63.88,63.89,63.84,63.86,12530,0,0,2026-01-29 12:03:00
FISV,63.84,63.9,63.83,63.83,14933,0,0,2026-01-29 12:04:00
FISV,63.84,63.88,63.84,63.88,10372,0,0,2026-01-29 12:05:00
FISV,63.88,63.9,63.86,63.87,5486,0,0,2026-01-29 12:06:00
FISV,63.86,63.9,63.86,63.86,7366,0,0,2026-01-29 12:07:00
FISV,63.86,63.87,63.82,63.84,12380,0,0,2026-01-29 12:08:00
FISV,63.83,63.84,63.78,63.78,7266,0,0,2026-01-29 12:09:00
FISV,63.78,63.78,63.72,63.72,9729,0,0,2026-01-29 12:10:00
FISV,63.71,63.81,63.71,63.79,10069,0,0,2026-01-29 12:11:00
FISV,63.78,63.82,63.77,63.81,10447,0,0,2026-01-29 12:12:00
FISV,63.79,63.82,63.78,63.81,8041,0,0,2026-01-29 12:13:00
FISV,63.81,63.82,63.79,63.79,5840,0,0,2026-01-29 12:14:00
FISV,63.79,63.79,63.75,63.75,9769,0,0,2026-01-29 12:15:00
FISV,63.76,63.76,63.72,63.73,7654,0,0,2026-01-29 12:16:00
FISV,63.72,63.73,63.7,63.73,5143,0,0,2026-01-29 12:17:00
FISV,63.74,63.78,63.73,63.78,9864,0,0,2026-01-29 12:18:00
FISV,63.77,63.82,63.77,63.8,7929,0,0,2026-01-29 12:19:00
FISV,63.81,63.83,63.8,63.8,5848,0,0,2026-01-29 12:20:00
FISV,63.81,63.85,63.79,63.82,9034,0,0,2026-01-29 12:21:00
FISV,63.81,63.83,63.76,63.76,8097,0,0,2026-01-29 12:22:00
FISV,63.76,63.76,63.74,63.75,8333,0,0,2026-01-29 12:23:00
FISV,63.76,63.79,63.74,63.74,6655,0,0,2026-01-29 12:24:00
FISV,63.75,63.76,63.7,63.73,12491,0,0,2026-01-29 12:25:00
FISV,63.74,63.74,63.72,63.72,5524,0,0,2026-01-29 12:26:00
FISV,63.72,63.73,63.71,63.72,3308,0,0,2026-01-29 12:27:00
FISV,63.73,63.74,63.72,63.73,5247,0,0,2026-01-29 12:28:00
FISV,63.73,63.77,63.73,63.77,6853,0,0,2026-01-29 12:29:00
FISV,63.76,63.77,63.73,63.74,4993,0,0,2026-01-29 12:30:00
FISV,63.73,63.73,63.69,63.69,8466,0,0,2026-01-29 12:31:00
FISV,63.7,63.71,63.67,63.67,18246,0,0,2026-01-29 12:32:00
FISV,63.67,63.67,63.62,63.63,23007,0,0,2026-01-29 12:33:00
FISV,63.63,63.65,63.59,63.6,39971,0,0,2026-01-29 12:34:00
FISV,63.6,63.62,63.57,63.58,22689,0,0,2026-01-29 12:35:00
FISV,63.57,63.59,63.53,63.56,17384,0,0,2026-01-29 12:36:00
FISV,63.57,63.63,63.57,63.62,11926,0,0,2026-01-29 12:37:00
FISV,63.61,63.63,63.6,63.63,6875,0,0,2026-01-29 12:38:00
FISV,63.62,63.63,63.59,63.6,5632,0,0,2026-01-29 12:39:00
FISV,63.6,63.6,63.58,63.58,5827,0,0,2026-01-29 12:40:00
FISV,63.59,63.61,63.58,63.6,5601,0,0,2026-01-29 12:41:00
FISV,63.6,63.61,63.59,63.59,5579,0,0,2026-01-29 12:42:00
FISV,63.58,63.65,63.57,63.64,8324,0,0,2026-01-29 12:43:00
FISV,63.64,63.68,63.62,63.62,6338,0,0,2026-01-29 12:44:00
FISV,63.63,63.64,63.55,63.55,6800,0,0,2026-01-29 12:45:00
FISV,63.54,63.55,63.49,63.51,23811,0,0,2026-01-29 12:46:00
FISV,63.5,63.5,63.45,63.45,9421,0,0,2026-01-29 12:47:00
FISV,63.44,63.47,63.43,63.44,16747,0,0,2026-01-29 12:48:00
FISV,63.44,63.49,63.44,63.46,11553,0,0,2026-01-29 12:49:00
FISV,63.46,63.52,63.46,63.52,6056,0,0,2026-01-29 12:50:00
FISV,63.52,63.59,63.49,63.57,28383,0,0,2026-01-29 12:51:00
FISV,63.58,63.62,63.56,63.57,41467,0,0,2026-01-29 12:52:00
FISV,63.54,63.56,63.53,63.53,38730,0,0,2026-01-29 12:53:00
FISV,63.54,63.63,63.54,63.61,8830,0,0,2026-01-29 12:54:00
FISV,63.62,63.66,63.52,63.54,33695,0,0,2026-01-29 12:55:00
FISV,63.54,63.56,63.52,63.56,6991,0,0,2026-01-29 12:56:00
FISV,63.56,63.56,63.51,63.52,4698,0,0,2026-01-29 12:57:00
