Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FIVN,18.21,18.21,18.21,18.21,356,18.2,18.49,2026-01-29 07:52:00
FIVN,18.22,18.22,18.22,18.22,101,0,0,2026-01-29 08:41:00
FIVN,18.21,18.21,18.21,18.21,200,0,0,2026-01-29 08:42:00
FIVN,17.82,18.0,17.78,17.81,8050,0,0,2026-01-29 09:28:00
FIVN,17.75,17.75,17.51,17.55,48316,0,0,2026-01-29 09:30:00
FIVN,17.57,17.57,17.38,17.38,208557,0,0,2026-01-29 09:31:00
FIVN,17.28,17.28,17.2,17.26,15703,17.2,17.27,2026-01-29 09:33:00
FIVN,17.22,17.55,17.16,17.55,12478,17.32,17.78,2026-01-29 09:34:00
FIVN,17.55,17.68,17.55,17.59,2671,0,0,2026-01-29 09:34:00
FIVN,17.57,17.57,17.25,17.25,3814,0,0,2026-01-29 09:35:00
FIVN,17.24,17.31,17.18,17.25,6515,0,0,2026-01-29 09:36:00
FIVN,17.28,17.43,17.18,17.35,10267,0,0,2026-01-29 09:37:00
FIVN,17.47,17.47,17.46,17.46,3703,0,0,2026-01-29 09:38:00
FIVN,17.46,17.46,17.31,17.31,6842,0,0,2026-01-29 09:39:00
FIVN,17.31,17.39,17.31,17.36,13048,0,0,2026-01-29 09:40:00
FIVN,17.34,17.35,17.25,17.28,7858,0,0,2026-01-29 09:41:00
FIVN,17.25,17.25,17.11,17.17,7880,0,0,2026-01-29 09:42:00
FIVN,17.14,17.21,17.14,17.21,5150,0,0,2026-01-29 09:43:00
FIVN,17.23,17.23,17.15,17.19,3275,0,0,2026-01-29 09:44:00
FIVN,17.15,17.15,17.08,17.08,5901,0,0,2026-01-29 09:45:00
FIVN,17.13,17.16,17.11,17.14,7269,0,0,2026-01-29 09:46:00
FIVN,17.14,17.19,17.06,17.17,9951,0,0,2026-01-29 09:47:00
FIVN,17.18,17.21,17.16,17.2,6629,0,0,2026-01-29 09:48:00
FIVN,17.23,17.23,17.2,17.23,8808,0,0,2026-01-29 09:49:00
FIVN,17.25,17.28,17.21,17.23,5782,0,0,2026-01-29 09:50:00
FIVN,17.23,17.25,17.23,17.25,4133,0,0,2026-01-29 09:51:00
FIVN,17.25,17.32,17.25,17.29,32540,0,0,2026-01-29 09:52:00
FIVN,17.3,17.38,17.28,17.37,9669,0,0,2026-01-29 09:53:00
FIVN,17.4,17.63,17.39,17.57,6137,0,0,2026-01-29 09:54:00
FIVN,17.55,17.58,17.44,17.49,11104,0,0,2026-01-29 09:55:00
FIVN,17.49,17.5,17.45,17.46,14914,0,0,2026-01-29 09:56:00
FIVN,17.48,17.49,17.46,17.48,6440,0,0,2026-01-29 09:57:00
FIVN,17.46,17.46,17.42,17.45,6385,0,0,2026-01-29 09:58:00
FIVN,17.43,17.49,17.41,17.49,7652,0,0,2026-01-29 09:59:00
FIVN,17.47,17.54,17.46,17.49,16459,0,0,2026-01-29 10:00:00
FIVN,17.49,17.49,17.47,17.48,6299,0,0,2026-01-29 10:01:00
