Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FLL,2.46,2.46,2.46,2.46,495,0,0,2026-01-29 09:30:00
FLL,2.53,2.53,2.37,2.37,2473,0,0,2026-01-29 09:35:00
FLL,2.4,2.52,2.39,2.47,1033,0,0,2026-01-29 09:36:00
FLL,2.4,2.44,2.4,2.44,600,0,0,2026-01-29 09:39:00
FLL,2.4,2.4,2.4,2.4,422,0,0,2026-01-29 09:41:00
FLL,2.42,2.44,2.41,2.44,1762,0,0,2026-01-29 09:42:00
FLL,2.44,2.44,2.42,2.42,200,0,0,2026-01-29 09:43:00
FLL,2.44,2.44,2.44,2.44,100,0,0,2026-01-29 09:44:00
FLL,2.39,2.39,2.39,2.39,512,0,0,2026-01-29 09:45:00
FLL,2.4,2.4,2.4,2.4,228,0,0,2026-01-29 09:51:00
FLL,2.39,2.39,2.39,2.39,100,0,0,2026-01-29 09:57:00
FLL,2.38,2.41,2.38,2.4,350,0,0,2026-01-29 10:00:00
FLL,2.39,2.4,2.39,2.4,310,0,0,2026-01-29 10:02:00
FLL,2.38,2.4,2.38,2.4,230,0,0,2026-01-29 10:03:00
FLL,2.4,2.4,2.4,2.4,100,0,0,2026-01-29 10:04:00
FLL,2.41,2.44,2.41,2.44,2467,0,0,2026-01-29 10:05:00
FLL,2.4,2.43,2.39,2.43,1101,0,0,2026-01-29 10:06:00
FLL,2.39,2.41,2.39,2.41,529,0,0,2026-01-29 10:09:00
FLL,2.42,2.42,2.42,2.42,220,0,0,2026-01-29 10:11:00
FLL,2.4,2.41,2.4,2.41,459,0,0,2026-01-29 10:12:00
FLL,2.4,2.4,2.4,2.4,110,0,0,2026-01-29 10:13:00
FLL,2.4,2.4,2.4,2.4,243,0,0,2026-01-29 10:14:00
FLL,2.39,2.42,2.39,2.42,400,0,0,2026-01-29 10:15:00
FLL,2.39,2.42,2.39,2.42,230,0,0,2026-01-29 10:18:00
FLL,2.39,2.39,2.39,2.39,238,0,0,2026-01-29 10:20:00
FLL,2.39,2.42,2.39,2.42,229,0,0,2026-01-29 10:21:00
FLL,2.41,2.41,2.41,2.41,572,0,0,2026-01-29 10:23:00
