Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FLNC,31.12,31.12,31.12,31.12,1015,0,0,2026-01-29 08:10:00
FLNC,31.15,31.15,31.15,31.15,210,0,0,2026-01-29 08:14:00
FLNC,31.17,31.17,31.17,31.17,465,0,0,2026-01-29 08:20:00
FLNC,31.15,31.15,31.15,31.15,201,0,0,2026-01-29 08:26:00
FLNC,31.17,31.18,31.17,31.18,1304,0,0,2026-01-29 08:31:00
FLNC,31.18,31.18,31.18,31.18,304,0,0,2026-01-29 08:32:00
FLNC,31.17,31.17,31.17,31.17,252,31.12,31.17,2026-01-29 08:40:00
FLNC,31.16,31.16,31.16,31.16,202,31.13,31.17,2026-01-29 08:48:00
FLNC,31.12,31.12,31.12,31.12,220,0,0,2026-01-29 08:51:00
FLNC,31.16,31.28,31.16,31.27,2574,31.12,31.29,2026-01-29 08:53:00
FLNC,31.27,31.27,31.27,31.27,504,0,0,2026-01-29 08:53:00
FLNC,31.2,31.2,31.2,31.2,410,0,0,2026-01-29 08:56:00
FLNC,31.2,31.2,31.2,31.2,132,0,0,2026-01-29 08:58:00
FLNC,31.12,31.12,31.12,31.12,100,0,0,2026-01-29 09:01:00
FLNC,31.2,31.2,31.2,31.2,160,0,0,2026-01-29 09:06:00
FLNC,31.12,31.18,31.12,31.18,552,0,0,2026-01-29 09:12:00
FLNC,31.12,31.12,31.11,31.11,668,31.1,31.15,2026-01-29 09:15:00
FLNC,31.1,31.1,31.1,31.1,256,0,0,2026-01-29 09:15:00
FLNC,31.12,31.12,31.08,31.09,4667,0,0,2026-01-29 09:16:00
FLNC,31.11,31.11,31.08,31.08,731,0,0,2026-01-29 09:17:00
FLNC,31.07,31.07,31.07,31.07,560,0,0,2026-01-29 09:18:00
FLNC,31.12,31.12,31.12,31.12,834,0,0,2026-01-29 09:22:00
FLNC,31.13,31.13,31.13,31.13,2555,0,0,2026-01-29 09:24:00
FLNC,31.17,31.17,31.1,31.1,336,0,0,2026-01-29 09:25:00
FLNC,31.18,31.23,31.18,31.19,2393,0,0,2026-01-29 09:27:00
FLNC,31.33,31.4,31.11,31.35,3804,0,0,2026-01-29 09:28:00
FLNC,31.47,31.47,31.47,31.47,1001,31.1,31.5,2026-01-29 09:30:00
FLNC,31.3,31.53,30.99,31.03,111177,0,0,2026-01-29 09:30:00
FLNC,30.91,30.91,30.47,30.65,22759,0,0,2026-01-29 09:31:00
FLNC,30.65,30.67,30.3,30.46,22975,0,0,2026-01-29 09:32:00
FLNC,30.46,30.67,30.4,30.55,63436,0,0,2026-01-29 09:33:00
FLNC,30.55,30.55,30.2,30.35,31882,0,0,2026-01-29 09:34:00
FLNC,30.31,30.53,30.1,30.35,62917,0,0,2026-01-29 09:35:00
