Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FOA,23.36,23.36,23.36,23.36,223,0,0,2026-01-29 09:30:00
FOA,23.14,23.14,23.14,23.14,300,0,0,2026-01-29 09:42:00
FOA,23.34,23.34,23.34,23.34,111,0,0,2026-01-29 10:20:00
FOA,23.47,23.49,23.47,23.49,200,0,0,2026-01-29 10:30:00
FOA,23.35,23.35,23.35,23.35,113,0,0,2026-01-29 10:47:00
FOA,23.21,23.21,23.21,23.21,751,0,0,2026-01-29 10:49:00
FOA,23.18,23.18,23.18,23.18,102,0,0,2026-01-29 10:50:00
FOA,23.12,23.12,23.12,23.12,100,0,0,2026-01-29 11:05:00
FOA,23.14,23.14,23.14,23.14,110,0,0,2026-01-29 11:23:00
FOA,23.31,23.4,23.31,23.4,919,0,0,2026-01-29 12:04:00
FOA,23.34,23.34,23.34,23.34,300,0,0,2026-01-29 12:07:00
FOA,23.41,23.41,23.41,23.41,100,0,0,2026-01-29 12:11:00
FOA,23.36,23.36,23.36,23.36,200,0,0,2026-01-29 12:23:00
FOA,23.35,23.35,23.35,23.35,258,0,0,2026-01-29 12:25:00
FOA,23.36,23.36,23.36,23.36,205,0,0,2026-01-29 12:34:00
FOA,23.33,23.33,23.33,23.33,106,0,0,2026-01-29 12:40:00
FOA,23.34,23.34,23.34,23.34,261,0,0,2026-01-29 12:43:00
FOA,23.32,23.32,23.32,23.32,188,0,0,2026-01-29 12:48:00
