Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FOUR,60.06,60.06,60.06,60.06,200,0,0,2026-01-29 08:15:00
FOUR,60.45,60.47,60.45,60.47,779,0,0,2026-01-29 08:59:00
FOUR,60.34,60.34,60.21,60.21,8763,0,0,2026-01-29 09:30:00
FOUR,60.0,60.02,59.67,60.0,6071,0,0,2026-01-29 09:31:00
FOUR,59.57,59.65,59.39,59.4,11507,59.5,59.75,2026-01-29 09:33:00
FOUR,59.52,59.52,59.22,59.31,4249,0,0,2026-01-29 09:33:00
FOUR,59.49,59.5,59.35,59.37,3217,59,59.74,2026-01-29 09:35:00
FOUR,59.37,59.44,59.37,59.44,1713,0,0,2026-01-29 09:35:00
FOUR,59.36,59.67,59.34,59.44,2339,0,0,2026-01-29 09:36:00
FOUR,59.43,59.76,59.43,59.76,2410,0,0,2026-01-29 09:37:00
FOUR,59.99,60.0,59.99,60.0,1276,0,0,2026-01-29 09:38:00
FOUR,59.98,59.98,59.79,59.79,936,0,0,2026-01-29 09:39:00
FOUR,59.96,59.96,59.54,59.54,1130,0,0,2026-01-29 09:40:00
FOUR,59.78,59.78,59.41,59.5,7806,0,0,2026-01-29 09:41:00
FOUR,59.5,59.58,59.19,59.27,7105,0,0,2026-01-29 09:42:00
FOUR,59.14,59.3,59.1,59.2,3487,0,0,2026-01-29 09:43:00
FOUR,59.2,59.2,59.04,59.14,5872,0,0,2026-01-29 09:44:00
FOUR,59.0,59.19,58.98,59.19,6297,0,0,2026-01-29 09:45:00
FOUR,59.13,59.13,59.0,59.08,9972,0,0,2026-01-29 09:46:00
FOUR,59.0,59.17,58.94,59.17,11519,0,0,2026-01-29 09:47:00
FOUR,59.2,59.32,59.2,59.32,1925,0,0,2026-01-29 09:48:00
FOUR,59.29,59.3,59.2,59.25,6722,0,0,2026-01-29 09:49:00
FOUR,59.25,59.3,59.03,59.11,5016,0,0,2026-01-29 09:50:00
FOUR,59.01,59.02,58.95,59.02,2000,0,0,2026-01-29 09:51:00
FOUR,59.02,59.05,58.9,59.05,8308,0,0,2026-01-29 09:52:00
FOUR,59.1,59.22,58.98,59.02,10184,0,0,2026-01-29 09:53:00
FOUR,59.1,59.41,59.1,59.37,4109,0,0,2026-01-29 09:54:00
FOUR,59.31,59.45,59.31,59.45,1860,0,0,2026-01-29 09:55:00
FOUR,59.48,59.56,59.13,59.16,8777,0,0,2026-01-29 09:56:00
FOUR,59.11,59.22,59.06,59.1,878,0,0,2026-01-29 09:57:00
FOUR,59.0,59.01,58.86,58.87,17445,0,0,2026-01-29 09:58:00
FOUR,58.91,59.01,58.8,58.95,4374,0,0,2026-01-29 09:59:00
FOUR,58.8,58.94,58.64,58.8,33939,0,0,2026-01-29 10:00:00
FOUR,58.8,58.88,58.8,58.86,1757,0,0,2026-01-29 10:01:00
FOUR,58.88,58.89,58.65,58.8,11298,0,0,2026-01-29 10:02:00
FOUR,58.73,58.85,58.69,58.76,2726,0,0,2026-01-29 10:03:00
FOUR,58.8,58.85,58.69,58.76,11586,0,0,2026-01-29 10:04:00
FOUR,58.76,58.87,58.7,58.87,14331,0,0,2026-01-29 10:05:00
FOUR,58.87,58.87,58.63,58.63,30780,0,0,2026-01-29 10:06:00
FOUR,58.67,58.7,58.64,58.68,2322,0,0,2026-01-29 10:07:00
FOUR,58.71,58.8,58.67,58.8,13280,0,0,2026-01-29 10:08:00
FOUR,58.78,58.98,58.78,58.98,5287,0,0,2026-01-29 10:09:00
FOUR,58.94,58.97,58.93,58.95,3578,0,0,2026-01-29 10:10:00
FOUR,58.98,58.98,58.79,58.89,4318,0,0,2026-01-29 10:11:00
FOUR,58.9,58.9,58.9,58.9,1235,0,0,2026-01-29 10:12:00
FOUR,58.88,59.02,58.85,58.89,7329,0,0,2026-01-29 10:14:00
FOUR,58.92,59.03,58.85,58.85,7725,0,0,2026-01-29 10:15:00
FOUR,58.81,58.94,58.81,58.94,4882,0,0,2026-01-29 10:16:00
