Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FOXA,71.39,71.39,71.39,71.39,314,0,0,2026-01-29 09:22:00
FOXA,71.27,71.27,71.18,71.18,861,0,0,2026-01-29 09:25:00
FOXA,71.17,71.17,71.17,71.17,166,0,0,2026-01-29 09:26:00
FOXA,71.34,71.34,71.25,71.28,20548,0,0,2026-01-29 09:30:00
FOXA,71.28,71.34,71.16,71.28,1705,0,0,2026-01-29 09:31:00
FOXA,71.33,71.49,71.33,71.47,13441,71.32,71.48,2026-01-29 09:33:00
FOXA,71.34,71.48,71.32,71.48,2837,0,0,2026-01-29 09:33:00
FOXA,71.52,71.71,71.52,71.69,8246,0,0,2026-01-29 09:34:00
FOXA,71.68,71.74,71.52,71.59,16405,71.51,71.64,2026-01-29 09:36:00
FOXA,71.55,71.62,71.51,71.54,7371,0,0,2026-01-29 09:36:00
FOXA,71.54,71.66,71.54,71.66,2555,0,0,2026-01-29 09:37:00
FOXA,71.7,71.83,71.7,71.82,5207,0,0,2026-01-29 09:38:00
FOXA,71.8,71.8,71.74,71.74,1737,0,0,2026-01-29 09:39:00
FOXA,71.7,71.72,71.7,71.71,1075,0,0,2026-01-29 09:40:00
FOXA,71.76,71.76,71.76,71.76,779,0,0,2026-01-29 09:41:00
FOXA,71.65,71.65,71.57,71.58,1554,0,0,2026-01-29 09:42:00
FOXA,71.56,71.59,71.33,71.37,13400,0,0,2026-01-29 09:43:00
FOXA,71.4,71.4,71.32,71.32,8510,0,0,2026-01-29 09:44:00
FOXA,71.3,71.33,71.0,71.12,23175,0,0,2026-01-29 09:45:00
FOXA,71.11,71.27,71.05,71.18,21801,0,0,2026-01-29 09:46:00
FOXA,71.22,71.22,71.22,71.22,1077,0,0,2026-01-29 09:47:00
FOXA,71.22,71.41,71.22,71.34,16125,0,0,2026-01-29 09:48:00
FOXA,71.35,71.36,71.22,71.25,4236,0,0,2026-01-29 09:49:00
FOXA,71.23,71.25,71.2,71.24,5804,0,0,2026-01-29 09:50:00
FOXA,71.29,71.29,71.21,71.21,2818,0,0,2026-01-29 09:51:00
FOXA,71.21,71.23,71.19,71.2,3965,0,0,2026-01-29 09:52:00
FOXA,71.21,71.29,71.21,71.22,4433,0,0,2026-01-29 09:53:00
FOXA,71.3,71.44,71.3,71.37,4468,0,0,2026-01-29 09:54:00
FOXA,71.37,71.37,71.37,71.37,627,0,0,2026-01-29 09:55:00
FOXA,71.39,71.48,71.38,71.44,7558,0,0,2026-01-29 09:56:00
FOXA,71.44,71.55,71.44,71.54,12059,0,0,2026-01-29 09:57:00
FOXA,71.55,71.55,71.52,71.52,3302,0,0,2026-01-29 09:58:00
FOXA,71.5,71.5,71.41,71.42,6217,0,0,2026-01-29 09:59:00
FOXA,71.41,71.44,71.34,71.34,7537,0,0,2026-01-29 10:00:00
FOXA,71.37,71.39,71.31,71.36,6405,0,0,2026-01-29 10:01:00
FOXA,71.39,71.44,71.38,71.41,4477,0,0,2026-01-29 10:02:00
FOXA,71.41,71.47,71.32,71.45,22840,0,0,2026-01-29 10:03:00
FOXA,71.47,71.5,71.47,71.5,1620,0,0,2026-01-29 10:04:00
FOXA,71.52,71.59,71.52,71.53,3289,0,0,2026-01-29 10:05:00
FOXA,71.55,71.55,71.52,71.52,2326,0,0,2026-01-29 10:06:00
FOXA,71.53,71.65,71.53,71.65,4895,0,0,2026-01-29 10:07:00
FOXA,71.59,71.59,71.47,71.53,7584,0,0,2026-01-29 10:08:00
FOXA,71.5,71.51,71.43,71.44,4819,0,0,2026-01-29 10:09:00
FOXA,71.39,71.39,71.33,71.33,946,0,0,2026-01-29 10:10:00
FOXA,71.38,71.41,71.38,71.39,4974,0,0,2026-01-29 10:11:00
FOXA,71.37,71.42,71.36,71.38,4819,0,0,2026-01-29 10:12:00
FOXA,71.42,71.45,71.33,71.33,7680,0,0,2026-01-29 10:13:00
FOXA,71.32,71.39,71.31,71.36,8009,0,0,2026-01-29 10:14:00
FOXA,71.43,71.43,71.41,71.41,2248,0,0,2026-01-29 10:15:00
FOXA,71.4,71.46,71.4,71.46,3695,0,0,2026-01-29 10:16:00
FOXA,71.41,71.49,71.4,71.49,8093,0,0,2026-01-29 10:17:00
FOXA,71.44,71.51,71.42,71.5,1801,0,0,2026-01-29 10:18:00
FOXA,71.5,71.5,71.45,71.45,1336,0,0,2026-01-29 10:19:00
FOXA,71.44,71.5,71.42,71.49,6694,0,0,2026-01-29 10:20:00
FOXA,71.5,71.57,71.5,71.53,5454,0,0,2026-01-29 10:21:00
FOXA,71.52,71.55,71.5,71.53,2918,0,0,2026-01-29 10:22:00
FOXA,71.55,71.55,71.53,71.53,1508,0,0,2026-01-29 10:23:00
FOXA,71.55,71.55,71.48,71.48,2403,0,0,2026-01-29 10:24:00
FOXA,71.5,71.55,71.49,71.53,5153,0,0,2026-01-29 10:25:00
FOXA,71.53,71.58,71.53,71.55,5216,0,0,2026-01-29 10:26:00
FOXA,71.55,71.55,71.53,71.53,1534,0,0,2026-01-29 10:27:00
FOXA,71.52,71.63,71.5,71.63,8998,0,0,2026-01-29 10:28:00
FOXA,71.64,71.64,71.58,71.58,2507,0,0,2026-01-29 10:29:00
FOXA,71.56,71.56,71.48,71.54,4516,0,0,2026-01-29 10:30:00
FOXA,71.53,71.57,71.53,71.53,4584,0,0,2026-01-29 10:31:00
FOXA,71.53,71.53,71.5,71.53,1534,0,0,2026-01-29 10:32:00
FOXA,71.54,71.6,71.53,71.6,5057,0,0,2026-01-29 10:33:00
FOXA,71.59,71.59,71.56,71.58,4964,0,0,2026-01-29 10:34:00
FOXA,71.6,71.6,71.58,71.58,2209,0,0,2026-01-29 10:35:00
FOXA,71.57,71.59,71.57,71.59,2489,0,0,2026-01-29 10:36:00
FOXA,71.59,71.61,71.58,71.59,3444,0,0,2026-01-29 10:37:00
FOXA,71.57,71.62,71.56,71.61,8537,0,0,2026-01-29 10:38:00
FOXA,71.61,71.68,71.6,71.68,7937,0,0,2026-01-29 10:39:00
FOXA,71.68,71.68,71.54,71.54,6981,0,0,2026-01-29 10:40:00
FOXA,71.53,71.58,71.53,71.58,3583,0,0,2026-01-29 10:41:00
FOXA,71.54,71.54,71.48,71.48,2361,0,0,2026-01-29 10:42:00
FOXA,71.5,71.55,71.5,71.53,5063,0,0,2026-01-29 10:43:00
FOXA,71.53,71.53,71.42,71.45,6224,71.4,71.45,2026-01-29 10:45:00
FOXA,71.42,71.47,71.41,71.41,3807,0,0,2026-01-29 10:45:00
FOXA,71.41,71.46,71.4,71.45,5388,0,0,2026-01-29 10:46:00
FOXA,71.46,71.48,71.43,71.48,7373,0,0,2026-01-29 10:47:00
FOXA,71.47,71.49,71.38,71.38,4133,0,0,2026-01-29 10:48:00
FOXA,71.37,71.38,71.36,71.38,4060,0,0,2026-01-29 10:49:00
FOXA,71.37,71.39,71.3,71.33,8458,0,0,2026-01-29 10:50:00
FOXA,71.34,71.37,71.33,71.33,5540,0,0,2026-01-29 10:51:00
FOXA,71.31,71.33,71.31,71.33,3439,0,0,2026-01-29 10:52:00
FOXA,71.33,71.33,71.29,71.29,2748,0,0,2026-01-29 10:53:00
FOXA,71.27,71.3,71.27,71.3,3704,0,0,2026-01-29 10:54:00
FOXA,71.29,71.41,71.28,71.41,7948,0,0,2026-01-29 10:55:00
FOXA,71.4,71.53,71.4,71.5,4234,0,0,2026-01-29 10:56:00
FOXA,71.49,71.52,71.48,71.49,8406,0,0,2026-01-29 10:57:00
FOXA,71.49,71.49,71.46,71.47,2346,0,0,2026-01-29 10:58:00
FOXA,71.47,71.47,71.41,71.41,2518,0,0,2026-01-29 10:59:00
FOXA,71.35,71.39,71.29,71.39,7212,0,0,2026-01-29 11:00:00
FOXA,71.38,71.38,71.33,71.34,2983,0,0,2026-01-29 11:01:00
FOXA,71.34,71.36,71.31,71.32,9958,0,0,2026-01-29 11:02:00
FOXA,71.29,71.3,71.27,71.28,2753,0,0,2026-01-29 11:03:00
FOXA,71.28,71.28,71.23,71.23,4245,0,0,2026-01-29 11:04:00
FOXA,71.23,71.26,71.22,71.22,4947,0,0,2026-01-29 11:05:00
FOXA,71.22,71.23,71.2,71.22,5806,0,0,2026-01-29 11:06:00
FOXA,71.23,71.23,71.2,71.2,2754,0,0,2026-01-29 11:07:00
FOXA,71.18,71.19,71.17,71.19,4038,0,0,2026-01-29 11:08:00
FOXA,71.17,71.17,71.14,71.14,1264,0,0,2026-01-29 11:09:00
FOXA,71.14,71.21,71.14,71.21,7711,0,0,2026-01-29 11:10:00
FOXA,71.22,71.38,71.22,71.36,10647,0,0,2026-01-29 11:11:00
FOXA,71.36,71.43,71.36,71.43,2621,0,0,2026-01-29 11:12:00
FOXA,71.41,71.47,71.41,71.47,14154,0,0,2026-01-29 11:13:00
FOXA,71.44,71.47,71.44,71.45,2903,0,0,2026-01-29 11:14:00
FOXA,71.45,71.48,71.42,71.46,7378,0,0,2026-01-29 11:15:00
FOXA,71.48,71.56,71.48,71.56,5518,0,0,2026-01-29 11:16:00
FOXA,71.53,71.57,71.53,71.53,4048,0,0,2026-01-29 11:17:00
FOXA,71.48,71.48,71.48,71.48,862,0,0,2026-01-29 11:18:00
FOXA,71.49,71.52,71.43,71.43,4978,0,0,2026-01-29 11:19:00
FOXA,71.45,71.5,71.45,71.45,8612,0,0,2026-01-29 11:20:00
FOXA,71.42,71.42,71.4,71.42,4060,0,0,2026-01-29 11:21:00
FOXA,71.42,71.42,71.33,71.33,1819,0,0,2026-01-29 11:22:00
FOXA,71.36,71.41,71.35,71.4,5845,0,0,2026-01-29 11:23:00
FOXA,71.35,71.38,71.35,71.38,4030,0,0,2026-01-29 11:24:00
FOXA,71.36,71.42,71.36,71.4,3927,0,0,2026-01-29 11:25:00
FOXA,71.4,71.4,71.37,71.38,3533,0,0,2026-01-29 11:26:00
FOXA,71.4,71.4,71.38,71.39,2983,0,0,2026-01-29 11:27:00
FOXA,71.39,71.39,71.34,71.35,3153,0,0,2026-01-29 11:28:00
FOXA,71.36,71.38,71.33,71.33,4771,0,0,2026-01-29 11:29:00
FOXA,71.34,71.38,71.34,71.38,2268,0,0,2026-01-29 11:30:00
FOXA,71.36,71.44,71.36,71.44,5574,0,0,2026-01-29 11:31:00
FOXA,71.43,71.44,71.41,71.44,4927,0,0,2026-01-29 11:32:00
FOXA,71.44,71.45,71.41,71.41,4571,0,0,2026-01-29 11:33:00
FOXA,71.4,71.4,71.38,71.4,2150,0,0,2026-01-29 11:34:00
FOXA,71.4,71.43,71.36,71.36,7075,0,0,2026-01-29 11:35:00
FOXA,71.38,71.38,71.34,71.34,2300,0,0,2026-01-29 11:36:00
FOXA,71.34,71.36,71.34,71.35,2286,0,0,2026-01-29 11:37:00
FOXA,71.32,71.37,71.32,71.34,2493,0,0,2026-01-29 11:38:00
FOXA,71.34,71.37,71.34,71.37,3212,0,0,2026-01-29 11:39:00
FOXA,71.34,71.34,71.3,71.32,5895,0,0,2026-01-29 11:40:00
FOXA,71.32,71.34,70.98,71.31,62947,0,0,2026-01-29 11:41:00
FOXA,71.37,71.37,71.34,71.36,2772,0,0,2026-01-29 11:42:00
FOXA,71.35,71.38,71.35,71.38,1432,0,0,2026-01-29 11:43:00
FOXA,71.42,71.48,71.41,71.43,5500,0,0,2026-01-29 11:44:00
FOXA,71.42,71.42,71.42,71.42,750,0,0,2026-01-29 11:45:00
FOXA,71.44,71.46,71.41,71.41,2635,0,0,2026-01-29 11:46:00
FOXA,71.39,71.39,71.35,71.39,2717,0,0,2026-01-29 11:47:00
FOXA,71.45,71.48,71.45,71.48,1738,0,0,2026-01-29 11:49:00
FOXA,71.49,71.5,71.47,71.49,1608,0,0,2026-01-29 11:50:00
FOXA,71.5,71.54,71.5,71.51,3771,0,0,2026-01-29 11:51:00
FOXA,71.45,71.45,71.45,71.45,1503,0,0,2026-01-29 11:52:00
FOXA,71.48,71.6,71.48,71.56,10337,0,0,2026-01-29 11:53:00
FOXA,71.57,71.62,71.57,71.62,2135,0,0,2026-01-29 11:54:00
FOXA,71.64,71.64,71.53,71.56,3026,0,0,2026-01-29 11:55:00
FOXA,71.59,71.61,71.59,71.6,1016,0,0,2026-01-29 11:56:00
FOXA,71.6,71.6,71.56,71.58,1469,0,0,2026-01-29 11:57:00
FOXA,71.6,71.61,71.59,71.61,2165,0,0,2026-01-29 11:58:00
FOXA,71.6,71.61,71.58,71.61,2375,0,0,2026-01-29 11:59:00
FOXA,71.6,71.72,71.6,71.7,21343,0,0,2026-01-29 12:00:00
FOXA,71.7,71.78,71.7,71.78,2352,0,0,2026-01-29 12:01:00
FOXA,71.8,71.85,71.8,71.82,5206,0,0,2026-01-29 12:02:00
FOXA,71.81,71.82,71.81,71.82,598,0,0,2026-01-29 12:03:00
FOXA,71.83,71.85,71.83,71.84,5376,0,0,2026-01-29 12:04:00
FOXA,71.84,71.88,71.84,71.86,1909,0,0,2026-01-29 12:05:00
FOXA,71.8,71.82,71.8,71.82,1022,0,0,2026-01-29 12:06:00
FOXA,71.8,71.8,71.78,71.78,1842,0,0,2026-01-29 12:07:00
FOXA,71.78,71.8,71.78,71.79,1640,0,0,2026-01-29 12:09:00
FOXA,71.81,71.81,71.81,71.81,835,0,0,2026-01-29 12:10:00
FOXA,71.83,71.83,71.78,71.78,931,0,0,2026-01-29 12:11:00
FOXA,71.78,71.82,71.78,71.8,1577,0,0,2026-01-29 12:12:00
FOXA,71.76,71.76,71.75,71.75,744,0,0,2026-01-29 12:13:00
FOXA,71.76,71.78,71.76,71.77,1314,0,0,2026-01-29 12:14:00
FOXA,71.81,71.81,71.79,71.81,976,0,0,2026-01-29 12:15:00
FOXA,71.8,71.84,71.8,71.84,1546,0,0,2026-01-29 12:16:00
FOXA,71.84,71.85,71.84,71.85,1019,0,0,2026-01-29 12:17:00
FOXA,71.8,71.83,71.78,71.83,1985,0,0,2026-01-29 12:18:00
