Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FRGE,44.62,44.62,44.62,44.62,602,0,0,2026-01-29 09:30:00
FRGE,44.66,44.66,44.65,44.65,1080,0,0,2026-01-29 09:40:00
FRGE,44.66,44.66,44.65,44.65,772,0,0,2026-01-29 09:41:00
FRGE,44.64,44.64,44.64,44.64,229,0,0,2026-01-29 09:43:00
FRGE,44.65,44.65,44.65,44.65,306,0,0,2026-01-29 09:49:00
FRGE,44.64,44.64,44.64,44.64,784,0,0,2026-01-29 09:54:00
FRGE,44.62,44.62,44.62,44.62,311,0,0,2026-01-29 10:01:00
FRGE,44.62,44.62,44.62,44.62,329,0,0,2026-01-29 10:05:00
FRGE,44.62,44.62,44.62,44.62,579,0,0,2026-01-29 10:06:00
FRGE,44.62,44.62,44.62,44.62,294,0,0,2026-01-29 10:12:00
FRGE,44.62,44.62,44.62,44.62,1206,0,0,2026-01-29 10:13:00
FRGE,44.6,44.6,44.6,44.6,356,0,0,2026-01-29 10:14:00
FRGE,44.6,44.6,44.6,44.6,1397,0,0,2026-01-29 10:17:00
FRGE,44.6,44.6,44.6,44.6,151,0,0,2026-01-29 10:18:00
FRGE,44.61,44.61,44.61,44.61,111,0,0,2026-01-29 10:19:00
FRGE,44.61,44.62,44.61,44.62,1119,0,0,2026-01-29 10:21:00
FRGE,44.62,44.62,44.62,44.62,261,0,0,2026-01-29 10:26:00
FRGE,44.61,44.61,44.61,44.61,101,0,0,2026-01-29 10:31:00
FRGE,44.6,44.61,44.6,44.61,614,0,0,2026-01-29 10:36:00
FRGE,44.62,44.62,44.62,44.62,1031,0,0,2026-01-29 10:37:00
FRGE,44.62,44.62,44.62,44.62,506,44.61,44.62,2026-01-29 10:45:00
FRGE,44.6,44.6,44.6,44.6,212,0,0,2026-01-29 10:48:00
FRGE,44.6,44.6,44.6,44.6,100,0,0,2026-01-29 10:49:00
FRGE,44.6,44.6,44.6,44.6,263,0,0,2026-01-29 10:55:00
FRGE,44.6,44.63,44.6,44.63,3621,0,0,2026-01-29 10:56:00
FRGE,44.63,44.63,44.63,44.63,208,0,0,2026-01-29 10:57:00
FRGE,44.64,44.64,44.64,44.64,1439,0,0,2026-01-29 11:00:00
FRGE,44.65,44.65,44.65,44.65,100,0,0,2026-01-29 11:08:00
FRGE,44.65,44.65,44.65,44.65,247,0,0,2026-01-29 11:11:00
FRGE,44.65,44.65,44.65,44.65,121,0,0,2026-01-29 11:13:00
FRGE,44.65,44.65,44.65,44.65,207,0,0,2026-01-29 11:15:00
FRGE,44.65,44.66,44.65,44.65,1078,0,0,2026-01-29 11:16:00
FRGE,44.65,44.65,44.65,44.65,183,0,0,2026-01-29 11:30:00
FRGE,44.64,44.64,44.64,44.64,162,0,0,2026-01-29 11:36:00
FRGE,44.64,44.64,44.64,44.64,246,0,0,2026-01-29 11:38:00
FRGE,44.65,44.65,44.65,44.65,410,0,0,2026-01-29 11:41:00
FRGE,44.65,44.65,44.65,44.65,181,0,0,2026-01-29 11:56:00
FRGE,44.65,44.65,44.65,44.65,516,0,0,2026-01-29 12:11:00
FRGE,44.66,44.66,44.66,44.66,149,0,0,2026-01-29 12:14:00
FRGE,44.66,44.66,44.66,44.66,498,0,0,2026-01-29 12:16:00
FRGE,44.66,44.66,44.66,44.66,105,0,0,2026-01-29 12:17:00
FRGE,44.67,44.67,44.67,44.67,348,0,0,2026-01-29 12:21:00
FRGE,44.66,44.66,44.65,44.65,6531,0,0,2026-01-29 12:37:00
FRGE,44.64,44.64,44.64,44.64,335,0,0,2026-01-29 12:38:00
FRGE,44.63,44.63,44.62,44.63,2939,0,0,2026-01-29 12:40:00
FRGE,44.63,44.63,44.63,44.63,211,0,0,2026-01-29 12:46:00
FRGE,44.63,44.64,44.63,44.64,427,0,0,2026-01-29 12:52:00
FRGE,44.63,44.63,44.63,44.63,368,0,0,2026-01-29 12:54:00
