Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FRSH,11,11.23,11,11.2,1255,11.14,11.3,2026-01-29 08:03:00
FRSH,11.2,11.2,11.2,11.2,201,11.1,11.3,2026-01-29 08:48:00
FRSH,11.17,11.17,11.17,11.17,100,0,0,2026-01-29 09:13:00
FRSH,11.15,11.15,11.08,11.12,1576,0,0,2026-01-29 09:28:00
FRSH,11.0,11.03,10.96,10.96,59630,0,0,2026-01-29 09:30:00
FRSH,10.96,10.96,10.77,10.77,22318,0,0,2026-01-29 09:31:00
FRSH,10.76,10.81,10.74,10.8,57538,10.8,10.82,2026-01-29 09:33:00
FRSH,10.81,10.82,10.76,10.82,13522,10.81,10.83,2026-01-29 09:34:00
FRSH,10.82,10.95,10.82,10.89,16322,0,0,2026-01-29 09:34:00
FRSH,10.9,10.9,10.85,10.85,32399,0,0,2026-01-29 09:35:00
FRSH,10.84,10.87,10.83,10.86,37734,0,0,2026-01-29 09:36:00
FRSH,10.86,10.91,10.85,10.89,23429,0,0,2026-01-29 09:37:00
FRSH,10.89,10.95,10.89,10.93,18351,0,0,2026-01-29 09:38:00
FRSH,10.95,10.95,10.86,10.86,15562,0,0,2026-01-29 09:39:00
FRSH,10.86,10.86,10.8,10.81,7211,0,0,2026-01-29 09:40:00
FRSH,10.81,10.81,10.73,10.76,49647,0,0,2026-01-29 09:41:00
FRSH,10.77,10.78,10.68,10.69,89757,0,0,2026-01-29 09:42:00
FRSH,10.68,10.69,10.65,10.68,16018,0,0,2026-01-29 09:43:00
FRSH,10.68,10.68,10.63,10.64,15320,0,0,2026-01-29 09:44:00
FRSH,10.64,10.64,10.6,10.61,23441,0,0,2026-01-29 09:45:00
FRSH,10.61,10.65,10.61,10.63,10936,0,0,2026-01-29 09:46:00
FRSH,10.63,10.67,10.63,10.65,20201,0,0,2026-01-29 09:47:00
FRSH,10.65,10.71,10.65,10.67,6058,0,0,2026-01-29 09:48:00
FRSH,10.67,10.7,10.66,10.67,8858,0,0,2026-01-29 09:49:00
FRSH,10.67,10.71,10.67,10.7,8401,0,0,2026-01-29 09:50:00
FRSH,10.69,10.69,10.67,10.69,7810,0,0,2026-01-29 09:51:00
FRSH,10.69,10.7,10.67,10.67,11724,0,0,2026-01-29 09:52:00
FRSH,10.67,10.69,10.66,10.68,10780,0,0,2026-01-29 09:53:00
FRSH,10.67,10.7,10.67,10.69,10131,0,0,2026-01-29 09:54:00
FRSH,10.68,10.7,10.67,10.69,21325,0,0,2026-01-29 09:55:00
FRSH,10.69,10.7,10.68,10.69,10090,0,0,2026-01-29 09:56:00
FRSH,10.69,10.69,10.66,10.68,18427,0,0,2026-01-29 09:57:00
FRSH,10.67,10.68,10.63,10.63,15815,0,0,2026-01-29 09:58:00
FRSH,10.63,10.63,10.6,10.61,13227,0,0,2026-01-29 09:59:00
FRSH,10.6,10.6,10.58,10.59,11471,0,0,2026-01-29 10:00:00
FRSH,10.59,10.59,10.56,10.57,12399,0,0,2026-01-29 10:01:00
FRSH,10.57,10.59,10.56,10.59,17083,0,0,2026-01-29 10:02:00
FRSH,10.59,10.6,10.57,10.58,16686,0,0,2026-01-29 10:03:00
FRSH,10.57,10.57,10.53,10.54,18843,0,0,2026-01-29 10:04:00
FRSH,10.54,10.57,10.54,10.56,14447,10.56,10.56,2026-01-29 10:06:00
FRSH,10.56,10.56,10.53,10.53,15531,0,0,2026-01-29 10:06:00
FRSH,10.53,10.53,10.5,10.51,16132,0,0,2026-01-29 10:07:00
