Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FSK,14.1,14.1,14.1,14.1,323,0,0,2026-01-29 08:18:00
FSK,13.97,13.97,13.97,13.97,357,0,0,2026-01-29 08:24:00
FSK,14.1,14.1,14.02,14.02,444,0,0,2026-01-29 08:27:00
FSK,14,14,13.98,13.98,500,13.97,14.1,2026-01-29 08:48:00
FSK,14.04,14.04,14.04,14.04,500,0,0,2026-01-29 08:53:00
FSK,13.97,13.98,13.97,13.98,571,13.95,14.02,2026-01-29 09:06:00
FSK,13.95,13.95,13.95,13.95,462,0,0,2026-01-29 09:06:00
FSK,13.95,13.95,13.95,13.95,100,0,0,2026-01-29 09:22:00
FSK,13.95,13.95,13.95,13.95,500,0,0,2026-01-29 09:25:00
FSK,13.97,14.02,13.92,14.0,49923,0,0,2026-01-29 09:30:00
FSK,13.97,13.97,13.95,13.97,5042,0,0,2026-01-29 09:31:00
FSK,13.99,13.99,13.92,13.92,15252,13.91,13.93,2026-01-29 09:33:00
FSK,13.9,13.9,13.87,13.87,9022,0,0,2026-01-29 09:33:00
FSK,13.86,13.89,13.85,13.88,6971,0,0,2026-01-29 09:34:00
FSK,13.87,13.88,13.87,13.88,2584,13.86,13.89,2026-01-29 09:36:00
FSK,13.86,13.88,13.86,13.88,913,0,0,2026-01-29 09:36:00
FSK,13.89,13.92,13.89,13.91,3791,0,0,2026-01-29 09:37:00
FSK,13.93,13.94,13.91,13.94,16430,0,0,2026-01-29 09:38:00
FSK,13.95,13.95,13.92,13.92,9592,0,0,2026-01-29 09:39:00
FSK,13.91,13.92,13.89,13.89,28034,0,0,2026-01-29 09:40:00
FSK,13.91,13.91,13.89,13.9,5721,0,0,2026-01-29 09:41:00
FSK,13.88,13.9,13.88,13.89,3944,0,0,2026-01-29 09:42:00
FSK,13.88,13.88,13.86,13.86,4987,0,0,2026-01-29 09:43:00
FSK,13.86,13.87,13.86,13.87,4257,0,0,2026-01-29 09:44:00
FSK,13.87,13.87,13.86,13.87,3193,0,0,2026-01-29 09:45:00
FSK,13.86,13.87,13.86,13.87,5665,0,0,2026-01-29 09:46:00
FSK,13.87,13.87,13.87,13.87,1513,0,0,2026-01-29 09:47:00
FSK,13.87,13.89,13.87,13.88,1345,0,0,2026-01-29 09:48:00
FSK,13.88,13.88,13.86,13.88,10444,0,0,2026-01-29 09:49:00
FSK,13.87,13.87,13.86,13.86,4795,0,0,2026-01-29 09:50:00
FSK,13.86,13.86,13.85,13.85,960,0,0,2026-01-29 09:51:00
FSK,13.86,13.86,13.85,13.85,2375,0,0,2026-01-29 09:52:00
FSK,13.85,13.85,13.83,13.84,22891,0,0,2026-01-29 09:53:00
FSK,13.84,13.86,13.84,13.86,1404,0,0,2026-01-29 09:54:00
FSK,13.85,13.88,13.85,13.88,1463,0,0,2026-01-29 09:55:00
FSK,13.86,13.87,13.85,13.87,1283,0,0,2026-01-29 09:56:00
FSK,13.86,13.86,13.86,13.86,716,0,0,2026-01-29 09:57:00
FSK,13.86,13.87,13.85,13.87,6834,0,0,2026-01-29 09:58:00
FSK,13.87,13.87,13.83,13.83,8515,0,0,2026-01-29 09:59:00
FSK,13.82,13.84,13.82,13.84,4964,0,0,2026-01-29 10:00:00
FSK,13.84,13.84,13.83,13.83,1048,0,0,2026-01-29 10:01:00
FSK,13.83,13.84,13.82,13.83,15275,0,0,2026-01-29 10:02:00
FSK,13.83,13.84,13.83,13.83,10167,0,0,2026-01-29 10:03:00
FSK,13.84,13.84,13.83,13.84,6314,0,0,2026-01-29 10:04:00
FSK,13.84,13.84,13.83,13.84,2326,0,0,2026-01-29 10:05:00
FSK,13.84,13.86,13.84,13.85,41664,0,0,2026-01-29 10:06:00
FSK,13.86,13.86,13.86,13.86,1382,0,0,2026-01-29 10:07:00
FSK,13.85,13.86,13.85,13.85,10612,13.84,13.85,2026-01-29 10:09:00
FSK,13.85,13.85,13.84,13.85,3662,0,0,2026-01-29 10:09:00
FSK,13.84,13.85,13.83,13.85,2245,0,0,2026-01-29 10:10:00
FSK,13.84,13.86,13.84,13.85,4873,0,0,2026-01-29 10:11:00
FSK,13.85,13.85,13.82,13.82,6076,0,0,2026-01-29 10:12:00
FSK,13.82,13.82,13.8,13.81,14773,0,0,2026-01-29 10:13:00
FSK,13.81,13.84,13.81,13.84,5197,0,0,2026-01-29 10:14:00
FSK,13.85,13.87,13.85,13.86,9307,0,0,2026-01-29 10:15:00
FSK,13.86,13.87,13.86,13.87,1593,0,0,2026-01-29 10:16:00
FSK,13.86,13.88,13.86,13.87,4787,0,0,2026-01-29 10:17:00
FSK,13.87,13.87,13.87,13.87,899,0,0,2026-01-29 10:18:00
FSK,13.87,13.87,13.87,13.87,13285,0,0,2026-01-29 10:19:00
FSK,13.86,13.9,13.86,13.9,37198,0,0,2026-01-29 10:20:00
FSK,13.9,13.92,13.9,13.92,8209,0,0,2026-01-29 10:21:00
FSK,13.92,13.93,13.9,13.92,25520,0,0,2026-01-29 10:22:00
FSK,13.91,13.91,13.9,13.9,20683,0,0,2026-01-29 10:23:00
FSK,13.9,13.93,13.9,13.91,8186,0,0,2026-01-29 10:24:00
FSK,13.92,13.92,13.89,13.9,32504,0,0,2026-01-29 10:25:00
FSK,13.91,13.93,13.91,13.93,16135,0,0,2026-01-29 10:26:00
FSK,13.93,13.95,13.92,13.93,18565,0,0,2026-01-29 10:27:00
FSK,13.93,13.95,13.93,13.95,9225,0,0,2026-01-29 10:28:00
