Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
FTFT,2.22,2.22,2.22,2.22,780,0,0,2026-01-29 09:15:00
FTFT,2.23,2.23,2.23,2.23,864,0,0,2026-01-29 09:30:00
FTFT,2.23,2.23,2.23,2.23,200,0,0,2026-01-29 09:37:00
FTFT,2.26,2.26,2.26,2.26,845,0,0,2026-01-29 09:43:00
FTFT,2.26,2.26,2.26,2.26,101,0,0,2026-01-29 09:45:00
FTFT,2.22,2.22,2.22,2.22,526,0,0,2026-01-29 09:53:00
FTFT,2.23,2.23,2.23,2.23,101,0,0,2026-01-29 09:54:00
FTFT,2.29,2.29,2.24,2.24,300,0,0,2026-01-29 10:02:00
FTFT,2.17,2.17,2.15,2.15,200,0,0,2026-01-29 10:22:00
FTFT,2.15,2.15,2.15,2.15,550,0,0,2026-01-29 10:24:00
FTFT,2.19,2.19,2.19,2.19,100,0,0,2026-01-29 10:25:00
FTFT,2.16,2.16,2.16,2.16,686,0,0,2026-01-29 11:20:00
FTFT,2.16,2.16,2.15,2.15,1281,0,0,2026-01-29 11:21:00
FTFT,2.16,2.16,2.16,2.16,221,0,0,2026-01-29 11:26:00
FTFT,2.19,2.19,2.19,2.19,200,0,0,2026-01-29 11:32:00
FTFT,2.15,2.15,2.15,2.15,102,0,0,2026-01-29 12:04:00
FTFT,2.21,2.21,2.21,2.21,200,0,0,2026-01-29 12:15:00
FTFT,2.16,2.17,2.15,2.15,4700,0,0,2026-01-29 12:27:00
FTFT,2.15,2.15,2.15,2.15,100,0,0,2026-01-29 12:30:00
FTFT,2.15,2.15,2.15,2.15,200,0,0,2026-01-29 12:36:00
