Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
GATX,180.53,180.53,180.53,180.53,1167,0,0,2026-01-29 09:30:00
GATX,180.9,180.9,180.74,180.74,519,0,0,2026-01-29 09:40:00
GATX,180.7,180.7,180.7,180.7,201,0,0,2026-01-29 09:45:00
GATX,180.75,180.75,180.75,180.75,118,0,0,2026-01-29 09:48:00
GATX,179.97,179.98,179.54,179.82,3380,0,0,2026-01-29 10:00:00
GATX,180.1,180.1,180.1,180.1,757,0,0,2026-01-29 10:01:00
GATX,179.83,179.83,179.83,179.83,318,0,0,2026-01-29 10:02:00
GATX,179.61,179.61,179.61,179.61,1676,0,0,2026-01-29 10:03:00
GATX,179.28,179.28,179.28,179.28,345,0,0,2026-01-29 10:04:00
GATX,179.44,179.47,179.44,179.47,901,0,0,2026-01-29 10:11:00
GATX,179.47,179.47,179.47,179.47,127,0,0,2026-01-29 10:15:00
GATX,179.47,179.47,179.47,179.47,320,0,0,2026-01-29 10:20:00
GATX,179.47,179.47,179.47,179.47,349,0,0,2026-01-29 10:21:00
GATX,179.47,180.05,179.47,179.66,5227,0,0,2026-01-29 10:25:00
GATX,179.98,180.0,179.88,179.88,487,0,0,2026-01-29 10:26:00
GATX,179.62,179.69,179.62,179.69,1360,0,0,2026-01-29 10:27:00
GATX,179.41,179.41,179.41,179.41,128,0,0,2026-01-29 10:28:00
GATX,179.16,179.16,179.16,179.16,929,0,0,2026-01-29 10:29:00
GATX,178.88,178.88,178.88,178.88,498,0,0,2026-01-29 10:34:00
GATX,178.51,178.51,178.5,178.5,709,0,0,2026-01-29 10:41:00
GATX,178.3,178.3,178.3,178.3,180,177.66,178.94,2026-01-29 10:45:00
GATX,178.35,178.35,178.35,178.35,270,0,0,2026-01-29 10:48:00
GATX,178.48,178.48,178.39,178.39,404,0,0,2026-01-29 10:53:00
GATX,178.94,178.94,178.63,178.64,3776,0,0,2026-01-29 10:55:00
GATX,178.87,178.89,178.31,178.44,7999,0,0,2026-01-29 10:56:00
GATX,178.37,178.37,178.33,178.34,1119,0,0,2026-01-29 10:58:00
GATX,178.33,178.33,178.33,178.33,971,0,0,2026-01-29 11:00:00
GATX,178.09,178.09,178.09,178.09,111,0,0,2026-01-29 11:02:00
GATX,177.83,177.83,177.83,177.83,232,0,0,2026-01-29 11:04:00
GATX,177.87,177.87,177.87,177.87,1169,0,0,2026-01-29 11:05:00
GATX,178.02,178.02,178.02,178.02,632,0,0,2026-01-29 11:09:00
GATX,177.98,177.98,177.98,177.98,387,0,0,2026-01-29 11:10:00
GATX,178.23,178.23,178.23,178.23,665,0,0,2026-01-29 11:11:00
GATX,178.34,178.34,178.34,178.34,404,0,0,2026-01-29 11:13:00
GATX,178.36,178.36,178.36,178.36,519,0,0,2026-01-29 11:17:00
GATX,178.19,178.19,178.19,178.19,308,0,0,2026-01-29 11:25:00
GATX,178.0,178.0,178.0,178.0,626,0,0,2026-01-29 11:27:00
GATX,178.24,178.41,178.19,178.41,757,0,0,2026-01-29 11:34:00
GATX,178.41,178.41,178.41,178.41,197,0,0,2026-01-29 11:41:00
GATX,178.28,178.41,178.28,178.36,503,0,0,2026-01-29 11:45:00
GATX,178.4,178.4,178.4,178.4,142,0,0,2026-01-29 11:47:00
GATX,178.4,178.4,178.4,178.4,236,0,0,2026-01-29 11:48:00
GATX,178.4,178.4,178.4,178.4,575,0,0,2026-01-29 11:50:00
GATX,178.69,178.69,178.69,178.69,429,0,0,2026-01-29 12:01:00
GATX,178.69,178.69,178.69,178.69,1624,0,0,2026-01-29 12:03:00
GATX,178.81,178.81,178.81,178.81,319,0,0,2026-01-29 12:04:00
GATX,178.82,178.82,178.6,178.8,7986,0,0,2026-01-29 12:07:00
GATX,178.72,178.81,178.54,178.7,8590,0,0,2026-01-29 12:08:00
GATX,178.75,178.75,178.72,178.73,1262,0,0,2026-01-29 12:09:00
GATX,178.97,179.07,178.97,179.07,804,0,0,2026-01-29 12:12:00
GATX,179.08,179.24,179.08,179.24,758,0,0,2026-01-29 12:15:00
GATX,179.24,179.24,179.24,179.24,185,0,0,2026-01-29 12:16:00
GATX,179.28,179.56,179.28,179.56,309,0,0,2026-01-29 12:17:00
GATX,179.28,179.28,178.99,178.99,1271,0,0,2026-01-29 12:22:00
GATX,178.97,178.97,178.97,178.97,420,0,0,2026-01-29 12:25:00
GATX,179.04,179.04,179.04,179.04,412,0,0,2026-01-29 12:27:00
GATX,178.8,178.85,178.76,178.85,1219,0,0,2026-01-29 12:33:00
GATX,178.89,178.89,178.69,178.69,200,0,0,2026-01-29 12:37:00
GATX,178.63,178.63,178.63,178.63,362,0,0,2026-01-29 12:40:00
GATX,178.58,178.58,178.58,178.58,157,0,0,2026-01-29 12:41:00
GATX,178.91,178.91,178.55,178.55,805,0,0,2026-01-29 12:47:00
GATX,178.21,178.21,178.21,178.21,357,0,0,2026-01-29 12:53:00
GATX,178.19,178.19,178.18,178.18,469,0,0,2026-01-29 12:55:00
GATX,178.06,178.06,177.94,177.94,399,0,0,2026-01-29 12:57:00
