Ticker,Open,High,Low,Close,Volume,Bid,Ask,Timestamp
GDYN,8.29,8.29,8.29,8.29,2000,0,0,2026-01-29 08:22:00
GDYN,8.28,8.28,8.28,8.28,300,8.28,8.35,2026-01-29 09:30:01
GDYN,8.28,8.28,8.12,8.25,10419,0,0,2026-01-29 09:30:00
GDYN,8.28,8.29,8.25,8.26,4325,0,0,2026-01-29 09:31:00
GDYN,8.24,8.24,8.21,8.21,2739,8.18,8.24,2026-01-29 09:33:00
GDYN,8.18,8.19,8.18,8.18,665,0,0,2026-01-29 09:33:00
GDYN,8.21,8.25,8.21,8.24,958,0,0,2026-01-29 09:34:00
GDYN,8.25,8.25,8.19,8.19,4303,8.18,8.21,2026-01-29 09:36:00
GDYN,8.2,8.2,8.2,8.2,3489,0,0,2026-01-29 09:36:00
GDYN,8.21,8.24,8.21,8.24,1906,0,0,2026-01-29 09:37:00
GDYN,8.26,8.26,8.26,8.26,378,0,0,2026-01-29 09:38:00
GDYN,8.25,8.25,8.21,8.21,4480,0,0,2026-01-29 09:40:00
GDYN,8.2,8.2,8.15,8.15,4484,0,0,2026-01-29 09:41:00
GDYN,8.16,8.16,8.15,8.15,1314,0,0,2026-01-29 09:42:00
GDYN,8.14,8.14,8.12,8.13,916,0,0,2026-01-29 09:43:00
GDYN,8.12,8.12,8.11,8.12,12496,0,0,2026-01-29 09:44:00
GDYN,8.11,8.11,8.1,8.1,3267,0,0,2026-01-29 09:45:00
GDYN,8.09,8.1,8.09,8.1,1663,0,0,2026-01-29 09:46:00
GDYN,8.09,8.11,8.09,8.11,919,0,0,2026-01-29 09:47:00
GDYN,8.11,8.11,8.08,8.1,2639,0,0,2026-01-29 09:48:00
GDYN,8.11,8.11,8.09,8.09,4047,0,0,2026-01-29 09:49:00
GDYN,8.08,8.08,8.04,8.08,5820,0,0,2026-01-29 09:50:00
GDYN,8.08,8.08,8.08,8.08,301,0,0,2026-01-29 09:51:00
GDYN,8.07,8.07,8.04,8.04,999,0,0,2026-01-29 09:52:00
GDYN,8.07,8.09,8.07,8.08,1330,0,0,2026-01-29 09:53:00
GDYN,8.09,8.09,8.08,8.08,2884,0,0,2026-01-29 09:54:00
GDYN,8.09,8.09,8.06,8.06,3401,0,0,2026-01-29 09:55:00
GDYN,8.06,8.06,8.06,8.06,300,0,0,2026-01-29 09:56:00
GDYN,8.05,8.07,8.05,8.05,2068,0,0,2026-01-29 09:57:00
GDYN,8.04,8.05,8.04,8.05,3559,0,0,2026-01-29 09:58:00
GDYN,8.04,8.07,8.04,8.06,3103,0,0,2026-01-29 09:59:00
GDYN,8.06,8.06,8.04,8.04,3131,0,0,2026-01-29 10:00:00
GDYN,8.05,8.06,8.05,8.06,639,0,0,2026-01-29 10:01:00
GDYN,8.06,8.06,8.06,8.06,662,0,0,2026-01-29 10:02:00
GDYN,8.09,8.09,8.06,8.06,1439,0,0,2026-01-29 10:03:00
GDYN,8.05,8.07,8.05,8.06,2522,0,0,2026-01-29 10:04:00
GDYN,8.07,8.08,8.06,8.08,3613,0,0,2026-01-29 10:05:00
GDYN,8.08,8.08,8.07,8.07,1840,0,0,2026-01-29 10:06:00
GDYN,8.06,8.06,8.04,8.04,1142,0,0,2026-01-29 10:07:00
GDYN,8.05,8.06,8.05,8.06,2362,8.06,8.08,2026-01-29 10:09:00
GDYN,8.06,8.06,8.05,8.05,2112,0,0,2026-01-29 10:09:00
GDYN,8.05,8.06,8.04,8.06,2271,0,0,2026-01-29 10:10:00
GDYN,8.06,8.06,8.06,8.06,508,0,0,2026-01-29 10:11:00
GDYN,8.06,8.06,8.06,8.06,1088,0,0,2026-01-29 10:12:00
GDYN,8.05,8.05,8.04,8.05,2297,0,0,2026-01-29 10:13:00
GDYN,8.06,8.06,8.06,8.06,468,0,0,2026-01-29 10:14:00
GDYN,8.06,8.1,8.06,8.09,4863,0,0,2026-01-29 10:15:00
GDYN,8.1,8.1,8.1,8.1,1160,0,0,2026-01-29 10:16:00
GDYN,8.09,8.09,8.09,8.09,1151,0,0,2026-01-29 10:17:00
GDYN,8.1,8.1,8.09,8.1,1043,0,0,2026-01-29 10:18:00
GDYN,8.1,8.1,8.09,8.09,807,0,0,2026-01-29 10:19:00
GDYN,8.1,8.12,8.1,8.12,4270,0,0,2026-01-29 10:20:00
GDYN,8.12,8.12,8.11,8.11,3200,0,0,2026-01-29 10:21:00
GDYN,8.12,8.13,8.12,8.13,1887,0,0,2026-01-29 10:22:00
GDYN,8.13,8.13,8.12,8.12,1107,0,0,2026-01-29 10:23:00
GDYN,8.13,8.13,8.11,8.11,1986,0,0,2026-01-29 10:24:00
GDYN,8.11,8.11,8.11,8.11,287,0,0,2026-01-29 10:25:00
GDYN,8.11,8.11,8.11,8.11,492,0,0,2026-01-29 10:26:00
GDYN,8.1,8.1,8.1,8.1,123,0,0,2026-01-29 10:27:00
GDYN,8.09,8.09,8.09,8.09,963,0,0,2026-01-29 10:28:00
GDYN,8.1,8.1,8.05,8.05,2606,0,0,2026-01-29 10:29:00
GDYN,8.08,8.1,8.08,8.1,568,0,0,2026-01-29 10:31:00
GDYN,8.1,8.1,8.1,8.1,134,0,0,2026-01-29 10:32:00
GDYN,8.09,8.09,8.09,8.09,569,0,0,2026-01-29 10:33:00
GDYN,8.09,8.1,8.09,8.09,633,0,0,2026-01-29 10:34:00
GDYN,8.09,8.09,8.08,8.09,2376,0,0,2026-01-29 10:35:00
GDYN,8.09,8.09,8.08,8.08,2358,0,0,2026-01-29 10:36:00
GDYN,8.08,8.09,8.08,8.08,2440,0,0,2026-01-29 10:37:00
GDYN,8.09,8.09,8.08,8.08,721,0,0,2026-01-29 10:38:00
GDYN,8.07,8.07,8.07,8.07,561,0,0,2026-01-29 10:39:00
GDYN,8.07,8.07,8.07,8.07,1232,0,0,2026-01-29 10:40:00
GDYN,8.07,8.07,8.06,8.06,1592,0,0,2026-01-29 10:41:00
GDYN,8.05,8.05,8.03,8.04,997,0,0,2026-01-29 10:42:00
GDYN,8.04,8.04,8.04,8.04,2091,0,0,2026-01-29 10:43:00
GDYN,8.03,8.04,8.02,8.04,4778,8.03,8.05,2026-01-29 10:45:00
GDYN,8.03,8.03,8.03,8.03,2750,0,0,2026-01-29 10:45:00
GDYN,8.04,8.04,8.04,8.04,1141,0,0,2026-01-29 10:46:00
GDYN,8.04,8.04,8.04,8.04,1885,0,0,2026-01-29 10:47:00
GDYN,8.04,8.04,8.04,8.04,1125,0,0,2026-01-29 10:48:00
GDYN,8.03,8.03,8.03,8.03,459,0,0,2026-01-29 10:49:00
GDYN,8.02,8.03,8.02,8.03,3013,0,0,2026-01-29 10:50:00
GDYN,8.04,8.04,8.04,8.04,2217,0,0,2026-01-29 10:51:00
GDYN,8.04,8.04,8.04,8.04,229,0,0,2026-01-29 10:52:00
GDYN,8.04,8.04,8.04,8.04,326,0,0,2026-01-29 10:54:00
GDYN,8.04,8.05,8.04,8.04,1336,0,0,2026-01-29 10:55:00
GDYN,8.04,8.07,8.04,8.07,1275,0,0,2026-01-29 10:56:00
GDYN,8.06,8.06,8.06,8.06,437,0,0,2026-01-29 10:57:00
GDYN,8.07,8.07,8.06,8.07,2681,0,0,2026-01-29 10:58:00
GDYN,8.06,8.06,8.06,8.06,537,0,0,2026-01-29 10:59:00
GDYN,8.06,8.06,8.05,8.05,2622,0,0,2026-01-29 11:00:00
GDYN,8.05,8.05,8.05,8.05,161,0,0,2026-01-29 11:02:00
GDYN,8.05,8.06,8.05,8.06,719,0,0,2026-01-29 11:03:00
GDYN,8.06,8.06,8.06,8.06,301,0,0,2026-01-29 11:04:00
GDYN,8.06,8.06,8.03,8.03,7537,0,0,2026-01-29 11:05:00
GDYN,8.03,8.03,8.03,8.03,1542,0,0,2026-01-29 11:06:00
GDYN,8.03,8.03,8.02,8.02,1355,0,0,2026-01-29 11:07:00
GDYN,8.03,8.03,8.01,8.01,8826,0,0,2026-01-29 11:08:00
GDYN,8.02,8.03,8.02,8.03,5679,0,0,2026-01-29 11:09:00
