Ticker,Order Type,Price Move,Price Move(Actual),Limit,Stop,OrderShares,BoughtShares,SoldShares,BuyTarget,BuyTargetIndicator,BuyPrice,orderPricePct,SellPrice,Profit,Date,OrderTime,BuyTime,SellTime,Fill(m),Hold(m),PassedStop,PrematureReversalBailOut,NumOfIndicators,Indicators,Result
MSFT,Short,5 Min,1.0,456.56,457.56,10,0,0,457.31,Q|Y|M|M|M|W|W,0,34,0,0,2026-01-29,08:42:00,,,,,False,446.83574999999996,7,"D s4, W pp1, M s2, Y pp1, Y|M|M|M|W|W|D, Q|Y|M|M|M|W|W, Y|M|M",Cancelled(Order Timed)
VMAR,Long,5 Min,1.0,4.0,3.0,1538,0,0,3.25,W|D,0,53,0,0,2026-01-29,09:03:00,,,,,False,3.8802250000000003,6,"pdl, D s1, D s2, W s4, pdl|D, W|D",Cancelled(Order Timed)
WDAY,Long,40 Min,6.0,175.87,174.87,28,28.0,0,175.12,W|W,174.54,60,0,0,2026-01-29,09:30:00,09:32:49,,2.82,,False,178.3275,1,W|W,Sold(Limit)
SNOW,Long,5 Min,1.0,200.77,199.77,24,24.0,0,200.02,Q|Y|M|W|W|W|D,200.0,64,0,0,2026-01-29,09:31:00,09:33:24,,2.41,,False,202.565025,6,"D s4, W s2, M s1, Q|Y|M|W|W|W|D, Q|Y|M|W|W, Q|Y|M",Sold(Limit)
FIGR,Long,5 Min,3.0,65.19,64.19,77,77.0,0,64.44,Q|M|D,63.96,72,0,0,2026-01-29,09:31:00,09:33:27,,2.45,,False,66.21375,2,"D s1, Q|M|D",Sold(Stop)
MSTR,Long,40 Min,13.0,153.97,152.97,32,32.0,0,153.22,W|W|D|D,152.87,78,0,0,2026-01-29,09:31:00,09:33:28,,2.47,,False,154.660075,3,"D s2, W|W|D|D, W|W|D",Sold(Stop)
HYMC,Long,5 Min,1.98,51.62,50.62,98,98.0,0,50.87,M r3,50.86,77,0,0,2026-01-29,09:32:00,09:34:49,,2.83,,False,51.97625,1,M r3,Sold(Stop)
NOW,Short,40 Min,9.0,122.14,123.14,40,0,0,122.89,Q|M|W|W|D|D,0,63,0,0,2026-01-29,09:04:00,,,,,False,116.41612500000001,3,"D s3, Q|M|W|W|D|D, Q|M",Cancelled(Order Timed)
BX,Long,5 Min,2.0,144.54,143.54,34,34.0,0,143.79,M|W|W|D|D|D,143.71,76,0,0,2026-01-29,09:32:00,09:34:21,,2.36,,False,145.52634999999998,3,"D s2, M|W|W|D|D|D, M|W|W|D|D|D",Sold(Stop)
PLTR,Long,40 Min,11.0,155.22,154.22,32,32.0,0,154.47,W|W,154.11,61,0,0,2026-01-29,09:30:00,09:34:03,,4.07,,False,156.87945,2,"D s1, W|W",Sold(Stop)
